"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0
    1,      1,      15773,          0,      15773,   1.000000,             8995,             6778
    1,      2,     348639,          0,     348639,  22.103531,           342432,             6207
    1,      3,     374276,          0,     374276,   1.073534,           368588,             5688
    1,      4,     364297,          0,     364297,   0.973338,           359572,             4725
    1,      5,     333390,          0,     333390,   0.915160,           333010,              380
    1,      6,     124085,          0,     124085,   0.372192,           124085,                0
    1,      7,      77446,          0,      77446,   0.624137,            77446,                0
    1,      8,      73473,          0,      73473,   0.948700,            73473,                0
    1,      9,      72616,          0,      72616,   0.988336,            72616,                0
    1,     10,      71818,          0,      71818,   0.989011,            71818,                0
    1,     11,      71148,          0,      71148,   0.990671,            71148,                0
    1,     12,      69281,          0,      69281,   0.973759,            69281,                0
    1,     13,      68811,          0,      68811,   0.993216,            65726,             3085
    1,     14,     219163,          0,     219163,   3.184999,           216333,             2830
    1,     15,     230200,          0,     230200,   1.050360,           227619,             2581
    1,     16,     223008,          0,     223008,   0.968758,           220961,             2047
    1,     17,     199865,          0,     199865,   0.896223,           199865,                0
    1,     18,      97504,          0,      97504,   0.487849,            97504,                0
    1,     19,      77410,          0,      77410,   0.793916,            77410,                0
    1,     20,      73177,          0,      73177,   0.945317,            73177,                0
    1,     21,      69392,          0,      69392,   0.948276,            69392,                0
    1,     22,      66014,          0,      66014,   0.951320,            66014,                0
    1,     23,      63095,          0,      63095,   0.955782,            63095,                0
    1,     24,      59819,          0,      59819,   0.948078,            59819,                0
    1,     25,      57875,          0,      57875,   0.967502,            56501,             1374
    1,     26,     122360,          0,     122360,   2.114212,           121087,             1273
    1,     27,     127237,          0,     127237,   1.039858,           126069,             1168
    1,     28,     123135,          0,     123135,   0.967761,           122210,              925
    1,     29,     111689,          0,     111689,   0.907045,           111586,              103
    1,     30,      68814,          0,      68814,   0.616122,            68814,                0
    1,     31,      54870,          0,      54870,   0.797367,            54870,                0
    1,     32,      50812,          0,      50812,   0.926043,            50812,                0
    1,     33,      47726,          0,      47726,   0.939266,            47726,                0
    1,     34,      45118,          0,      45118,   0.945355,            45118,                0
    1,     35,      42749,          0,      42749,   0.947493,            42749,                0
    1,     36,      40504,          0,      40504,   0.947484,            40504,                0
    1,     37,      38828,          0,      38828,   0.958621,            37567,             1261
    1,     38,      86520,          0,      86520,   2.228289,            85341,             1179
    1,     39,      90005,          0,      90005,   1.040280,            88938,             1067
    1,     40,      87006,          0,      87006,   0.966680,            86138,              868
    1,     41,      80613,          0,      80613,   0.926522,            80613,                0
    1,     42,      44619,          0,      44619,   0.553496,            44619,                0
    1,     43,      36913,          0,      36913,   0.827293,            36913,                0
    1,     44,      34702,          0,      34702,   0.940102,            34702,                0
    1,     45,      32760,          0,      32760,   0.944038,            32760,                0
    1,     46,      30960,          0,      30960,   0.945055,            30960,                0
    1,     47,      29375,          0,      29375,   0.948805,            29375,                0
    1,     48,      27557,          0,      27557,   0.938111,            27557,                0
    1,     49,      26410,          0,      26410,   0.958377,            24077,             2333
    1,     50,     110411,          0,     110411,   4.180651,           108182,             2229
    1,     51,     122861,          0,     122861,   1.112761,           120772,             2089
    1,     52,     124992,          0,     124992,   1.017345,           123391,             1601
    1,     53,     115734,          0,     115734,   0.925931,           115230,              504
    1,     54,      69811,          0,      69811,   0.603202,            69811,                0
    1,     55,      35068,          0,      35068,   0.502328,            35068,                0
    1,     56,      33523,          0,      33523,   0.955943,            33523,                0
    1,     57,      32131,          0,      32131,   0.958476,            32131,                0
    1,     58,      30844,          0,      30844,   0.959945,            30844,                0
    1,     59,      29867,          0,      29867,   0.968324,            29867,                0
    1,     60,      28366,          0,      28366,   0.949744,            28366,                0
    1,     61,      27649,          0,      27649,   0.974723,            24853,             2796
    1,     62,     141872,          0,     141872,   5.131180,           139209,             2663
    1,     63,     155660,          0,     155660,   1.097186,           153151,             2509
    1,     64,     157222,          0,     157222,   1.010035,           155242,             1980
    1,     65,     142929,          0,     142929,   0.909090,           142929,                0
    1,     66,      56610,          0,      56610,   0.396071,            56610,                0
    1,     67,      41180,          0,      41180,   0.727433,            41180,                0
    1,     68,      39614,          0,      39614,   0.961972,            39614,                0
    1,     69,      38108,          0,      38108,   0.961983,            38108,                0
    1,     70,      36774,          0,      36774,   0.964994,            36774,                0
    1,     71,      35636,          0,      35636,   0.969054,            35636,                0
    1,     72,      34276,          0,      34276,   0.961836,            34276,                0
    1,     73,      33491,          0,      33491,   0.977098,            30979,             2512
    1,     74,     146116,          0,     146116,   4.362844,           143716,             2400
    1,     75,     164617,          0,     164617,   1.126619,           162348,             2269
    1,     76,     171194,          0,     171194,   1.039953,           169359,             1835
    1,     77,     156148,          0,     156148,   0.912111,           156148,                0
    1,     78,      63080,          0,      63080,   0.403976,            63080,                0
    1,     79,      46031,          0,      46031,   0.729724,            46031,                0
    1,     80,      44034,          0,      44034,   0.956616,            44034,                0
    1,     81,      42370,          0,      42370,   0.962211,            42370,                0
    1,     82,      40831,          0,      40831,   0.963677,            40831,                0
    1,     83,      39397,          0,      39397,   0.964880,            39397,                0
    1,     84,      37943,          0,      37943,   0.963094,            37943,                0
    1,     85,      36812,          0,      36812,   0.970192,            35103,             1709
    1,     86,     117601,          0,     117601,   3.194638,           116154,             1447
    1,     87,     118447,          0,     118447,   1.007194,           117255,             1192
    1,     88,     108415,          0,     108415,   0.915304,           107484,              931
    1,     89,      95857,          0,      95857,   0.884167,            95857,                0
    1,     90,      49238,          0,      49238,   0.513661,            49238,                0
    1,     91,      39956,          0,      39956,   0.811487,            39956,                0
    1,     92,      37935,          0,      37935,   0.949419,            37935,                0
    1,     93,      35977,          0,      35977,   0.948385,            35977,                0
    1,     94,      34343,          0,      34343,   0.954582,            34343,                0
    1,     95,      32811,          0,      32811,   0.955391,            32811,                0
    1,     96,      31221,          0,      31221,   0.951541,            31221,                0
    1,     97,      30185,          0,      30185,   0.966817,            28727,             1458
    1,     98,      90818,          0,      90818,   3.008713,            89511,             1307
    1,     99,      93214,          0,      93214,   1.026382,            92045,             1169
    1,    100,      90281,          0,      90281,   0.968535,            89335,              946
    1,    101,      83521,          0,      83521,   0.925123,            83521,                0
    1,    102,      40856,          0,      40856,   0.489170,            40856,                0
    1,    103,      32462,          0,      32462,   0.794547,            32462,                0
    1,    104,      30761,          0,      30761,   0.947600,            30761,                0
    1,    105,      29213,          0,      29213,   0.949677,            29213,                0
    1,    106,      27873,          0,      27873,   0.954130,            27873,                0
    1,    107,      26590,          0,      26590,   0.953970,            26590,                0
    1,    108,      25299,          0,      25299,   0.951448,            25299,                0
    1,    109,      24439,          0,      24439,   0.966007,            22910,             1529
    1,    110,      85794,          0,      85794,   3.510536,            84377,             1417
    1,    111,      90404,          0,      90404,   1.053733,            89090,             1314
    1,    112,      91521,          0,      91521,   1.012356,            90483,             1038
    1,    113,      82870,          0,      82870,   0.905475,            82870,                0
    1,    114,      37251,          0,      37251,   0.449511,            37251,                0
    1,    115,      29396,          0,      29396,   0.789133,            29396,                0
    1,    116,      28026,          0,      28026,   0.953395,            28026,                0
    1,    117,      26753,          0,      26753,   0.954578,            26753,                0
    1,    118,      25639,          0,      25639,   0.958360,            25639,                0
    1,    119,      24603,          0,      24603,   0.959593,            24603,                0
    1,    120,      23531,          0,      23531,   0.956428,            23531,                0
    1,    121,      22845,          0,      22845,   0.970847,            21042,             1803
    1,    122,      96278,          0,      96278,   4.214401,            94573,             1705
    1,    123,     106959,          0,     106959,   1.110939,           105407,             1552
    1,    124,     106638,          0,     106638,   0.996999,           105397,             1241
    1,    125,      97181,          0,      97181,   0.911317,            97181,                0
    1,    126,      40416,          0,      40416,   0.415884,            40416,                0
    1,    127,      30085,          0,      30085,   0.744383,            30085,                0
    1,    128,      28656,          0,      28656,   0.952501,            28656,                0
    1,    129,      27489,          0,      27489,   0.959276,            27489,                0
    1,    130,      26414,          0,      26414,   0.960893,            26414,                0
    1,    131,      25467,          0,      25467,   0.964148,            25467,                0
    1,    132,      24327,          0,      24327,   0.955236,            24327,                0
    1,    133,      23590,          0,      23590,   0.969704,            21940,             1650
    1,    134,      94741,          0,      94741,   4.016151,            93226,             1515
    1,    135,     101579,          0,     101579,   1.072176,           100205,             1374
    1,    136,     100014,          0,     100014,   0.984593,            98925,             1089
    1,    137,      90524,          0,      90524,   0.905113,            90516,                8
    1,    138,      39802,          0,      39802,   0.439685,            39802,                0
    1,    139,      30057,          0,      30057,   0.755163,            30057,                0
    1,    140,      28739,          0,      28739,   0.956150,            28739,                0
    1,    141,      27448,          0,      27448,   0.955078,            27448,                0
    1,    142,      26400,          0,      26400,   0.961819,            26400,                0
    1,    143,      25392,          0,      25392,   0.961818,            25392,                0
    1,    144,      24268,          0,      24268,   0.955734,            24268,                0
    1,    145,      23483,          0,      23483,   0.967653,            22181,             1302
    1,    146,      80727,          0,      80727,   3.437678,            79561,             1166
    1,    147,      83800,          0,      83800,   1.038067,            82733,             1067
    1,    148,      83794,          0,      83794,   0.999928,            82924,              870
    1,    149,      77220,          0,      77220,   0.921546,            77192,               28
    1,    150,      36825,          0,      36825,   0.476884,            36825,                0
    1,    151,      27348,          0,      27348,   0.742648,            27348,                0
    1,    152,      26047,          0,      26047,   0.952428,            26047,                0
    1,    153,      24867,          0,      24867,   0.954697,            24867,                0
    1,    154,      23850,          0,      23850,   0.959102,            23850,                0
    1,    155,      22844,          0,      22844,   0.957820,            22844,                0
    1,    156,      21866,          0,      21866,   0.957188,            21866,                0
    1,    157,      21195,          0,      21195,   0.969313,            19971,             1224
    1,    158,      74294,          0,      74294,   3.505261,            73182,             1112
    1,    159,      78127,          0,      78127,   1.051592,            77170,              957
    1,    160,      74398,          0,      74398,   0.952270,            73606,              792
    1,    161,      68357,          0,      68357,   0.918802,            68357,                0
    1,    162,      31780,          0,      31780,   0.464912,            31780,                0
    1,    163,      24983,          0,      24983,   0.786123,            24983,                0
    1,    164,      23779,          0,      23779,   0.951807,            23779,                0
    1,    165,      22650,          0,      22650,   0.952521,            22650,                0
    1,    166,      21674,          0,      21674,   0.956909,            21674,                0
    1,    167,      20824,          0,      20824,   0.960783,            20824,                0
    1,    168,      20025,          0,      20025,   0.961631,            20025,                0
    1,    169,      19390,          0,      19390,   0.968290,            18180,             1210
    1,    170,      68759,          0,      68759,   3.546106,            67641,             1118
    1,    171,      75271,          0,      75271,   1.094708,            74264,             1007
    1,    172,      73631,          0,      73631,   0.978212,            72774,              857
    1,    173,      68911,          0,      68911,   0.935897,            68911,                0
    1,    174,      30183,          0,      30183,   0.438000,            30183,                0
    1,    175,      23021,          0,      23021,   0.762714,            23021,                0
    1,    176,      21869,          0,      21869,   0.949959,            21869,                0
    1,    177,      20817,          0,      20817,   0.951895,            20817,                0
    1,    178,      19881,          0,      19881,   0.955037,            19881,                0
    1,    179,      19061,          0,      19061,   0.958755,            19061,                0
    1,    180,      18272,          0,      18272,   0.958607,            18272,                0
    1,    181,      17711,          0,      17711,   0.969297,            16480,             1231
    1,    182,      69349,          0,      69349,   3.915589,            68197,             1152
    1,    183,      74754,          0,      74754,   1.077939,            73697,             1057
    1,    184,      75565,          0,      75565,   1.010849,            74717,              848
    1,    185,      68395,          0,      68395,   0.905115,            67958,              437
    1,    186,      49850,          0,      49850,   0.728854,            49850,                0
    1,    187,      22656,          0,      22656,   0.454483,            22656,                0
    1,    188,      21547,          0,      21547,   0.951051,            21547,                0
    1,    189,      20684,          0,      20684,   0.959948,            20684,                0
    1,    190,      19854,          0,      19854,   0.959872,            19854,                0
    1,    191,      19233,          0,      19233,   0.968722,            19233,                0
    1,    192,      18474,          0,      18474,   0.960537,            18474,                0
    1,    193,      17960,          0,      17960,   0.972177,            16664,             1296
    1,    194,      73585,          0,      73585,   4.097160,            72395,             1190
    1,    195,      78566,          0,      78566,   1.067690,            77473,             1093
    1,    196,      79090,          0,      79090,   1.006670,            78230,              860
    1,    197,      70603,          0,      70603,   0.892692,            70169,              434
    1,    198,      51233,          0,      51233,   0.725649,            51233,                0
    1,    199,      23240,          0,      23240,   0.453614,            23240,                0
    1,    200,      22242,          0,      22242,   0.957057,            22242,                0
    1,    201,      21265,          0,      21265,   0.956074,            21265,                0
    1,    202,      20448,          0,      20448,   0.961580,            20448,                0
    1,    203,      19665,          0,      19665,   0.961708,            19665,                0
    1,    204,      18788,          0,      18788,   0.955403,            18788,                0
    1,    205,      18287,          0,      18287,   0.973334,            17090,             1197
    1,    206,      69735,          0,      69735,   3.813365,            68662,             1073
    1,    207,      73015,          0,      73015,   1.047035,            72068,              947
    1,    208,      70493,          0,      70493,   0.965459,            69738,              755
    1,    209,      64036,          0,      64036,   0.908402,            64036,                0
    1,    210,      28921,          0,      28921,   0.451637,            28921,                0
    1,    211,      22457,          0,      22457,   0.776495,            22457,                0
    1,    212,      21354,          0,      21354,   0.950884,            21354,                0
    1,    213,      20417,          0,      20417,   0.956121,            20417,                0
    1,    214,      19562,          0,      19562,   0.958123,            19562,                0
    1,    215,      18837,          0,      18837,   0.962938,            18837,                0
    1,    216,      18135,          0,      18135,   0.962733,            18135,                0
    1,    217,      17620,          0,      17620,   0.971602,            16589,             1031
    1,    218,      60942,          0,      60942,   3.458683,            59999,              943
    1,    219,      65253,          0,      65253,   1.070739,            64412,              841
    1,    220,      63374,          0,      63374,   0.971204,            62702,              672
    1,    221,      57266,          0,      57266,   0.903620,            57266,                0
    1,    222,      26504,          0,      26504,   0.462823,            26504,                0
    1,    223,      20713,          0,      20713,   0.781505,            20713,                0
    1,    224,      19704,          0,      19704,   0.951287,            19704,                0
    1,    225,      18826,          0,      18826,   0.955441,            18826,                0
    1,    226,      18051,          0,      18051,   0.958834,            18051,                0
    1,    227,      17355,          0,      17355,   0.961443,            17355,                0
    1,    228,      16620,          0,      16620,   0.957649,            16620,                0
    1,    229,      16122,          0,      16122,   0.970036,            15151,              971
    1,    230,      56670,          0,      56670,   3.515073,            55779,              891
    1,    231,      60235,          0,      60235,   1.062908,            59428,              807
    1,    232,      59349,          0,      59349,   0.985291,            58683,              666
    1,    233,      55420,          0,      55420,   0.933798,            55420,                0
    1,    234,      24759,          0,      24759,   0.446752,            24759,                0
    1,    235,      18910,          0,      18910,   0.763763,            18910,                0
    1,    236,      17941,          0,      17941,   0.948757,            17941,                0
    1,    237,      17152,          0,      17152,   0.956023,            17152,                0
    1,    238,      16338,          0,      16338,   0.952542,            16338,                0
    1,    239,      15644,          0,      15644,   0.957522,            15644,                0
    1,    240,      15073,          0,      15073,   0.963500,            15073,                0
    1,    241,      14626,          0,      14626,   0.970344,            13593,             1033
    1,    242,      57762,          0,      57762,   3.949268,            56829,              933
    1,    243,      60947,          0,      60947,   1.055140,            60088,              859
    1,    244,      60882,          0,      60882,   0.998933,            60176,              706
    1,    245,      56367,          0,      56367,   0.925840,            56367,                0
    1,    246,      22134,          0,      22134,   0.392677,            22134,                0
    1,    247,      17704,          0,      17704,   0.799855,            17704,                0
    1,    248,      16801,          0,      16801,   0.948995,            16801,                0
    1,    249,      16032,          0,      16032,   0.954229,            16032,                0
    1,    250,      15354,          0,      15354,   0.957710,            15354,                0
    1,    251,      14749,          0,      14749,   0.960597,            14749,                0
    1,    252,      14107,          0,      14107,   0.956472,            14107,                0
    1,    253,      13707,          0,      13707,   0.971645,            12651,             1056
    1,    254,      58025,          0,      58025,   4.233239,            57063,              962
    1,    255,      62900,          0,      62900,   1.084015,            62014,              886
    1,    256,      62946,          0,      62946,   1.000731,            62178,              768
    1,    257,      59372,          0,      59372,   0.943221,            59335,               37
    1,    258,      26324,          0,      26324,   0.443374,            26324,                0
    1,    259,      18238,          0,      18238,   0.692828,            18238,                0
    1,    260,      17440,          0,      17440,   0.956245,            17440,                0
    1,    261,      16749,          0,      16749,   0.960378,            16749,                0
    1,    262,      16120,          0,      16120,   0.962445,            16120,                0
    1,    263,      15549,          0,      15549,   0.964578,            15549,                0
    1,    264,      14973,          0,      14973,   0.962956,            14973,                0
    1,    265,      14558,          0,      14558,   0.972283,            13574,              984
    1,    266,      56474,          0,      56474,   3.879242,            55566,              908
    1,    267,      61035,          0,      61035,   1.080763,            60214,              821
    1,    268,      59838,          0,      59838,   0.980388,            59182,              656
    1,    269,      54554,          0,      54554,   0.911695,            54554,                0
    1,    270,      24016,          0,      24016,   0.440224,            24016,                0
    1,    271,      18398,          0,      18398,   0.766073,            18398,                0
