"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                7,                3,                0
    1,     12,         80,          0,         80,   8.000000,               70,                0,                7,                3
    1,     24,        157,          0,        157,   1.962500,              105,               50,                0,                2
    1,     36,        375,          0,        375,   2.388535,              288,               70,               17,                0
    1,     48,        797,          0,        797,   2.125333,              569,              191,               37,                0
    1,     60,       1746,          0,       1746,   2.190715,             1322,              337,               87,                0
    1,     72,       3550,          0,       3550,   2.033219,             2625,              765,              158,                2
    1,     84,       7080,          0,       7080,   1.994366,             5219,             1507,              349,                5
    1,     96,      14857,          0,      14857,   2.098446,            11166,             2983,              703,                5
    1,    108,      29011,          0,      29011,   1.952682,            21289,             6337,             1370,               15
    1,    120,      59536,          0,      59536,   2.052187,            44042,            12354,             3115,               25
    1,    132,     120733,          0,     120733,   2.027899,            88737,            25746,             6163,               87
    1,    144,     240490,          0,     240490,   1.991916,           174909,            52358,            13067,              156
    1,    156,     503454,          0,     503454,   2.093451,           365020,           110097,            27987,              350
    1,    168,    1031901,          0,    1031901,   2.049643,           738418,           232969,            59702,              812
    1,    180,    1994580,          0,    1994580,   1.932918,          1394260,           472477,           126128,             1715
    1,    192,    3918027,          0,    3918027,   1.964337,          2667843,           967317,           278744,             4123
    1,    204,    6687245,          0,    6687245,   1.706789,          4281091,          1830844,           566366,             8944
    1,    216,    9440936,          0,    9440936,   1.411783,          5618572,          2795281,          1010172,            16911
    1,    228,   12882268,          0,   12882268,   1.364512,          7577186,          3719199,          1555625,            30258
    1,    240,   14664950,          0,   14664950,   1.138383,          7764284,          4857399,          1998647,            44620
    1,    252,   20622682,          0,   20622682,   1.406257,         12649459,          5185784,          2727036,            60403
