"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,         80,          0,         80,   8.000000,                0,                0,                0,               76,                0,                0,                4
    1,     14,        297,          0,        297,   3.712500,                0,                0,                0,              281,                0,                0,               16
    1,     26,        909,          0,        909,   3.060606,                0,                0,                0,              854,                0,                0,               55
    1,     38,       1814,          0,       1814,   1.995600,                0,                0,                0,             1712,                0,                0,              102
    1,     50,       4052,          0,       4052,   2.233738,                0,                0,                0,             3821,                0,                0,              231
    1,     62,       8305,          0,       8305,   2.049605,                0,                0,                0,             7832,                0,                0,              473
    1,     74,      17249,          0,      17249,   2.076941,                0,                0,                0,            16267,                0,                0,              982
    1,     86,      35493,          0,      35493,   2.057684,                0,                0,                0,            33467,                0,                0,             2026
    1,     98,      70633,          0,      70633,   1.990054,                0,                0,                0,            66606,                0,                0,             4027
    1,    110,     141037,          0,     141037,   1.996758,                0,                0,                0,           132927,                0,                0,             8110
    1,    122,     289646,          0,     289646,   2.053688,                0,                0,                0,           273026,                0,                0,            16620
    1,    134,     579355,          0,     579355,   2.000217,                0,                0,                0,           545505,                0,                0,            33850
    1,    146,    1150021,          0,    1150021,   1.985002,                0,                0,                0,          1080965,                0,                0,            69056
    1,    158,    2340152,          0,    2340152,   2.034878,                0,                0,                0,          2193396,                0,                0,           146756
    1,    170,    4599584,          0,    4599584,   1.965507,                0,                0,                0,          4290503,                0,                0,           309081
    1,    182,    8319953,          0,    8319953,   1.808849,                0,                0,                0,          7697832,                0,                0,           622121
    1,    194,   14168679,          0,   14168679,   1.702976,                0,                0,                0,         12892848,                0,                0,          1275831
    1,    206,   20996061,          0,   20996061,   1.481864,                0,                0,                0,         18617534,                0,                0,          2378527
    1,    218,   28525265,          0,   28525265,   1.358601,                0,                0,                0,         24855372,                0,                0,          3669893
    1,    230,   33013619,          0,   33013619,   1.157347,                0,                0,                0,         27932975,                0,                0,          5080644
    1,    242,   46155742,          0,   46155742,   1.398082,                0,                0,                0,         39749139,                0,                0,          6406603
    1,    254,   39638266,          0,   39638266,   0.858794,                0,                0,                0,         31853372,                0,                0,          7784894
