"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17"
    1,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,                0,                0,                0,             2593,                0,             2623,                0,             2666,                0,             2648,                0,             2638,                0,             2605,                0
    1,     11,      71383,          0,      71383,   4.525645,                0,                0,                0,                0,             1331,            63207,              202,                0,             1302,                0,             1302,                0,             1376,                0,             1357,                0,             1306,                0
    1,     23,      61393,          0,      61393,   0.860051,                0,                0,                0,                0,              744,            25171,            32885,                0,              104,                0,              581,                0,              636,                0,              638,                0,              634,                0
    1,     35,      41538,          0,      41538,   0.676592,                0,                0,                0,                0,              211,            12252,            13041,                0,            15118,                0,               47,                0,              262,                0,              311,                0,              296,                0
    1,     47,      28707,          0,      28707,   0.691102,                0,                0,                0,                0,              436,             8362,             6369,                0,             6105,                0,             7159,                0,               20,                0,              119,                0,              137,                0
    1,     59,      29332,          0,      29332,   1.021772,                0,                0,                0,                0,              532,            15068,             4336,                0,             2970,                0,             2883,                0,             3472,                0,                6,                0,               65,                0
    1,     71,      35754,          0,      35754,   1.218942,                0,                0,                0,                0,              448,            20922,             7936,                0,             2001,                0,             1390,                0,             1434,                0,             1621,                0,                2,                0
    1,     83,      39399,          0,      39399,   1.101947,                0,                0,                0,                0,              318,            21346,            10954,                0,             3730,                0,              951,                0,              665,                0,              660,                0,              775,                0
    1,     95,      32471,          0,      32471,   0.824158,                0,                0,                0,                0,              358,            13274,            11086,                0,             5004,                0,             1691,                0,              450,                0,              305,                0,              303,                0
    1,    107,      24565,          0,      24565,   0.756521,                0,                0,                0,                0,              144,             9159,             6723,                0,             5067,                0,             2342,                0,              776,                0,              221,                0,              133,                0
    1,    119,      23747,          0,      23747,   0.966701,                0,                0,                0,                0,              217,            11540,             4813,                0,             3097,                0,             2423,                0,             1176,                0,              376,                0,              105,                0
    1,    131,      24564,          0,      24564,   1.034404,                0,                0,                0,                0,              509,            12467,             6037,                0,             2228,                0,             1446,                0,             1132,                0,              555,                0,              190,                0
    1,    143,      24560,          0,      24560,   0.999837,                0,                0,                0,                0,              304,            12578,             6322,                0,             2849,                0,             1023,                0,              676,                0,              539,                0,              269,                0
    1,    155,      21758,          0,      21758,   0.885912,                0,                0,                0,                0,              166,             9831,             6474,                0,             2891,                0,             1344,                0,              480,                0,              311,                0,              261,                0
    1,    167,      19413,          0,      19413,   0.892224,                0,                0,                0,                0,              137,             8697,             5107,                0,             3073,                0,             1395,                0,              646,                0,              226,                0,              132,                0
    1,    179,      17650,          0,      17650,   0.909185,                0,                0,                0,                0,              127,             8231,             4505,                0,             2315,                0,             1427,                0,              645,                0,              300,                0,              100,                0
    1,    191,      17680,          0,      17680,   1.001700,                0,                0,                0,                0,              122,             8804,             4358,                0,             2114,                0,             1105,                0,              707,                0,              319,                0,              151,                0
    1,    203,      17710,          0,      17710,   1.001697,                0,                0,                0,                0,              336,             8748,             4561,                0,             2038,                0,             1024,                0,              524,                0,              321,                0,              158,                0
    1,    215,      16541,          0,      16541,   0.933992,                0,                0,                0,                0,              121,             7941,             4467,                0,             2180,                0,              930,                0,              497,                0,              256,                0,              149,                0
    1,    227,      15444,          0,      15444,   0.933680,                0,                0,                0,                0,              159,             7071,             4250,                0,             2147,                0,             1010,                0,              454,                0,              232,                0,              121,                0
    1,    239,      14051,          0,      14051,   0.909803,                0,                0,                0,                0,               68,             6624,             3561,                0,             2008,                0,              990,                0,              471,                0,              214,                0,              115,                0
    1,    251,      12829,          0,      12829,   0.913031,                0,                0,                0,                0,               98,             5797,             3541,                0,             1664,                0,              929,                0,              460,                0,              234,                0,              106,                0
