"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8"
    1,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,             2593,             2623,             2666,             2648,             2638,             2605
    1,      1,     352161,          0,     352161,  22.326824,                0,           337374,                0,             2240,             2474,             2540,             2529,             2517,             2487
    1,      2,     374194,          0,     374194,   1.062565,                0,           306841,            53359,             1936,             2399,             2415,             2454,             2413,             2377
    1,      3,     367019,          0,     367019,   0.980825,                0,           284414,            69400,             1680,             2246,             2337,             2321,             2306,             2315
    1,      4,     335888,          0,     335888,   0.915179,                0,           238066,            85368,             1398,             2169,             2233,             2237,             2187,             2230
    1,      5,     125714,          0,     125714,   0.374274,                0,            19258,            94944,             1155,             2040,             2076,             2118,             2051,             2072
    1,      6,      78107,          0,      78107,   0.621307,                0,                0,            67528,              915,             1911,             1941,             1996,             1908,             1908
    1,      7,      74150,          0,      74150,   0.949339,                0,                0,            64538,              684,             1767,             1789,             1849,             1736,             1787
    1,      8,      73260,          0,      73260,   0.987997,                0,                0,            64538,              503,             1619,             1632,             1703,             1634,             1631
    1,      9,      72450,          0,      72450,   0.988944,                0,                0,            64538,              328,             1505,             1500,             1567,             1526,             1486
    1,     10,      71773,          0,      71773,   0.990656,                0,                0,            64538,              212,             1380,             1387,             1444,             1429,             1383
    1,     11,      69944,          0,      69944,   0.974517,                0,                0,            63207,              110,             1298,             1265,             1383,             1381,             1300
    1,     12,      69476,          0,      69476,   0.993309,                0,                0,            42500,            20707,             1243,             1203,             1271,             1308,             1244
    1,     13,     221613,          0,     221613,   3.189778,                0,           153607,            24014,            38109,             1068,             1169,             1214,             1242,             1190
    1,     14,     231334,          0,     231334,   1.043865,                0,           141123,            31310,            53344,              890,             1152,             1155,             1215,             1145
    1,     15,     227388,          0,     227388,   0.982942,                0,           132004,            31970,            58172,              769,             1104,             1115,             1135,             1119
    1,     16,     204883,          0,     204883,   0.901028,                0,           105363,            39367,            55234,              634,             1052,             1091,             1074,             1068
    1,     17,      99031,          0,      99031,   0.483354,                0,                0,            42612,            51839,              522,              991,             1026,             1030,             1011
    1,     18,      78271,          0,      78271,   0.790369,                0,                0,            25915,            48226,              408,              905,              950,              942,              925
    1,     19,      74050,          0,      74050,   0.946072,                0,                0,            25915,            44422,              300,              818,              886,              866,              843
    1,     20,      70146,          0,      70146,   0.947279,                0,                0,            25915,            40882,              238,              740,              801,              797,              773
    1,     21,      66891,          0,      66891,   0.953597,                0,                0,            25915,            37947,              161,              688,              735,              729,              716
    1,     22,      63885,          0,      63885,   0.955061,                0,                0,            25915,            35206,              110,              626,              682,              675,              671
    1,     23,      60595,          0,      60595,   0.948501,                0,                0,            25171,            32885,               56,              582,              610,              661,              630
    1,     24,      58598,          0,      58598,   0.967043,                0,                0,            15788,            30750,             9685,              574,              591,              609,              601
    1,     25,     126233,          0,     126233,   2.154220,                0,            69880,             7333,            29105,            17679,              501,              573,              581,              581
    1,     26,     130103,          0,     130103,   1.030658,                0,            64970,            11038,            27242,            24755,              435,              560,              548,              555
    1,     27,     125525,          0,     125525,   0.964813,                0,            59185,            14639,            22868,            26878,              381,              528,              523,              523
    1,     28,     111678,          0,     111678,   0.889687,                0,            44763,            17898,            21689,            25508,              314,              510,              500,              496
    1,     29,      69050,          0,      69050,   0.618295,                0,             4175,            18989,            20371,            23850,              269,              460,              474,              462
    1,     30,      55737,          0,      55737,   0.807198,                0,                0,            13055,            18968,            22191,              193,              447,              446,              437
    1,     31,      51783,          0,      51783,   0.929060,                0,                0,            12463,            17512,            20451,              146,              410,              399,              402
    1,     32,      48663,          0,      48663,   0.939749,                0,                0,            12463,            16189,            18795,              111,              367,              366,              372
    1,     33,      45992,          0,      45992,   0.945112,                0,                0,            12463,            15007,            17430,               78,              321,              350,              343
    1,     34,      43459,          0,      43459,   0.944925,                0,                0,            12463,            13905,            16115,               53,              277,              329,              317
    1,     35,      41303,          0,      41303,   0.950390,                0,                0,            12252,            13041,            15118,               24,              266,              300,              302
    1,     36,      39560,          0,      39560,   0.957800,                0,                0,             7870,            12255,            14169,             4444,              264,              276,              282
    1,     37,      90297,          0,      90297,   2.282533,                0,            52296,             3918,            11721,            13409,             8190,              228,              275,              260
    1,     38,      93584,          0,      93584,   1.036402,                0,            48891,             8706,            11216,            12619,            11439,              192,              267,              254
