"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35","Trait Index 36"
    1,      0,         10,          0,         10,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0,                0,                0,                0,                0,                0,                0
    1,      1,         10,          0,         10,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0,                0,                0,                0,                0,                0
    1,      2,         88,          0,         88,   8.800000,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0,                0,                0,                0,                0
    1,      3,         88,          0,         88,   1.000000,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0,                0,                0,                0
    1,      4,         88,          0,         88,   1.000000,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0,                0,                0
    1,      5,         88,          0,         88,   1.000000,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0,                0
    1,      6,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0,                0
    1,      7,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2,                0
    1,      8,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                0,                2
    1,      9,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                0,                2
    1,     10,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                1,                2
    1,     11,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                2,                3
    1,     12,         88,          0,         88,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               78,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                1,                5
    1,     13,         79,          0,         79,   0.897727,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               72,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                0,                3
    1,     14,        271,          0,        271,   3.430380,                0,              192,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               72,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                0,                3
    1,     15,        260,          0,        260,   0.959410,                0,                0,              184,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               71,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                1,                1
    1,     16,        253,          0,        253,   0.973077,                0,                0,                0,              177,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               71,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                0,                2
    1,     17,        233,          0,        233,   0.920949,                0,                0,                0,                0,              159,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               69,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                0,                2
    1,     18,        208,          0,        208,   0.892704,                0,                0,                0,                0,                0,              137,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               67,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1,                1
    1,     19,        185,          0,        185,   0.889423,                0,                0,                0,                0,                0,                0,              120,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               62,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                1
    1,     20,        173,          0,        173,   0.935135,                0,                0,                0,                0,                0,                0,                0,              112,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               59,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0
    1,     21,        153,          0,        153,   0.884393,                0,                0,                0,                0,                0,                0,                0,                0,               99,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               52,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0
    1,     22,        137,          0,        137,   0.895425,                0,                0,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               46,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2
    1,     23,        127,          0,        127,   0.927007,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               83,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               43,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     24,        123,          0,        123,   0.968504,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               79,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               43,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     25,        121,          0,        121,   0.983740,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               77,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               43,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                1
    1,     26,        544,          0,        544,   4.495868,                0,              427,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               76,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               41,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0
    1,     27,        517,          0,        517,   0.950368,                0,                0,              400,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               76,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               41,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0
    1,     28,        499,          0,        499,   0.965184,                0,                0,                0,              382,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               76,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               41,                0,                0,                0,                0,                0,                0,                0,                0,                0
    1,     29,        473,          0,        473,   0.947896,                0,                0,                0,                0,              362,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               75,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               36,                0,                0,                0,                0,                0,                0,                0,                0
    1,     30,        430,          0,        430,   0.909091,                0,                0,                0,                0,                0,              323,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               71,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               36,                0,                0,                0,                0,                0,                0,                0
    1,     31,        387,          0,        387,   0.900000,                0,                0,                0,                0,                0,                0,              285,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               67,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               35,                0,                0,                0,                0,                0,                0
    1,     32,        340,          0,        340,   0.878553,                0,                0,                0,                0,                0,                0,                0,              245,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               60,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               35,                0,                0,                0,                0,                0
    1,     33,        308,          0,        308,   0.905882,                0,                0,                0,                0,                0,                0,                0,                0,              220,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               56,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               32,                0,                0,                0,                0
    1,     34,        285,          0,        285,   0.925325,                0,                0,                0,                0,                0,                0,                0,                0,                0,              198,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               56,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               31,                0,                0,                0
    1,     35,        258,          0,        258,   0.905263,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              177,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               54,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               27,                0,                0
    1,     36,        240,          0,        240,   0.930233,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              160,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               53,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               27,                0
    1,     37,        225,          0,        225,   0.937500,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              147,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               52,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               26
    1,     38,       1532,          0,       1532,   6.808889,                0,             1313,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              146,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               51,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               22
    1,     39,       1459,          0,       1459,   0.952350,                0,                0,             1251,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              142,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               50,                0,                0,                0,                0,                0,                0,                0,                0,                0,               16
    1,     40,       1372,          0,       1372,   0.940370,                0,                0,                0,             1170,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              141,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               49,                0,                0,                0,                0,                0,                0,                0,                0,               12
    1,     41,       1266,          0,       1266,   0.922741,                0,                0,                0,                0,             1079,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              134,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               47,                0,                0,                0,                0,                0,                0,                0,                6
    1,     42,       1151,          0,       1151,   0.909163,                0,                0,                0,                0,                0,              978,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              126,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               43,                0,                0,                0,                0,                0,                0,                4
    1,     43,       1022,          0,       1022,   0.887924,                0,                0,                0,                0,                0,                0,              871,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              116,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               33,                0,                0,                0,                0,                0,                2
    1,     44,        906,          0,        906,   0.886497,                0,                0,                0,                0,                0,                0,                0,              769,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              108,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               28,                0,                0,                0,                0,                1
    1,     45,        823,          0,        823,   0.908388,                0,                0,                0,                0,                0,                0,                0,                0,              695,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              102,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               25,                0,                0,                0,                1
    1,     46,        751,          0,        751,   0.912515,                0,                0,                0,                0,                0,                0,                0,                0,                0,              626,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               99,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               25,                0,                0,                1
    1,     47,        688,          0,        688,   0.916112,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              572,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               95,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               20,                0,                1
    1,     48,        636,          0,        636,   0.924419,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              521,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               94,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               20,                1
    1,     49,        617,          0,        617,   0.970126,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              505,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               93,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               19
    1,     50,       2379,          0,       2379,   3.855754,                0,             1785,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,              488,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               90,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               16
