"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0,                0
    1,      1,    5274309,          0,    5274309,  334.388458,          5274309,                0,                0,                0,                0,                0
    1,      2,    5193700,          0,    5193700,   0.984717,          5193700,                0,                0,                0,                0,                0
    1,      3,    4847149,          0,    4847149,   0.933275,          4847149,                0,                0,                0,                0,                0
    1,      4,    4118430,          0,    4118430,   0.849660,          4118430,                0,                0,                0,                0,                0
    1,      5,     643021,          0,     643021,   0.156133,           643021,                0,                0,                0,                0,                0
    1,      6,     124680,          0,     124680,   0.193897,           124680,                0,                0,                0,                0,                0
    1,      7,      77342,          0,      77342,   0.620324,            77342,                0,                0,                0,                0,                0
    1,      8,      73404,          0,      73404,   0.949083,            73404,                0,                0,                0,                0,                0
    1,      9,      72505,          0,      72505,   0.987753,            72505,                0,                0,                0,                0,                0
    1,     10,      71651,          0,      71651,   0.988222,            71651,                0,                0,                0,                0,                0
    1,     11,      70958,          0,      70958,   0.990328,            70958,                0,                0,                0,                0,                0
    1,     12,      69196,          0,      69196,   0.975168,            69196,                0,                0,                0,                0,                0
    1,     13,    2478487,          0,    2478487,  35.818356,          2478487,                0,                0,                0,                0,                0
    1,     14,    2446231,          0,    2446231,   0.986986,          2446231,                0,                0,                0,                0,                0
    1,     15,    2290638,          0,    2290638,   0.936395,          2290638,                0,                0,                0,                0,                0
    1,     16,    1864083,          0,    1864083,   0.813783,          1864083,                0,                0,                0,                0,                0
    1,     17,     201332,          0,     201332,   0.108006,           201332,                0,                0,                0,                0,                0
    1,     18,      97543,          0,      97543,   0.484488,            97543,                0,                0,                0,                0,                0
    1,     19,      77236,          0,      77236,   0.791815,            77236,                0,                0,                0,                0,                0
    1,     20,      73200,          0,      73200,   0.947745,            73200,                0,                0,                0,                0,                0
    1,     21,      69574,          0,      69574,   0.950464,            69574,                0,                0,                0,                0,                0
    1,     22,      66312,          0,      66312,   0.953115,            66312,                0,                0,                0,                0,                0
    1,     23,      63329,          0,      63329,   0.955016,            63329,                0,                0,                0,                0,                0
    1,     24,      60164,          0,      60164,   0.950023,            60164,                0,                0,                0,                0,                0
    1,     25,    1174026,          0,    1174026,  19.513762,          1174026,                0,                0,                0,                0,                0
    1,     26,    1160521,          0,    1160521,   0.988497,          1160521,                0,                0,                0,                0,                0
    1,     27,    1076267,          0,    1076267,   0.927400,          1076267,                0,                0,                0,                0,                0
    1,     28,     858764,          0,     858764,   0.797910,           858764,                0,                0,                0,                0,                0
    1,     29,     194843,          0,     194843,   0.226888,           194843,                0,                0,                0,                0,                0
    1,     30,      69908,          0,      69908,   0.358791,            69908,                0,                0,                0,                0,                0
    1,     31,      55703,          0,      55703,   0.796804,            55703,                0,                0,                0,                0,                0
    1,     32,      51512,          0,      51512,   0.924762,            51512,                0,                0,                0,                0,                0
    1,     33,      48400,          0,      48400,   0.939587,            48400,                0,                0,                0,                0,                0
    1,     34,      45638,          0,      45638,   0.942934,            45638,                0,                0,                0,                0,                0
    1,     35,      43249,          0,      43249,   0.947653,            43249,                0,                0,                0,                0,                0
    1,     36,      41052,          0,      41052,   0.949201,            41052,                0,                0,                0,                0,                0
    1,     37,     908105,          0,     908105,  22.120846,           908105,                0,                0,                0,                0,                0
    1,     38,     902487,          0,     902487,   0.993814,           902487,                0,                0,                0,                0,                0
    1,     39,     837311,          0,     837311,   0.927782,           837311,                0,                0,                0,                0,                0
    1,     40,     717797,          0,     717797,   0.857265,           717797,                0,                0,                0,                0,                0
    1,     41,      86013,          0,      86013,   0.119829,            86013,                0,                0,                0,                0,                0
    1,     42,      46305,          0,      46305,   0.538349,            46305,                0,                0,                0,                0,                0
    1,     43,      38067,          0,      38067,   0.822093,            38067,                0,                0,                0,                0,                0
    1,     44,      35786,          0,      35786,   0.940079,            35786,                0,                0,                0,                0,                0
    1,     45,      33714,          0,      33714,   0.942100,            33714,                0,                0,                0,                0,                0
    1,     46,      31848,          0,      31848,   0.944652,            31848,                0,                0,                0,                0,                0
    1,     47,      30277,          0,      30277,   0.950672,            30277,                0,                0,                0,                0,                0
    1,     48,      28357,          0,      28357,   0.936586,            28357,                0,                0,                0,                0,                0
    1,     49,    1356407,          0,    1356407,  47.833233,          1356407,                0,                0,                0,                0,                0
    1,     50,    1424428,          0,    1424428,   1.050148,          1424428,                0,                0,                0,                0,                0
    1,     51,    1401980,          0,    1401980,   0.984241,          1401980,                0,                0,                0,                0,                0
    1,     52,    1198247,          0,    1198247,   0.854682,          1198247,                0,                0,                0,                0,                0
    1,     53,     436662,          0,     436662,   0.364417,           436662,                0,                0,                0,                0,                0
    1,     54,      68074,          0,      68074,   0.155896,            68074,                0,                0,                0,                0,                0
    1,     55,      35488,          0,      35488,   0.521315,            35488,                0,                0,                0,                0,                0
    1,     56,      33790,          0,      33790,   0.952153,            33790,                0,                0,                0,                0,                0
    1,     57,      32305,          0,      32305,   0.956052,            32305,                0,                0,                0,                0,                0
    1,     58,      31052,          0,      31052,   0.961213,            31052,                0,                0,                0,                0,                0
    1,     59,      30006,          0,      30006,   0.966315,            30006,                0,                0,                0,                0,                0
    1,     60,      28517,          0,      28517,   0.950377,            28517,                0,                0,                0,                0,                0
    1,     61,    1859605,          0,    1859605,  65.210403,          1859605,                0,                0,                0,                0,                0
    1,     62,    1908003,          0,    1908003,   1.026026,          1908003,                0,                0,                0,                0,                0
    1,     63,    1870355,          0,    1870355,   0.980268,          1870355,                0,                0,                0,                0,                0
    1,     64,    1547284,          0,    1547284,   0.827268,          1547284,                0,                0,                0,                0,                0
    1,     65,     142437,          0,     142437,   0.092056,           142437,                0,                0,                0,                0,                0
    1,     66,      56191,          0,      56191,   0.394497,            56191,                0,                0,                0,                0,                0
    1,     67,      40913,          0,      40913,   0.728106,            40913,                0,                0,                0,                0,                0
    1,     68,      39334,          0,      39334,   0.961406,            39334,                0,                0,                0,                0,                0
    1,     69,      37832,          0,      37832,   0.961814,            37832,                0,                0,                0,                0,                0
    1,     70,      36535,          0,      36535,   0.965717,            36535,                0,                0,                0,                0,                0
    1,     71,      35407,          0,      35407,   0.969126,            35407,                0,                0,                0,                0,                0
    1,     72,      34067,          0,      34067,   0.962154,            34067,                0,                0,                0,                0,                0
    1,     73,    1798500,          0,    1798500,  52.793026,          1798500,                0,                0,                0,                0,                0
    1,     74,    1936219,          0,    1936219,   1.076574,          1936219,                0,                0,                0,                0,                0
    1,     75,    1966292,          0,    1966292,   1.015532,          1966292,                0,                0,                0,                0,                0
    1,     76,    1628719,          0,    1628719,   0.828320,          1628719,                0,                0,                0,                0,                0
    1,     77,     152447,          0,     152447,   0.093599,           152447,                0,                0,                0,                0,                0
    1,     78,      61803,          0,      61803,   0.405406,            61803,                0,                0,                0,                0,                0
    1,     79,      45390,          0,      45390,   0.734430,            45390,                0,                0,                0,                0,                0
    1,     80,      43439,          0,      43439,   0.957017,            43439,                0,                0,                0,                0,                0
    1,     81,      41728,          0,      41728,   0.960611,            41728,                0,                0,                0,                0,                0
    1,     82,      40158,          0,      40158,   0.962375,            40158,                0,                0,                0,                0,                0
    1,     83,      38754,          0,      38754,   0.965038,            38754,                0,                0,                0,                0,                0
    1,     84,      37303,          0,      37303,   0.962559,            37303,                0,                0,                0,                0,                0
    1,     85,    1346596,          0,    1346596,  36.098866,          1346596,                0,                0,                0,                0,                0
    1,     86,    1272357,          0,    1272357,   0.944869,          1272357,                0,                0,                0,                0,                0
    1,     87,    1078141,          0,    1078141,   0.847357,          1078141,                0,                0,                0,                0,                0
    1,     88,     831028,          0,     831028,   0.770797,           831028,                0,                0,                0,                0,                0
    1,     89,      95235,          0,      95235,   0.114599,            95235,                0,                0,                0,                0,                0
    1,     90,      49001,          0,      49001,   0.514527,            49001,                0,                0,                0,                0,                0
    1,     91,      39814,          0,      39814,   0.812514,            39814,                0,                0,                0,                0,                0
    1,     92,      37780,          0,      37780,   0.948912,            37780,                0,                0,                0,                0,                0
    1,     93,      35776,          0,      35776,   0.946956,            35776,                0,                0,                0,                0,                0
    1,     94,      34171,          0,      34171,   0.955138,            34171,                0,                0,                0,                0,                0
    1,     95,      32791,          0,      32791,   0.959615,            32791,                0,                0,                0,                0,                0
    1,     96,      31132,          0,      31132,   0.949407,            31132,                0,                0,                0,                0,                0
    1,     97,     932904,          0,     932904,  29.966080,           932904,                0,                0,                0,                0,                0
    1,     98,     906019,          0,     906019,   0.971181,           906019,                0,                0,                0,                0,                0
    1,     99,     831039,          0,     831039,   0.917242,           831039,                0,                0,                0,                0,                0
    1,    100,     700840,          0,     700840,   0.843330,           700840,                0,                0,                0,                0,                0
    1,    101,      78383,          0,      78383,   0.111842,            78383,                0,                0,                0,                0,                0
    1,    102,      39234,          0,      39234,   0.500542,            39234,                0,                0,                0,                0,                0
    1,    103,      31427,          0,      31427,   0.801014,            31427,                0,                0,                0,                0,                0
    1,    104,      29706,          0,      29706,   0.945238,            29706,                0,                0,                0,                0,                0
    1,    105,      28142,          0,      28142,   0.947351,            28142,                0,                0,                0,                0,                0
    1,    106,      26813,          0,      26813,   0.952775,            26813,                0,                0,                0,                0,                0
    1,    107,      25549,          0,      25549,   0.952859,            25549,                0,                0,                0,                0,                0
    1,    108,      24275,          0,      24275,   0.950135,            24275,                0,                0,                0,                0,                0
    1,    109,     984855,          0,     984855,  40.570751,           984855,                0,                0,                0,                0,                0
    1,    110,    1004574,          0,    1004574,   1.020022,          1004574,                0,                0,                0,                0,                0
    1,    111,     948213,          0,     948213,   0.943896,           948213,                0,                0,                0,                0,                0
    1,    112,     816647,          0,     816647,   0.861248,           816647,                0,                0,                0,                0,                0
    1,    113,      81317,          0,      81317,   0.099574,            81317,                0,                0,                0,                0,                0
    1,    114,      36256,          0,      36256,   0.445860,            36256,                0,                0,                0,                0,                0
    1,    115,      28418,          0,      28418,   0.783815,            28418,                0,                0,                0,                0,                0
    1,    116,      27049,          0,      27049,   0.951826,            27049,                0,                0,                0,                0,                0
    1,    117,      25770,          0,      25770,   0.952715,            25770,                0,                0,                0,                0,                0
    1,    118,      24711,          0,      24711,   0.958906,            24711,                0,                0,                0,                0,                0
    1,    119,      23748,          0,      23748,   0.961030,            23748,                0,                0,                0,                0,                0
    1,    120,      22700,          0,      22700,   0.955870,            22700,                0,                0,                0,                0,                0
    1,    121,    1183253,          0,    1183253,  52.125683,          1183253,                0,                0,                0,                0,                0
    1,    122,    1236817,          0,    1236817,   1.045268,          1236817,                0,                0,                0,                0,                0
    1,    123,    1237905,          0,    1237905,   1.000880,          1237905,                0,                0,                0,                0,                0
    1,    124,    1047330,          0,    1047330,   0.846050,          1047330,                0,                0,                0,                0,                0
    1,    125,      98558,          0,      98558,   0.094104,            98558,                0,                0,                0,                0,                0
    1,    126,      39674,          0,      39674,   0.402545,            39674,                0,                0,                0,                0,                0
    1,    127,      29340,          0,      29340,   0.739527,            29340,                0,                0,                0,                0,                0
    1,    128,      28099,          0,      28099,   0.957703,            28099,                0,                0,                0,                0,                0
    1,    129,      26923,          0,      26923,   0.958148,            26923,                0,                0,                0,                0,                0
    1,    130,      25930,          0,      25930,   0.963117,            25930,                0,                0,                0,                0,                0
    1,    131,      24982,          0,      24982,   0.963440,            24982,                0,                0,                0,                0,                0
    1,    132,      23708,          0,      23708,   0.949003,            23708,                0,                0,                0,                0,                0
    1,    133,    1135795,          0,    1135795,  47.907669,          1135795,                0,                0,                0,                0,                0
    1,    134,    1144863,          0,    1144863,   1.007984,          1144863,                0,                0,                0,                0,                0
    1,    135,    1109114,          0,    1109114,   0.968774,          1109114,                0,                0,                0,                0,                0
    1,    136,     929672,          0,     929672,   0.838211,           929672,                0,                0,                0,                0,                0
    1,    137,      96894,          0,      96894,   0.104224,            96894,                0,                0,                0,                0,                0
    1,    138,      39218,          0,      39218,   0.404752,            39218,                0,                0,                0,                0,                0
    1,    139,      29247,          0,      29247,   0.745754,            29247,                0,                0,                0,                0,                0
    1,    140,      27961,          0,      27961,   0.956030,            27961,                0,                0,                0,                0,                0
    1,    141,      26793,          0,      26793,   0.958228,            26793,                0,                0,                0,                0,                0
    1,    142,      25763,          0,      25763,   0.961557,            25763,                0,                0,                0,                0,                0
    1,    143,      24809,          0,      24809,   0.962970,            24809,                0,                0,                0,                0,                0
    1,    144,      23642,          0,      23642,   0.952961,            23642,                0,                0,                0,                0,                0
    1,    145,     925919,          0,     925919,  39.164158,           925919,                0,                0,                0,                0,                0
    1,    146,     918962,          0,     918962,   0.992486,           918962,                0,                0,                0,                0,                0
    1,    147,     867832,          0,     867832,   0.944361,           867832,                0,                0,                0,                0,                0
    1,    148,     718480,          0,     718480,   0.827902,           718480,                0,                0,                0,                0,                0
    1,    149,     112242,          0,     112242,   0.156221,           112242,                0,                0,                0,                0,                0
    1,    150,      36575,          0,      36575,   0.325858,            36575,                0,                0,                0,                0,                0
    1,    151,      26525,          0,      26525,   0.725222,            26525,                0,                0,                0,                0,                0
    1,    152,      25230,          0,      25230,   0.951178,            25230,                0,                0,                0,                0,                0
    1,    153,      23996,          0,      23996,   0.951090,            23996,                0,                0,                0,                0,                0
    1,    154,      22970,          0,      22970,   0.957243,            22970,                0,                0,                0,                0,                0
    1,    155,      22057,          0,      22057,   0.960253,            22057,                0,                0,                0,                0,                0
    1,    156,      21020,          0,      21020,   0.952985,            21020,                0,                0,                0,                0,                0
    1,    157,     852582,          0,     852582,  40.560513,           852582,                0,                0,                0,                0,                0
    1,    158,     833695,          0,     833695,   0.977847,           833695,                0,                0,                0,                0,                0
    1,    159,     766071,          0,     766071,   0.918886,           766071,                0,                0,                0,                0,                0
    1,    160,     642438,          0,     642438,   0.838614,           642438,                0,                0,                0,                0,                0
    1,    161,      65972,          0,      65972,   0.102690,            65971,                1,                0,                0,                0,                0
    1,    162,      30553,          0,      30553,   0.463121,            30552,                1,                0,                0,                0,                0
    1,    163,      24022,          0,      24022,   0.786240,            24021,                1,                0,                0,                0,                0
    1,    164,      22908,          0,      22908,   0.953626,            22907,                1,                0,                0,                0,                0
    1,    165,      21805,          0,      21805,   0.951851,            21804,                1,                0,                0,                0,                0
    1,    166,      20843,          0,      20843,   0.955882,            20842,                1,                0,                0,                0,                0
    1,    167,      20005,          0,      20005,   0.959795,            20005,                0,                0,                0,                0,                0
    1,    168,      19220,          0,      19220,   0.960760,            19220,                0,                0,                0,                0,                0
    1,    169,     818049,          0,     818049,  42.562382,           818049,                0,                0,                0,                0,                0
    1,    170,     816417,          0,     816417,   0.998005,           816413,                4,                0,                0,                0,                0
    1,    171,     781737,          0,     781737,   0.957522,           781733,                4,                0,                0,                0,                0
    1,    172,     675717,          0,     675717,   0.864379,           675714,                3,                0,                0,                0,                0
    1,    173,      66716,          0,      66716,   0.098734,            66716,                0,                0,                0,                0,                0
    1,    174,      29124,          0,      29124,   0.436537,            29124,                0,                0,                0,                0,                0
    1,    175,      22257,          0,      22257,   0.764215,            22257,                0,                0,                0,                0,                0
    1,    176,      21198,          0,      21198,   0.952419,            21198,                0,                0,                0,                0,                0
    1,    177,      20263,          0,      20263,   0.955892,            20263,                0,                0,                0,                0,                0
    1,    178,      19331,          0,      19331,   0.954005,            19331,                0,                0,                0,                0,                0
    1,    179,      18600,          0,      18600,   0.962185,            18599,                1,                0,                0,                0,                0
    1,    180,      17883,          0,      17883,   0.961452,            17882,                1,                0,                0,                0,                0
    1,    181,     793612,          0,     793612,  44.378014,           793612,                0,                0,                0,                0,                0
    1,    182,     818058,          0,     818058,   1.030803,           818057,                0,                1,                0,                0,                0
    1,    183,     800986,          0,     800986,   0.979131,           800902,                0,               84,                0,                0,                0
    1,    184,     663167,          0,     663167,   0.827938,           663161,                0,                5,                0,                1,                0
    1,    185,     359484,          0,     359484,   0.542072,           359483,                0,                0,                0,                1,                0
    1,    186,      46995,          0,      46995,   0.130729,            46991,                0,                3,                0,                0,                1
    1,    187,      21784,          0,      21784,   0.463539,            21777,                3,                3,                0,                0,                1
    1,    188,      20757,          0,      20757,   0.952855,            20753,                0,                3,                0,                0,                1
    1,    189,      19927,          0,      19927,   0.960014,            19923,                3,                0,                0,                0,                1
    1,    190,      19160,          0,      19160,   0.961510,            19158,                0,                0,                0,                0,                2
    1,    191,      18513,          0,      18513,   0.966232,            18509,                3,                0,                0,                1,                0
    1,    192,      17826,          0,      17826,   0.962891,            17824,                1,                0,                1,                0,                0
    1,    193,     862523,          0,     862523,  48.385674,           861495,             1028,                0,                0,                0,                0
    1,    194,     900042,          0,     900042,   1.043499,           898009,             1269,                0,                0,              764,                0
    1,    195,     850387,          0,     850387,   0.944830,           846642,              789,             1731,                0,             1225,                0
    1,    196,     688833,          0,     688833,   0.810023,           688585,               41,              141,                0,               66,                0
    1,    197,     353138,          0,     353138,   0.512661,           353091,                7,               33,                0,                6,                1
    1,    198,      47142,          0,      47142,   0.133495,            47105,                4,               25,                0,                6,                2
    1,    199,      22292,          0,      22292,   0.472869,            22258,                4,               24,                0,                4,                2
    1,    200,      21254,          0,      21254,   0.953436,            21222,               26,                0,                0,                4,                2
    1,    201,      20350,          0,      20350,   0.957467,            20322,               22,                0,                4,                0,                2
    1,    202,      19548,          0,      19548,   0.960590,            19521,               21,                4,                0,                0,                2
