"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    1,      0,      15773,          0,      15773,   1.000000,                0,             5325,            10448
    1,     12,      68757,          0,      68757,   4.359158,            42105,            21543,             5109
    1,     24,      58182,          0,      58182,   0.846197,            15572,            40180,             2430
    1,     36,      39398,          0,      39398,   0.677151,             7797,            26401,             5200
    1,     48,      27233,          0,      27233,   0.691228,             5517,            12665,             9051
    1,     60,      27766,          0,      27766,   1.019572,             9798,            11096,             6872
    1,     72,      33292,          0,      33292,   1.199020,            12910,            15653,             4729
    1,     84,      36195,          0,      36195,   1.087198,            13397,            19054,             3744
    1,     96,      30087,          0,      30087,   0.831247,             7801,            18221,             4065
    1,    108,      23410,          0,      23410,   0.778077,             5755,            12936,             4719
    1,    120,      22038,          0,      22038,   0.941393,             7268,            10055,             4715
    1,    132,      22959,          0,      22959,   1.041791,             8001,            11150,             3808
    1,    144,      22880,          0,      22880,   0.996559,             7857,            11970,             3053
    1,    156,      20333,          0,      20333,   0.888680,             5997,            11189,             3147
    1,    168,      18625,          0,      18625,   0.915999,             5688,             9772,             3165
    1,    180,      17331,          0,      17331,   0.930524,             5248,             8988,             3095
    1,    192,      17288,          0,      17288,   0.997519,             5679,             8732,             2877
    1,    204,      17422,          0,      17422,   1.007751,             5982,             8701,             2739
    1,    216,      17130,          0,      17130,   0.983240,             5632,             9007,             2491
    1,    228,      15577,          0,      15577,   0.909340,             4513,             8586,             2478
    1,    240,      14630,          0,      14630,   0.939205,             4665,             7497,             2468
    1,    252,      13184,          0,      13184,   0.901162,             3652,             7206,             2326
