"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0
    1,      1,     341231,          0,     341231,  21.633867,           331260,                0,             8234,             1737,                0
    1,      2,     366686,          0,     366686,   1.074598,           357121,                0,             2507,             7058,                0
    1,      3,     359389,          0,     359389,   0.980100,           350237,                0,             1238,             7914,                0
    1,      4,     326267,          0,     326267,   0.907838,           317469,                2,             8796,                0,                0
    1,      5,     121223,          0,     121223,   0.371545,           112928,              549,             7746,                0,                0
    1,      6,      76074,          0,      76074,   0.627554,            68318,             2643,             5113,                0,                0
    1,      7,      72423,          0,      72423,   0.952007,            65667,             6756,                0,                0,                0
    1,      8,      71481,          0,      71481,   0.986993,            67262,             4219,                0,                0,                0
    1,      9,      70693,          0,      70693,   0.988976,            66242,             4451,                0,                0,                0
    1,     10,      70016,          0,      70016,   0.990423,            64362,             5654,                0,                0,                0
    1,     11,      69498,          0,      69498,   0.992602,            64114,              441,             4943,                0,                0
    1,     12,      67580,          0,      67580,   0.972402,            62464,               13,             5103,                0,                0
    1,     13,     221193,          0,     221193,   3.273054,           216297,                0,             3979,              917,                0
    1,     14,     231073,          0,     231073,   1.044667,           226394,                0,             1099,             3580,                0
    1,     15,     222869,          0,     222869,   0.964496,           218385,                0,              922,             3562,                0
    1,     16,     205242,          0,     205242,   0.920909,           200929,               12,             4301,                0,                0
    1,     17,      97830,          0,      97830,   0.476657,            93762,              459,             3609,                0,                0
    1,     18,      76638,          0,      76638,   0.783379,            73139,             3499,                0,                0,                0
    1,     19,      72506,          0,      72506,   0.946084,            71511,              995,                0,                0,                0
    1,     20,      68798,          0,      68798,   0.948859,            67023,             1775,                0,                0,                0
    1,     21,      65568,          0,      65568,   0.953051,            63531,             2037,                0,                0,                0
    1,     22,      62699,          0,      62699,   0.956244,            60032,             2576,               91,                0,                0
    1,     23,      60221,          0,      60221,   0.960478,            57724,              951,             1546,                0,                0
    1,     24,      57410,          0,      57410,   0.953322,            55016,                6,             2388,                0,                0
    1,     25,     126451,          0,     126451,   2.202595,           124159,                2,             2290,                0,                0
    1,     26,     130354,          0,     130354,   1.030866,           128201,                0,              547,             1606,                0
    1,     27,     125733,          0,     125733,   0.964550,           123719,                0,              453,             1561,                0
    1,     28,     114880,          0,     114880,   0.913682,           112997,                5,             1791,               87,                0
    1,     29,      68732,          0,      68732,   0.598294,            66994,              233,             1505,                0,                0
    1,     30,      55029,          0,      55029,   0.800631,            53457,             1127,              445,                0,                0
    1,     31,      51016,          0,      51016,   0.927075,            49856,             1160,                0,                0,                0
    1,     32,      47986,          0,      47986,   0.940607,            47133,              853,                0,                0,                0
    1,     33,      45363,          0,      45363,   0.945338,            44418,              945,                0,                0,                0
    1,     34,      43015,          0,      43015,   0.948240,            42025,              990,                0,                0,                0
    1,     35,      41090,          0,      41090,   0.955248,            40151,              270,              669,                0,                0
    1,     36,      39217,          0,      39217,   0.954417,            38358,               11,              848,                0,                0
    1,     37,      89851,          0,      89851,   2.291124,            84951,                0,             3366,             1534,                0
    1,     38,      92677,          0,      92677,   1.031452,            84274,                0,             1809,             6594,                0
    1,     39,      89559,          0,      89559,   0.966356,            78154,                5,             2746,             8654,                0
