"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6"
    1,      0,         10,          0,         10,   1.000000,               10,                0,                0,                0,                0,                0,                0
    1,      2,         37,          0,         37,   3.700000,                0,                0,                0,               35,                0,                0,                2
    1,     14,        133,          0,        133,   3.594594,                0,                0,                0,              126,                0,                0,                7
    1,     26,        260,          0,        260,   1.954887,                0,                0,                0,              244,                0,                0,               16
    1,     38,        410,          0,        410,   1.576923,                0,                0,                0,              387,                0,                0,               23
    1,     50,        668,          0,        668,   1.629268,                0,                0,                0,              633,                0,                0,               35
    1,     62,       1416,          0,       1416,   2.119761,                0,                0,                0,             1334,                0,                0,               82
    1,     74,       2700,          0,       2700,   1.906780,                0,                0,                0,             2543,                0,                0,              157
    1,     86,       5260,          0,       5260,   1.948148,                0,                0,                0,             4959,                0,                0,              301
    1,     98,      10944,          0,      10944,   2.080608,                0,                0,                0,            10330,                0,                0,              614
    1,    110,      19722,          0,      19722,   1.802083,                0,                0,                0,            18598,                0,                0,             1124
    1,    122,      38959,          0,      38959,   1.975408,                0,                0,                0,            36731,                0,                0,             2228
    1,    134,      73754,          0,      73754,   1.893118,                0,                0,                0,            69590,                0,                0,             4164
    1,    146,     139571,          0,     139571,   1.892385,                0,                0,                0,           131622,                0,                0,             7949
    1,    158,     271494,          0,     271494,   1.945204,                0,                0,                0,           256141,                0,                0,            15353
    1,    170,     542019,          0,     542019,   1.996431,                0,                0,                0,           511180,                0,                0,            30839
    1,    182,    1041536,          0,    1041536,   1.921586,                0,                0,                0,           982164,                0,                0,            59372
    1,    194,    2116589,          0,    2116589,   2.032180,                0,                0,                0,          1995368,                0,                0,           121221
    1,    206,    4218430,          0,    4218430,   1.993032,                0,                0,                0,          3972924,                0,                0,           245506
    1,    218,    7998914,          0,    7998914,   1.896183,                0,                0,                0,          7522662,                0,                0,           476252
    1,    230,   14682260,          0,   14682260,   1.835532,                0,                0,                0,         13780341,                0,                0,           901919
    1,    242,   26079938,          0,   26079938,   1.776289,                0,                0,                0,         24405372,                0,                0,          1674566
    1,    254,   44424526,          0,   44424526,   1.703399,                0,                0,                0,         41377099,                0,                0,          3047427
    1,    266,   71880682,          0,   71880682,   1.618040,                0,                0,                0,         66335368,                0,                0,          5545314
    1,    278,  103694869,          0,  103694869,   1.442597,                0,                0,                0,         94460468,                0,                0,          9234401
    1,    290,  133990453,          0,  133990453,   1.292161,                0,                0,                0,        119956573,                0,                0,         14033880
    1,    302,  160182167,          0,  160182167,   1.195474,                0,                0,                0,        140040186,                0,                0,         20141981
