"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35","Trait Index 36"
    1,      0,         10,          0,         10,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                2,                1,                0,                1,                0,                0,                0
    1,      1,         10,          0,         10,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                2,                1,                0,                1,                0,                0
    1,      2,         99,          0,         99,   9.900000,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                2,                1,                0,                1,                0
    1,      3,         99,          0,         99,   1.000000,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                2,                1,                0,                1
    1,      4,         99,          0,         99,   1.000000,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                2,                1,                1
    1,      5,         99,          0,         99,   1.000000,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                2,                2
    1,      6,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                0,                4
    1,      7,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                1,                4
    1,      8,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                1,                5
    1,      9,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                0,                6
    1,     10,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                0,                6
    1,     11,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                0,                6
    1,     12,         99,          0,         99,   1.000000,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               89,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                1,                6
    1,     13,         91,          0,         91,   0.919192,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               83,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                1,                5
    1,     14,        284,          0,        284,   3.120879,                0,              201,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               76,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                0,                5
    1,     15,        269,          0,        269,   0.947183,                0,                0,              191,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               73,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                0,                3
    1,     16,        253,          0,        253,   0.940520,                0,                0,                0,              178,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               71,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                0,                2
    1,     17,        236,          0,        236,   0.932806,                0,                0,                0,                0,              165,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               68,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                2,                1
    1,     18,        218,          0,        218,   0.923729,                0,                0,                0,                0,                0,              148,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,               67,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                0,                3
