"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    1,      0,         10,          0,         10,   1.000000,               10,                0
    1,      2,         10,          0,         10,   1.000000,                4,                6
    1,     14,        112,          0,        112,  11.200000,               91,               21
    1,     26,        130,          0,        130,   1.160714,               75,               55
    1,     38,        337,          0,        337,   2.592308,              261,               76
    1,     50,        568,          0,        568,   1.685460,              381,              187
    1,     62,       1238,          0,       1238,   2.179577,              917,              321
    1,     74,       2262,          0,       2262,   1.827141,             1547,              715
    1,     86,       4833,          0,       4833,   2.136605,             3562,             1271
    1,     98,       8968,          0,       8968,   1.855576,             6424,             2544
    1,    110,      17035,          0,      17035,   1.899532,            12213,             4822
    1,    122,      33553,          0,      33553,   1.969651,            24203,             9350
    1,    134,      63597,          0,      63597,   1.895419,            45819,            17778
    1,    146,     119638,          0,     119638,   1.881189,            86202,            33436
    1,    158,     235639,          0,     235639,   1.969600,           169816,            65823
    1,    170,     464733,          0,     464733,   1.972224,           334966,           129767
    1,    182,     889259,          0,     889259,   1.913484,           637995,           251264
    1,    194,    1812761,          0,    1812761,   2.038507,          1310875,           501886
    1,    206,    3503685,          0,    3503685,   1.932789,          2508382,           995303
    1,    218,    6319302,          0,    6319302,   1.803616,          4467507,          1851795
    1,    230,   11227393,          0,   11227393,   1.776682,          7921110,          3306283
    1,    242,   18020866,          0,   18020866,   1.605080,         12380064,          5640802
    1,    254,   28259236,          0,   28259236,   1.568140,         19228920,          9030316
    1,    266,   39561968,          0,   39561968,   1.399966,         25867439,         13694529
    1,    278,   49546538,          0,   49546538,   1.252378,         31349169,         18197369
