"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3"
    1,      0,         10,          0,         10,   1.000000,                0,                2,                8,                0
    1,     12,        135,          0,        135,  13.500000,              125,                0,                2,                8
    1,     24,        175,          0,        175,   1.296296,              105,               70,                0,                0
    1,     36,        416,          0,        416,   2.377143,              323,               58,               35,                0
    1,     48,        786,          0,        786,   1.889423,              589,              178,               18,                1
    1,     60,       1446,          0,       1446,   1.839695,             1084,              302,               60,                0
    1,     72,       2797,          0,       2797,   1.934301,             2104,              583,              108,                2
    1,     84,       5238,          0,       5238,   1.872721,             3877,             1139,              218,                4
    1,     96,      10458,          0,      10458,   1.996564,             7896,             2102,              456,                4
    1,    108,      19415,          0,      19415,   1.856474,            14423,             4181,              802,                9
    1,    120,      37779,          0,      37779,   1.945867,            28548,             7618,             1598,               15
    1,    132,      71731,          0,      71731,   1.898700,            53663,            15193,             2852,               23
    1,    144,     136081,          0,     136081,   1.897102,           101908,            28420,             5697,               56
    1,    156,     267936,          0,     267936,   1.968945,           202264,            54693,            10874,              105
    1,    168,     522493,          0,     522493,   1.950066,           391408,           109769,            21085,              231
    1,    180,    1004395,          0,    1004395,   1.922313,           751775,           210704,            41542,              374
    1,    192,    2030904,          0,    2030904,   2.022017,          1527471,           419129,            83513,              791
    1,    204,    3928313,          0,    3928313,   1.934268,          2921999,           840933,           163874,             1507
    1,    216,    7043630,          0,    7043630,   1.793042,          5141945,          1576736,           321891,             3058
    1,    228,   12409727,          0,   12409727,   1.761837,          9031137,          2769747,           602991,             5852
    1,    240,   19636658,          0,   19636658,   1.582360,         13741790,          4832205,          1051730,            10933
    1,    252,   30308155,          0,   30308155,   1.543448,         20958569,          7467024,          1863144,            19418
    1,    264,   41655460,          0,   41655460,   1.374398,         27205877,         11503252,          2911874,            34457
    1,    276,   51992497,          0,   51992497,   1.248156,         32711809,         14801942,          4425753,            52993
    1,    288,   61299230,          0,   61299230,   1.179002,         37957528,         17586866,          5673539,            81297
    1,    300,   72409678,          0,   72409678,   1.181249,         44125097,         21201325,          6974965,           108291
    1,    312,   80044857,          0,   80044857,   1.105444,         46617203,         24822396,          8470234,           135024
