Step,Seg 35,Seg 141,Seg 147,Seg 149,Seg 153,Seg 159,Seg 164,Seg 165,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 200,Seg 201,Seg 203,Seg 204,Seg 205,Seg 209,Seg 216,Seg 217,Seg 220,Seg 223,Seg 234,Seg 248,Seg 254,Seg 255,Seg 257,Seg 264,Seg 282,Seg 287,Seg 288,Seg 290,Seg 291,Seg 292,Seg 303,Seg 304,Seg 308,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 432,Seg 435,Seg 437,Seg 446,Seg 447,Seg 455,Seg 458,Seg 460,Seg 463,Seg 464,Seg 465,Seg 466,Seg 469,Seg 470,Seg 471,Seg 472,Seg 474,Seg 475,Seg 476,Seg 481,Seg 483,Seg 484,Seg 485,Seg 488,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 517,Seg 518,Seg 519,Seg 520,Seg 527,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 552,Seg 556,Seg 559,Seg 563,Seg 568,Seg 569,Seg 585,Seg 586,Seg 589,Seg 590,Seg 594,Seg 599,Seg 602,Seg 610,Seg 613,Seg 628,Seg 632,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 764,Seg 768,Seg 769,Seg 781,Seg 788,Seg 791,Seg 798,Seg 799,Seg 802,Seg 803,Seg 805,Seg 814,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 825,Seg 827,Seg 831,Seg 836,Seg 839,Seg 840,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 887,Seg 889,Seg 899,Seg 906,Seg 926,Seg 929,Seg 945,Seg 947,Seg 949,Seg 950,Seg 952,Seg 954,Seg 957,Seg 959,Seg 973,Seg 975,Seg 977,Seg 978,Seg 986,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1100,Seg 1102,Seg 1105,Seg 1107,Seg 1118,Seg 1122,Seg 1123,Seg 1126,Seg 1134,Seg 1162,Seg 1163,Seg 1164,Seg 1165,Seg 1168,Seg 1172,Seg 1174,Seg 1181,Seg 1182,Seg 1185,Seg 1186,Seg 1192,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1224,Seg 1229,Seg 1230,Seg 1234,Seg 1245,Seg 1251,Seg 1252,Seg 1257,Seg 1261,Seg 1264,Seg 1281,Seg 1283,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1297,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1317,Seg 1323,Seg 1325,Seg 1328,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1444,Seg 1456,Seg 1457,Seg 1462,Seg 1467,Seg 1470,Seg 1472,Seg 1474,Seg 1477,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1502,Seg 1503,Seg 1504,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1516,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1531,Seg 1533,Seg 1534,Seg 1537,Seg 1540,Seg 1541,Seg 1544,Seg 1546,Seg 1552,Seg 1559,Seg 1568,Seg 1570,Seg 1576,Seg 1580,Seg 1582,Seg 1590,Seg 1624,Seg 1625,Seg 1626,Seg 1627,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1649,Seg 1651,Seg 1652,Seg 1653,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1675,Seg 1676,Seg 1677,Seg 1793,Seg 1797,Seg 1807,Seg 1819,Seg 1826,Seg 1829,Seg 1830,Seg 1832,Seg 1835,Seg 1838,Seg 1839,Seg 1840,Seg 1841,Seg 1846,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1867,Seg 1868,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1885,Seg 1888,Seg 1889,Seg 1891,Seg 1895,Seg 1902,Seg 1905,Seg 1925,Seg 1942,Seg 1948,Seg 1958,Seg 1977,Seg 1978,Seg 1981,Seg 1983,Seg 1985,Seg 1988,Seg 1989,Seg 1991,Seg 1993,Seg 1994,Seg 2006,Seg 2007,Seg 2010,Seg 2013,Seg 2015,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2102,Seg 2107,Seg 2116,Seg 2118,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2126,Seg 2129,Seg 2131,Seg 2132,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2149,Seg 2160,Seg 2166,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2204,Seg 2205,Seg 2212,Seg 2213,Seg 2214,Seg 2215,Seg 2216,
1,0,0,0,80,0,0,22,11023,83519,12,16207,24,18595,54379,10,8628,32419,3389,8,8558,0,6145,2,7198,33865,19450,10,21006,0,145762,0,12,2,0,0,0,0,0,0,16,15045,8,51567,103262,10147,20277,27482,16,10561,8,0,0,0,0,0,1379,3750,0,0,0,0,0,10,10,10,48101,1050,4,0,0,1507,0,0,70,15780,17638,12799,13786,8,8,19214,6,0,0,17838,14214,76240,12945,12167,18758,59285,10152,16,0,0,10,0,4,0,12,22,22,0,0,0,0,0,0,4740,0,70365,15932,87298,6,20,16,10,6823,8367,0,0,0,0,0,0,696,0,0,0,0,29072,9947,4797,51484,2,17404,3814,18,0,75997,0,26669,8,25634,34845,5736,10,37632,28,12,12972,20,12,6,0,0,14,7,8,47,0,0,12,0,2,0,0,42,0,0,0,0,0,8,31166,4,8,8,19518,20790,49041,58401,16,37076,226084,45639,0,0,0,0,0,0,0,0,0,225038,6028,2,0,16,0,0,48644,0,24141,6,0,4,8,35629,10,24,0,0,0,10,0,0,0,119735,19323,8,11863,75311,0,4,20,16,24270,0,33396,42689,45958,52219,0,1403,3621,86264,0,26967,67853,4,10,7297,6,10,32,22935,56015,26998,15580,43280,0,0,0,0,0,0,686,0,0,12075,26,4,20,12,4,18093,0,24,10,13380,9898,25259,9378,9206,17679,0,8,2,12993,22185,0,49547,16,0,20,16612,0,172114,42243,0,0,0,0,0,0,4,921,2916,16,0,13726,15448,10,18,0,0,0,0,16723,56037,21901,56856,33506,11635,16622,6402,20952,12,27838,7570,41636,14,8,5661,15849,48659,21588,0,0,0,0,12,0,0,0,0,5752,25547,16,0,0,15100,32374,12574,20151,31734,0,22,16,5299,31934,12,13352,35882,19960,48221,0,65974,8970,15642,0,0,30,0,0,12,0,20394,28,0,12410,0,2856,0,4,0,0,46256,0,0,0,0,20629,28,3218,22255,12696,1443,16,15037,43299,10,87080,4,15290,4,0,0,0,0,33797,15168,18191,0,0,14786,12,50,10,86030,9064,21937,16,0,0,8,8,26,109333,0,0,0,0,9062,6,6128,
2,0,0,428,44,254,0,38,12834,95147,22,17384,1182,29285,66688,1567,9438,35062,7765,12,9296,28,7331,16,7844,41172,21476,6,23136,0,161476,0,12,0,2424,4,8,42,0,18,1538,17620,36,64056,121312,13049,26474,34643,14,12400,1619,0,0,0,0,0,1538,4066,0,9,0,4,0,8,8,18,56476,1232,0,0,4,1718,0,16,12,17107,20500,13790,15296,12,8,20846,1581,0,0,20229,16554,86960,16140,13194,22054,72292,11910,441,10,4,16,0,0,0,12,18,18,0,0,4,0,0,4,5566,0,78202,20342,103688,2,18,16,6,8094,9910,0,20,10,0,4,0,768,0,0,12,0,31897,11694,6042,61591,27,20654,4508,32,0,92953,8,30777,8,31058,45103,6726,20,47721,12,16,14168,18,12,4,0,0,16,0,2,3015,0,0,24,0,10,12,0,870,8,0,0,0,20,8,36696,4,8,8,24616,24626,59318,69226,20,43952,269253,54280,0,0,8,0,14,0,708,0,0,245384,7032,0,0,2922,0,2,53012,0,31554,4,0,20,8,44239,6,1184,38,0,0,22,0,4,0,140341,20944,702,13638,89937,0,16,16,24,29691,0,42412,47472,50404,59987,0,1610,4254,98863,0,31088,79827,4,42,8606,46,2,42,28213,66710,31986,18542,51306,0,4,0,4,122,0,738,12,4,13632,22,4,40,46,8,19816,0,1587,4,15062,11622,29824,11154,12561,30097,0,8,0,14290,24230,8,58268,10,0,10,19530,0,201819,48280,0,6,0,0,0,0,12,1016,3356,12,0,16348,17664,6,48,0,4,2,12,18592,68793,25722,68273,39286,15228,21099,7558,24344,12,33750,8884,49202,12,8,6762,19990,57414,25460,0,0,0,0,10,0,0,0,12,6308,30405,38,0,0,16418,43210,13794,22104,36706,0,1150,12,5692,40245,8,15262,41764,24544,56332,0,73271,13741,16800,0,0,60,4,0,2269,0,24412,30,0,17725,4,3427,256,0,0,422,52842,0,0,0,0,25253,48,3568,26036,14820,1952,132,17534,52360,8,107174,4,19412,24,0,0,0,0,37627,18086,21660,0,12,16296,8,4,22,101018,10630,25910,1386,0,0,34,8,20,133695,0,0,269,4,10594,18,8425,
3,0,4,500,3916,290,0,16,11510,79738,8,13856,1394,28640,62639,1908,7672,28108,7864,16,7518,24,6558,12,6308,37002,17876,4,20363,0,137202,0,8,0,3006,8,12,34,4,32,3248,15662,16,57468,107820,11842,24306,31578,1167,11014,1940,676,0,0,0,0,1296,3334,4,4,0,0,0,8,20,14,50346,1092,0,0,115,2510,0,28,4,13882,17890,10986,12534,20,8,16898,1928,1083,4,16926,14674,71390,14264,10622,19741,65246,10636,741,697,2,36,4,0,4,16,16,8,4,8,4,0,0,4,4862,0,64578,18522,92814,0,16,20,4,7258,8852,4,4,12,0,0,0,648,4,8,0,0,26880,11799,5586,54142,20,18532,4046,16,0,79860,8,26678,10,27696,42646,6002,10,43754,4,12,11436,10,12,14,0,0,44,0,0,3676,0,2,4,12,0,0,0,956,125,0,0,0,20,18,34413,4,1165,8,22446,22014,54423,62006,14,39304,242613,48804,0,2,4,4,8,0,1571,106,0,199152,6188,28,4,3487,1043,0,44381,0,27894,4,0,12,12,41099,14,1423,10,0,0,14,0,8,8,121610,16738,796,11848,76645,0,4,14,16,27082,8,36674,40414,41146,52994,0,1424,3694,82678,6,26712,72135,1609,48,7704,12,0,26,25550,59816,28562,18180,47045,2,6,0,0,144,0,701,441,0,13323,16,0,20,10,1178,17467,10,1826,4,12594,10356,26840,9990,12065,29766,0,14,0,11704,19613,8,50484,20,0,10,17528,0,168172,40840,0,0,0,0,0,0,12,858,2914,1591,16,14330,15148,34,36,0,4,0,0,15118,61982,24030,61204,34850,13998,19188,6742,21216,20,30230,7956,43936,8,8,6056,18929,51302,22632,8,0,10,0,0,4,0,0,2,5152,27202,14,2,0,16973,39952,11360,19319,32514,4,1364,26,4553,36766,40,13060,38402,22284,49604,8,59826,13260,13332,0,0,64,4,8,2628,0,20764,22,0,16132,99,2984,294,0,0,490,44660,0,0,4,0,21212,36,2944,22768,13228,1824,64,15296,47122,12,98555,16,17722,4,0,0,0,0,30406,16112,19454,2,22,13284,16,12,6,89670,9414,21834,1556,0,0,1140,28,12,114965,0,0,304,0,9258,0,7840,
4,4,0,396,4504,228,0,8,10454,68139,4,11220,1252,25364,57484,1732,6350,23084,6760,12,6130,20,5956,0,5080,33302,15304,4,18368,0,115150,0,6,0,2660,10,8,28,4,0,3188,14186,10,50307,97150,10631,23515,31252,1428,9940,1743,784,8,4,0,0,1098,2768,4,12,0,0,0,12,8,4,45454,982,0,0,128,2304,0,20,20,11652,15876,8864,10420,32,8,13858,1752,1224,4,14362,13188,59560,12424,8786,19101,58988,9634,692,798,0,8,0,0,4,10,16,8,4,16,4,0,0,2,4238,6,54082,16678,85093,0,16,18,4,6560,7940,4,24,42,0,0,8,530,0,4,0,0,22404,10938,5084,47532,8,16814,3650,12,0,68714,12,22640,4,24816,37163,5424,4,41106,22,8,9290,8,16,0,0,0,28,0,0,3228,0,4,20,16,4,8,0,828,140,0,0,8,25,8,31676,8,1414,8,20286,19816,50701,56051,1149,36644,226132,45916,0,0,4,4,4,4,1622,121,0,165383,5668,8,0,2976,1192,24,37969,0,23738,8,0,20,8,37344,8,1293,2,0,0,8,0,4,4,105722,13570,680,10464,63870,0,0,12,12,24000,48,30638,34104,33948,46146,0,1294,3208,68910,8,23144,65474,1956,1203,6964,2,0,32,23006,54086,25814,17006,42960,0,4,0,4,124,0,606,518,0,12110,16,0,16,4,1444,14652,12,1578,4,10724,9410,24368,9046,10246,26748,0,8,8,9792,16244,0,43986,6,4,8,16024,0,138537,35060,0,0,0,4,0,4,14,720,2578,1910,8,12646,13330,8,16,0,4,8,4,12336,58304,22132,56250,31488,12560,17494,6075,18598,10,27426,7272,39672,8,4,5460,17288,46246,20292,8,0,4,4,0,16,8,0,12,4254,24841,10,0,0,15050,36072,9566,16680,28462,0,1256,20,3730,33364,16,11390,35154,20278,44832,4,50623,12048,10936,0,0,70,10,4,2304,0,17558,32,0,13832,122,2610,250,0,0,429,38072,0,0,4,0,17474,32,2426,19952,11942,1608,70,13422,42608,16,90713,4,16138,20,0,4,4,0,24754,16908,17512,4,4,11034,12,4,4,81100,8514,18490,1348,0,0,1316,38,6,97754,0,0,250,8,8198,4,7107,
5,4,0,310,3796,176,0,8,9390,56712,14,9042,1120,21116,51280,1518,5196,18852,5790,12,4930,12,5314,8,4068,29562,13068,4,15420,0,94985,2,4,6,2300,20,8,20,4,44,2680,12620,4,42296,86166,9420,21240,28585,1294,8900,1518,682,8,4,0,0,932,2260,4,12,0,0,0,8,8,4,40352,862,0,0,102,1852,0,18,44,9650,13864,7146,8666,16,8,11118,1540,1036,4,12136,11622,48321,10630,7180,17404,52526,8548,588,689,4,12,0,0,4,8,18,6,4,16,4,0,0,12,3694,2,44834,14828,76190,8,8,12,4,5856,7048,3,22,38,0,0,8,460,0,4,0,0,18278,9570,4554,41254,26,14964,3228,8,4,57534,16,18886,4,22052,30222,4834,4,37322,30,8,7480,8,10,4,0,0,26,0,0,2824,0,6,15,16,16,0,4,718,118,0,4,8,22,12,28190,8,1258,10,18072,17590,45770,50046,1354,33128,204618,41696,0,0,4,4,4,4,1402,104,8,134963,5066,0,0,2464,1006,24,31088,0,19910,4,0,8,8,32924,4,1130,12,14,0,4,0,4,4,91070,11004,572,9146,52516,0,10,12,12,20674,12,25492,28408,27864,39450,0,1118,2760,56988,12,19744,58007,1732,1406,6252,0,4,26,20390,48118,23024,15118,38320,0,4,0,4,110,0,488,438,0,10272,12,0,14,8,1296,11870,4,1338,4,9020,8402,21702,8078,8418,23718,0,4,4,8286,13428,0,37646,4,4,16,14336,0,113757,29556,0,0,8,2,0,4,8,638,2234,1668,4,10862,11682,12,12,0,4,6,16,10130,52626,19768,50206,28076,11158,15644,5386,16002,6,24484,6476,35280,8,4,4804,15326,40996,17900,8,0,22,4,0,2,16,0,2,3420,22097,16,4,0,12270,32036,8018,13872,24264,0,1108,4,3064,29616,8,9816,31304,17982,40132,4,41946,10677,8832,0,0,76,8,4,1955,0,14620,18,0,11720,92,2222,208,0,4,370,32178,4,0,4,0,14442,14,1974,17194,10608,1428,50,11726,37866,14,81739,10,14564,10,28,2,2,0,19924,15770,15534,4,4,9114,6,12,4,72238,7602,15686,1170,4,4,1130,10,2,81961,0,4,194,4,7244,0,6372,
6,4,0,254,3071,128,0,4,8337,45288,8,7088,960,16848,44106,1268,4172,14940,4840,8,3906,8,4614,4,3270,25344,10684,4,12360,0,75948,0,2,2,1903,18,8,16,4,44,2164,10790,4,33920,73820,8080,18104,24603,1098,7602,1262,604,8,4,0,0,776,1812,4,10,0,0,0,8,14,4,34428,738,0,0,78,1478,0,16,36,7654,11766,5686,6994,32,8,8600,1304,854,4,10070,9834,38104,8852,5740,14790,44858,7352,494,566,4,4,0,0,4,8,8,4,4,14,4,0,98,10,3144,0,36155,12666,65142,4,8,12,4,5010,6046,0,14,36,0,0,8,390,0,4,0,86,14543,8064,3924,34620,22,12868,2762,8,4,46643,14,15178,4,18816,23791,4146,4,32036,24,8,5884,8,8,2,0,12,22,0,0,2392,0,4,8,14,14,0,4,596,100,0,3,8,14,8,24188,4,1098,4,15372,14864,39288,43142,1154,28620,176205,35969,0,0,2,4,4,4,1192,86,8,107042,4334,0,0,1946,840,20,24536,0,16404,4,0,4,6,28092,4,976,8,8,0,4,0,4,4,76450,8688,486,7682,42282,0,4,10,12,17156,12,20582,22776,22360,32586,22,922,2300,46031,12,16402,49522,1484,1218,5447,0,4,14,17392,41102,19674,12858,32900,0,4,0,4,98,0,392,348,0,8542,16,0,16,4,1136,9444,4,1114,4,7416,7254,18588,6936,6740,20168,0,4,4,6802,10778,0,31354,200,4,6,12358,0,91192,24344,0,0,8,0,4,2,4,538,1886,1424,4,9132,9862,6,12,0,0,4,16,8104,45166,16940,42818,23974,9624,13292,4592,13328,2,20996,5496,30222,8,4,4062,13204,35211,15290,8,0,18,0,0,0,12,0,0,2724,18874,8,4,12,9822,27252,6474,11242,20092,0,938,4,2434,25262,8,8186,26768,15316,34506,2,33578,9136,6922,0,0,58,6,4,1580,0,11932,8,0,9578,82,1846,178,0,4,304,26354,4,8,4,0,11797,10,1582,14354,9252,1236,20,9970,32198,16,70380,4,12598,8,28,0,0,0,15596,13597,13274,4,4,7276,4,10,2,61892,6484,12868,988,4,4,906,6,0,66314,0,2,154,2,6162,0,5480,
7,4,0,212,2330,88,0,0,6988,35062,8,5522,802,13058,36714,1028,3270,11504,3946,8,3010,8,3894,4,2568,21112,8438,4,9612,0,59290,0,0,0,1552,16,8,12,4,40,1746,8986,4,26446,61248,6706,15066,20406,914,6268,1036,496,8,2,0,0,624,1436,4,8,0,0,0,8,8,4,28448,618,0,0,58,1168,0,15,32,5886,9810,4404,5498,26,6,6544,1090,686,2,8234,8066,29516,7204,4470,12250,37274,6152,380,426,4,4,0,0,2,6,2,2,4,12,4,0,82,8,2578,0,28552,10578,53933,4,6,12,4,4128,5000,0,8,32,0,0,6,330,0,4,0,70,11123,6660,3318,28534,19,10780,2272,8,4,36782,12,11933,4,15560,18492,3446,4,26686,16,8,4588,6,8,0,0,12,18,0,0,1960,0,4,8,12,10,0,4,478,74,0,0,8,6,8,20170,2,924,4,12700,12288,32618,35944,968,23828,146324,29832,0,0,0,2,2,4,1000,64,6,82692,3660,0,0,1486,670,16,18812,0,13188,4,0,4,4,23366,4,800,8,8,0,4,0,4,4,62964,6744,406,6236,32951,0,4,8,10,13832,12,16260,17786,17476,26138,18,742,1888,36466,10,13330,41095,1238,1048,4532,0,4,10,14500,34164,16236,10710,27364,0,4,0,4,86,0,306,282,0,6930,16,0,14,2,938,7320,4,910,4,6006,6068,15518,5840,5208,16668,0,4,2,5370,8356,0,25674,171,4,4,10394,0,71297,19664,0,0,6,0,4,0,2,424,1574,1198,4,7578,8040,4,10,0,0,4,12,6330,37778,14032,35694,19880,7944,11010,3784,10900,0,17396,4478,25042,6,4,3308,11072,29252,12662,4,0,16,0,0,0,12,0,0,2162,15602,8,4,12,7666,22590,5044,8852,16344,0,772,4,1874,20898,8,6668,22204,12798,28616,0,26144,7583,5267,0,0,44,4,4,1258,0,9518,8,0,7636,68,1484,146,0,4,236,20900,4,8,4,0,9350,8,1231,11872,7742,1020,14,8284,26574,14,58248,4,10550,8,24,0,0,0,11988,11300,10934,4,4,5624,4,8,0,51502,5332,10216,822,4,4,716,4,0,52084,0,0,122,0,5100,0,4526,
8,4,0,176,1748,62,0,0,5692,26742,6,4240,664,9748,29663,830,2468,8636,3122,8,2238,6,3180,4,1972,17094,6468,4,7390,0,45402,0,0,0,1221,12,8,8,4,32,1378,7282,2,20394,49470,5452,12218,16445,740,4950,846,374,6,0,0,0,484,1118,4,8,0,0,0,4,4,4,22826,498,0,0,42,910,0,10,26,4364,7898,3264,4120,20,4,4988,878,536,0,6500,6442,22326,5708,3302,9916,30116,4958,306,300,4,4,0,0,0,4,0,0,4,10,4,0,64,8,2090,0,22025,8552,43650,4,4,10,4,3310,4040,0,8,24,0,0,2,274,0,4,0,54,8256,5470,2688,23088,16,8714,1814,6,2,28146,10,9150,2,12490,14114,2852,4,21650,8,8,3554,4,6,0,0,12,14,0,0,1574,0,2,8,12,8,0,4,360,46,0,0,8,4,6,16324,0,742,4,10254,9994,26418,29222,778,19228,118635,24191,0,0,0,0,0,4,780,50,4,62560,2970,0,0,1118,500,14,14145,0,10284,2,0,2,4,18740,4,642,6,6,0,4,0,4,4,50666,5110,334,4982,24944,0,2,8,8,10822,12,12580,13742,13234,20274,16,592,1484,28324,6,10546,33096,1008,860,3610,0,4,8,11816,27816,13168,8740,22188,0,4,0,4,76,0,232,240,0,5308,14,0,12,0,764,5602,2,746,4,4768,4942,12686,4804,3912,13442,0,4,0,4114,6300,0,20566,132,4,4,8464,0,54594,15504,0,0,4,0,4,0,0,334,1280,964,2,6116,6258,2,6,0,0,4,6,4932,30576,11294,29002,16148,6444,8848,3042,8736,0,13904,3532,20099,2,4,2636,9049,23780,10256,0,0,14,0,0,0,10,0,0,1652,12516,6,4,12,5846,18190,3832,6770,13130,0,616,4,1406,16826,8,5280,17764,10384,22980,0,19812,6140,3994,0,0,38,4,4,944,0,7322,8,0,5998,52,1126,106,0,4,192,16182,4,8,2,0,7214,8,952,9562,6301,818,10,6696,21564,12,46976,4,8550,8,18,0,0,0,9034,9161,8754,4,4,4228,4,8,0,41720,4258,7836,646,2,2,548,4,0,40218,0,0,100,0,4134,0,3668,
9,4,0,138,1310,52,0,0,4399,20326,4,3206,534,7226,23302,652,1834,6346,2426,8,1678,4,2512,2,1514,13208,4838,4,5658,0,34083,0,0,0,956,8,6,8,4,26,1062,5698,0,15558,38732,4311,9660,12864,574,3762,660,270,2,0,0,0,364,840,4,8,0,0,0,0,2,4,17816,384,0,0,32,718,0,8,16,3228,6132,2356,3058,14,4,3794,686,416,0,4998,5022,16732,4454,2452,7736,23550,3848,244,226,4,4,0,0,0,4,0,0,4,8,4,0,52,6,1652,0,16716,6704,34514,4,4,6,2,2554,3196,0,8,16,0,0,0,212,0,4,0,44,6168,4456,2111,18182,16,6892,1432,2,0,21184,8,6888,0,9638,10728,2276,4,16988,4,6,2696,2,4,0,0,10,12,0,0,1248,0,0,6,10,4,0,2,270,26,0,0,6,4,4,12772,0,582,4,7956,7964,20832,23090,596,15232,94003,19107,0,0,0,0,0,2,574,40,4,46996,2298,0,0,814,364,10,10550,0,7832,0,0,0,4,14424,4,488,4,4,0,4,0,2,4,40020,3792,260,3914,18736,0,0,8,8,8082,10,9440,10431,9848,15260,16,454,1130,21420,4,8170,25876,844,654,2838,0,2,8,9404,21992,10294,6872,17348,0,4,0,2,54,0,164,192,0,3998,10,0,10,0,634,4244,0,610,4,3700,3948,10014,3794,2894,10452,0,4,0,3096,4808,0,15828,102,4,4,6608,0,41168,11924,0,0,4,0,4,0,0,252,1014,752,0,4778,4786,0,4,0,0,4,4,3794,23812,8842,22770,12600,5103,6878,2406,6778,0,10848,2782,15750,0,2,2066,7148,18886,8072,0,0,10,0,0,0,6,0,0,1228,9772,4,2,10,4442,14168,2852,5034,10304,0,494,4,1044,13250,8,4092,13694,8094,17786,0,14756,4864,3030,0,0,32,2,4,706,0,5476,8,0,4560,36,846,74,0,4,154,12250,4,8,0,0,5416,8,744,7438,4946,646,8,5158,17076,8,37160,4,6700,6,14,0,0,0,6746,7200,6870,4,4,3182,2,8,0,32634,3282,5854,484,0,0,406,2,0,30444,0,0,84,0,3294,0,2914,
10,4,0,96,982,46,0,0,3370,15412,4,2378,400,5424,18175,510,1376,4790,1908,6,1266,4,1962,0,1124,10204,3678,2,4204,0,25266,0,0,0,746,8,4,6,4,24,832,4424,0,11724,30154,3394,7586,10028,432,2848,506,188,0,0,0,0,276,632,4,8,0,0,0,0,0,2,13912,292,0,0,24,562,0,8,10,2436,4784,1690,2356,12,2,2850,556,314,0,3824,3902,12686,3468,1880,5990,18292,2966,182,176,4,4,0,0,0,4,0,0,4,8,4,0,40,4,1304,0,12766,5232,27078,4,4,4,0,2004,2498,0,6,12,0,0,0,162,0,4,0,34,4661,3584,1642,14098,14,5442,1082,0,0,15860,8,5186,0,7356,8110,1768,4,13192,4,4,2032,0,4,0,0,8,12,0,0,994,0,0,4,6,0,0,0,214,16,0,0,4,2,2,9858,0,454,4,6190,6230,16364,18126,460,12052,73658,14940,0,0,0,0,0,0,418,30,2,35324,1776,0,0,596,266,8,7894,0,5900,0,0,0,4,11042,4,363,2,2,0,4,0,0,4,31518,2840,202,3056,13996,0,0,6,8,5956,8,6954,7918,7362,11536,14,332,876,16246,2,6372,20250,720,498,2258,0,0,6,7396,17094,7932,5354,13410,0,4,0,0,32,0,120,144,0,3044,8,0,8,0,498,3186,0,492,2,2818,3160,7846,3004,2158,8018,0,4,0,2350,3616,0,12008,78,2,4,5134,0,30998,9014,0,0,2,0,4,0,0,180,772,596,0,3734,3722,0,4,0,0,4,2,2856,18590,6872,17664,9780,3980,5364,1898,5232,0,8478,2190,12382,0,0,1620,5478,14858,6272,0,0,6,0,0,0,4,0,0,920,7672,4,0,8,3330,11006,2136,3750,7912,0,394,4,794,10344,6,3212,10492,6196,13656,0,11008,3766,2246,0,0,26,0,4,554,0,4152,8,0,3456,26,648,56,0,2,110,9222,4,6,0,0,4099,8,562,5760,3858,510,6,3976,13354,4,29290,4,5208,4,10,0,0,0,5042,5622,5350,4,4,2396,0,8,0,25276,2528,4454,354,0,0,312,0,0,22876,0,0,64,0,2560,0,2264,
