Step,Seg 137,Seg 147,Seg 149,Seg 153,Seg 159,Seg 164,Seg 165,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 200,Seg 201,Seg 203,Seg 204,Seg 205,Seg 207,Seg 209,Seg 216,Seg 217,Seg 220,Seg 223,Seg 234,Seg 248,Seg 254,Seg 257,Seg 264,Seg 282,Seg 287,Seg 288,Seg 290,Seg 292,Seg 303,Seg 304,Seg 308,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 435,Seg 455,Seg 458,Seg 463,Seg 464,Seg 469,Seg 470,Seg 471,Seg 472,Seg 481,Seg 483,Seg 485,Seg 488,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 517,Seg 519,Seg 520,Seg 527,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 552,Seg 556,Seg 559,Seg 585,Seg 586,Seg 589,Seg 594,Seg 599,Seg 610,Seg 613,Seg 628,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 768,Seg 781,Seg 798,Seg 805,Seg 814,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 823,Seg 825,Seg 827,Seg 831,Seg 836,Seg 839,Seg 840,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 889,Seg 899,Seg 906,Seg 926,Seg 929,Seg 949,Seg 950,Seg 952,Seg 954,Seg 957,Seg 959,Seg 973,Seg 978,Seg 986,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1118,Seg 1134,Seg 1144,Seg 1145,Seg 1162,Seg 1163,Seg 1164,Seg 1168,Seg 1174,Seg 1181,Seg 1185,Seg 1186,Seg 1192,Seg 1194,Seg 1195,Seg 1199,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1224,Seg 1229,Seg 1230,Seg 1251,Seg 1252,Seg 1257,Seg 1261,Seg 1264,Seg 1281,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1297,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1323,Seg 1325,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1456,Seg 1462,Seg 1467,Seg 1474,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1503,Seg 1504,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1516,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1531,Seg 1533,Seg 1534,Seg 1537,Seg 1540,Seg 1541,Seg 1546,Seg 1552,Seg 1582,Seg 1590,Seg 1624,Seg 1625,Seg 1626,Seg 1627,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1651,Seg 1652,Seg 1653,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1675,Seg 1676,Seg 1677,Seg 1793,Seg 1807,Seg 1819,Seg 1826,Seg 1829,Seg 1830,Seg 1832,Seg 1835,Seg 1838,Seg 1839,Seg 1840,Seg 1846,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1868,Seg 1871,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1888,Seg 1889,Seg 1891,Seg 1895,Seg 1902,Seg 1905,Seg 1925,Seg 1942,Seg 1948,Seg 1977,Seg 1978,Seg 1983,Seg 1985,Seg 1988,Seg 1994,Seg 2006,Seg 2010,Seg 2013,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2102,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2126,Seg 2129,Seg 2131,Seg 2132,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2149,Seg 2153,Seg 2160,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2205,Seg 2214,Seg 2215,Seg 2216,
1,0,0,40,0,0,4,2832,58398,30,12,6,170418,38978,16,0,47162,19686,18,15047,0,2092,0,10,0,47880,16,12,26085,0,165951,6,4,0,0,0,0,0,8,10885,18,19240,145438,20269,33133,24118,4,15914,16,0,1363,0,14,0,4,18,14,39423,0,22,0,18,18796,20710,12142,13641,6,6,2,4,0,33215,23797,58943,6065,15202,21920,111484,11337,18,0,0,8,14,20,22,0,0,0,0,1411,61568,69627,80873,16,8,18,18,9439,9926,0,0,0,0,29125,14461,3696,70210,16,8,21312,18,0,0,62425,0,47900,6,18,105242,5416,18,62194,16,4,14521,16,8,8,0,0,14,8,0,4,4,0,12,0,8,0,0,0,20,45674,4,8,18,22108,31416,20486,43487,4,29188,185955,38017,0,0,0,0,229602,51824,4,16,0,108273,7328,4,0,10,8,0,26583,6,12,18,0,0,24,1361,73323,6461,8,7469,217455,16,8,10,21477,0,15579,134600,56487,47512,0,0,62061,34110,84398,8,14,5523,12,16,4,4,38726,7598,7943,21941,0,0,0,0,5168,14,12,14,6,14,35349,14,14,13955,14310,15085,7167,12,67244,0,4,8,15788,24930,7310,54983,10,0,14,15447,165228,14015,0,6,0,1411,12,0,0,8,22,22,0,0,0,10940,56302,11241,57499,45585,21786,5999,1457,11324,12,4575,19550,44090,4,8,4540,22406,64724,9088,0,0,0,0,0,0,0,0,8,18824,18,0,11415,0,20019,18,31269,4,0,10,7869,27147,18,9032,33977,27161,67921,98292,21153,19213,0,0,16,0,6,0,8064,8,11014,4130,4351,0,40883,0,0,11587,14,2102,31590,16,5035,19620,9897,30308,22,86406,20,18919,24,0,30462,32722,9067,0,0,8671,8,14,2,45656,12111,15218,19,0,4,4,6,6,122839,0,3840,12,15289,
2,0,0,62,0,0,16,3296,65072,34,12,34,192855,50590,16,0,50868,22994,12,16430,0,2488,0,8,8,55628,38,4,29836,12,183298,2,4,6,0,8,265,0,10,12824,40,24508,172050,23767,40033,30924,16,18734,129,0,1486,0,10,0,4,14,10,47465,268,66,16,4,21117,24216,16823,14950,53,4,0,4,0,37808,27530,66896,7044,16598,25766,131029,13382,275,0,6,22,12,14,28,0,0,0,0,1650,69913,81680,97252,16,6,14,16,11158,13340,0,0,0,0,31703,17014,4318,82036,1156,36,25280,28,0,0,70975,0,54813,4,20,113190,6334,1112,74701,4,4,15828,16,6,6,0,8,0,6,24,1590,16,0,28,0,0,0,0,0,16,55191,4,24,18,27486,40459,25825,51602,10,34534,226967,50695,16,0,0,0,250332,60851,4,1655,0,117938,9822,4,0,32,8,0,30948,4,1934,16,0,0,36,1484,88297,6982,716,8584,242145,14,6,32,25850,0,17360,149544,63215,53266,0,0,72042,39290,100952,6,1165,6764,20,12,4,14,45992,9000,9400,25942,0,0,0,0,5780,10,6,1626,2,8,38680,1564,12,15742,16734,17678,10098,5193,79982,0,4,8,17362,28605,8146,64931,8,4,6,18140,187415,16054,0,1518,41,1618,12,0,0,4005,16,90,0,0,0,12036,67857,13218,67766,55044,25506,8587,1752,13104,12,8589,22902,52212,12,8,5382,26412,76318,10694,0,0,0,0,392,0,4,4,10,22363,28,0,12310,10049,21860,34,39363,36,0,8,8598,31968,12,10420,39492,31952,80915,106496,26619,20710,0,12,32,4,0,2664,10543,20,12402,4696,4944,0,47399,0,0,14396,60,2366,36754,1628,5932,22776,11578,35834,12,104142,18,24202,42,0,32812,44955,10752,0,15,9608,4414,485,2,53560,14174,16942,717,0,4,12,1547,4,144095,4,4524,22,18174,
3,0,0,148,8,0,28,2936,55507,50,1126,0,159072,46646,20,4,40822,21540,8,13260,20,2255,0,16,4,49246,14,2,24508,4,150741,0,0,16,4,100,292,0,2,11466,24,21197,156583,21150,35726,28196,12,16648,108,0,1234,0,12,0,4,12,12,42632,278,1508,6,4,17883,21210,14564,12214,2349,14,8,32,0,31934,24266,54824,6078,13326,23034,116638,11972,316,8,0,28,1577,12,14,4,0,0,4,1466,59553,72610,87423,20,8,18,16,9982,12336,0,0,4,0,25894,14950,3842,72769,1398,20,22592,12,0,0,61326,0,46438,4,24,95779,5680,2786,67482,2,4,12730,14,4,10,0,14,8,4,8,1798,10,0,12,0,0,0,0,0,20,49508,4,10,12,24906,37278,23586,46059,0,30878,212308,50011,12,0,674,0,202212,55334,12,1874,0,97569,9874,2,0,20,8,8,27436,4,2569,24,0,0,20,1214,78609,5560,810,7444,197490,16,4,8,22490,4,15525,123353,51832,44754,0,0,63288,33720,92007,18,1354,6128,2,12,4,52,41142,8146,8340,23068,4,0,0,4,4888,8,4,1978,0,8,31332,1802,12,13296,14948,15738,9586,6771,71262,0,4,8,14242,23582,6822,59137,8,4,4,16162,156371,13552,733,1780,24,1462,16,0,16,4596,12,1180,0,0,4,9696,61976,11840,61450,49348,22684,8156,1663,11274,12,8563,20416,46558,4,4,4800,23966,67918,9484,4,20,12,0,420,0,8,0,18,20009,2746,0,9854,12130,17888,28,34796,12,0,8,6978,28508,8,8998,34894,28563,71912,87616,24446,16466,0,12,42,0,0,3134,13069,8,10400,4058,4184,0,40246,0,0,12140,12,1962,31952,1990,5284,19719,10152,31976,6,95224,16,23304,20,0,26284,44754,9568,0,11,7906,4978,558,0,47464,12570,14134,832,0,4,44,1762,8,123524,0,3956,6,16244,
4,0,0,192,8,0,1181,2650,47092,64,1246,0,132396,42342,20,0,33568,19270,4,10818,0,1994,0,16,4,44542,16,4,20148,8,125634,8,0,24,4,114,258,0,0,10362,10,20416,143695,18968,33658,25250,24,14924,104,8,1046,0,10,0,4,12,8,38642,234,1656,4,22,15156,18746,11824,10094,3811,0,12,10,3,27170,21850,44872,5320,10882,20866,105464,10806,270,12,4,57,1866,12,10,12,0,0,20,1324,50124,67194,79303,14,4,18,14,9042,11122,0,0,4,0,21476,13190,3462,63882,1262,16,22003,12,0,0,54475,4,39270,4,32,79968,5232,2834,61794,16,4,10448,2,4,0,0,24,8,4,8,1498,8,0,12,0,2,4,0,6,0,44646,12,22,10,22524,33736,21396,41650,8,27956,199351,46230,24,0,782,0,165786,50386,8,1563,0,80910,9816,0,0,16,8,3,24708,8,2366,14,0,0,20,996,68652,4508,702,6580,163872,10,2,12,19548,0,13328,102816,42680,38466,0,4,54846,29304,83490,0,1238,5530,0,12,18,8,37336,7438,7482,20788,4,4,0,4,4254,8,8,1796,0,16,25706,2678,10,11348,13582,14262,8712,5867,65516,0,4,6,11910,19514,5784,51999,8,4,2,14620,131881,11570,824,1562,22,1282,18,4,8,4052,10,1420,0,0,8,7948,56514,10732,55884,44686,20534,7378,1526,9900,10,8870,18551,42042,0,4,4292,21772,61112,8520,4,12,4,10,358,0,10,8,1084,18137,3294,0,8132,10918,14968,20,30312,12,0,12,5690,25920,12,7836,31466,25896,66186,72679,22168,13308,0,2,60,0,0,2746,13608,8,8892,3548,3610,0,34262,0,4,10028,24,1608,27928,1776,4778,17246,8912,28914,4,88867,16,22748,24,0,21328,41442,8608,0,2,6576,4184,522,0,42888,11364,12068,726,0,4,32,1536,2,105008,0,3526,8,14622,
5,0,0,136,8,0,1388,2390,39264,60,1022,0,109014,37692,16,0,27320,16474,0,8774,4,1748,0,6,6,39530,28,0,16588,8,103871,0,0,28,12,98,206,4,0,9204,18,17728,127832,16782,30351,22336,8,13246,110,6,910,0,8,0,8,10,4,34414,172,1392,4,26,12564,16356,9606,8220,3560,0,44,0,0,22984,19366,36484,4546,8766,18608,93704,9614,234,10,6,18,1596,18,8,10,0,0,8,1124,41733,59984,70836,16,4,4,10,8060,9978,0,8,8,0,17446,11644,3108,55284,1124,23,20076,12,0,0,45880,4,32732,4,20,64670,4726,2394,55742,16,8,8524,0,4,0,0,24,12,0,8,1244,8,4,10,0,0,6,0,8,0,39724,4,28,10,20038,30040,19226,37282,0,24978,180102,41368,22,0,656,0,134236,44894,4,1278,0,65798,8570,0,4,8,4,0,21882,2,2110,10,12,0,24,818,59026,3622,604,5792,134736,8,0,16,16772,0,11114,85256,34916,33016,0,4,46028,25120,74028,0,1100,4928,4,10,16,8,33268,6662,6674,18396,4,12,0,4,3606,8,8,1620,0,10,20874,2650,8,9556,12206,12790,7832,4750,58742,0,4,4,9892,16172,4846,44300,4,4,4,13090,109284,9832,674,1370,28,1108,8,4,32,3526,6,1248,4,0,4,6550,50384,9552,49726,39874,18350,6548,1318,8526,8,8192,16522,37388,0,4,3744,19338,54094,7580,4,16,2,8,314,0,8,4,1242,16192,2900,0,6652,9794,12408,16,25890,20,4,8,4580,23172,20,6738,28002,23070,59428,59644,19652,10708,0,0,56,0,0,2384,11812,12,7482,2964,3088,0,28844,0,8,8201,12,1289,24054,1568,4218,14856,7716,25732,4,80561,14,20811,20,30,17132,36919,7664,16,0,5458,3422,462,0,38164,10064,10166,640,0,4,24,1284,0,87662,0,3104,4,13078,
6,0,0,102,8,0,1164,2260,31562,48,816,0,87234,32316,16,0,21724,13626,0,6988,4,1488,0,4,4,33854,12,0,13206,8,83256,0,0,26,8,78,166,4,0,7916,4,14440,109176,14346,25956,19250,2,11412,54,4,756,0,8,0,4,6,4,29420,144,1088,4,22,10128,13936,7560,6546,2924,0,12,0,0,19064,16564,28895,3764,6884,15934,80108,8256,204,6,4,6,1312,6,4,8,0,56,6,936,33774,51397,60748,8,4,4,8,6860,8538,0,5,8,18,13787,9892,2706,46540,970,12,17212,12,0,0,37038,4,26464,4,14,50906,4042,1936,47920,20,8,6784,0,4,0,2,20,12,0,6,1016,8,4,2,0,0,4,0,8,0,33972,4,14,4,17118,25560,16668,32108,0,21628,154941,35588,20,0,546,0,106093,38384,2,1020,0,51946,7026,0,4,8,4,0,18700,0,1824,8,8,0,16,668,49458,2868,488,4918,108006,4,0,8,13940,0,8956,69072,27934,27324,16,4,37028,20850,63118,0,930,4206,4,6,8,2,28454,5738,5708,15717,2,10,0,4,2976,8,4,1386,0,4,16580,2222,8,7884,10558,11046,6784,3772,50294,0,4,4,8010,13136,3952,36716,188,4,4,11314,87912,8232,546,1178,24,950,4,4,30,2928,4,1004,4,0,4,5278,43040,8216,42554,34182,15894,5540,1126,7090,8,6918,14188,32000,0,4,3230,16600,46378,6532,4,14,0,8,262,0,6,2,1044,13826,2448,6,5306,8418,10020,16,21422,18,4,4,3628,19830,12,5624,23978,19844,50967,47732,16936,8402,0,0,34,0,0,1982,9650,8,6080,2376,2586,0,23508,15,8,6547,12,1020,20150,1441,3538,12306,6566,22034,2,69341,8,17980,24,28,13382,31552,6552,16,0,4376,2706,392,0,32620,8572,8270,527,0,4,34,1014,0,70604,0,2628,4,11234,
7,0,0,76,8,0,940,1900,24498,40,622,0,67835,26912,14,0,16828,11110,0,5438,4,1224,0,4,4,28058,12,0,10128,6,65165,0,0,22,4,58,122,4,0,6660,0,11419,90606,11908,21594,15989,0,9472,46,4,572,0,8,0,4,4,4,24430,124,842,4,18,7928,11618,5814,5140,2354,0,10,0,0,15424,13794,22132,3054,5254,13268,66500,6858,166,4,4,2,1066,2,4,8,0,43,2,780,26696,42702,50480,8,4,4,8,5670,7064,0,0,4,14,10660,8154,2258,38368,832,10,14342,10,0,0,29238,4,20766,4,12,39374,3356,1492,39916,20,8,5246,0,4,0,0,16,12,0,4,818,8,2,0,0,0,4,0,7,0,28212,4,12,4,14212,21198,14008,26848,0,18116,128647,29445,20,0,440,0,81878,31911,0,772,0,39698,5682,0,4,8,4,0,15488,0,1512,6,6,0,8,532,40664,2232,392,4050,83732,2,0,8,11216,0,6946,54378,21702,21874,12,4,29043,16988,52330,0,748,3479,4,4,8,0,23772,4816,4722,13038,0,8,0,4,2454,6,4,1154,0,2,12836,1780,8,6378,8820,9258,5680,2890,41760,0,4,4,6328,10286,3130,30008,168,4,4,9494,68854,6676,442,960,18,810,4,4,28,2362,4,830,3,0,4,4184,35620,6818,35234,28438,13140,4640,930,5804,8,5628,11794,26622,0,4,2662,13804,38576,5394,4,10,0,6,214,0,4,0,809,11516,2004,4,4172,6978,7892,14,17396,16,4,2,2812,16496,10,4608,19832,16554,42408,37026,14288,6494,0,0,20,0,0,1562,7752,4,4838,1912,2116,0,18614,10,8,5158,10,816,16528,1192,2878,9988,5482,18352,0,57204,8,14966,20,28,10266,26286,5448,16,0,3370,2110,322,0,27154,7158,6552,412,0,4,30,818,0,55346,0,2230,4,9342,
8,0,0,60,6,0,694,1547,18638,30,438,0,51210,21818,12,0,12820,8972,0,4134,4,978,0,4,2,22510,8,0,7698,4,49926,0,0,16,2,48,90,2,0,5412,0,8846,72923,9602,17502,12754,0,7676,44,2,406,0,8,0,4,4,4,19690,96,652,4,12,6052,9406,4410,3898,1842,0,8,0,0,12140,11134,16790,2404,3932,10672,53588,5610,128,4,4,0,842,0,4,8,0,30,0,634,20770,34166,40964,8,4,4,6,4538,5710,0,0,0,10,8030,6582,1830,31168,686,8,11548,6,0,0,22522,4,15786,4,8,29954,2730,1132,32428,18,8,3988,0,4,0,0,14,12,0,2,632,8,0,0,0,0,4,0,4,0,22886,2,10,4,11388,17202,11398,21820,0,14694,104442,23922,18,0,330,0,62202,25756,0,564,0,29660,4532,0,4,6,4,0,12342,0,1200,4,4,0,4,396,32808,1654,304,3254,62824,0,0,8,8720,0,5362,41964,16578,16984,10,2,22262,13604,42406,0,600,2790,4,4,8,0,19424,3942,3796,10576,0,8,0,4,1944,4,4,922,0,0,9708,1408,8,4962,7130,7564,4566,2128,33628,0,2,4,4884,7696,2424,23860,136,4,4,7656,52668,5246,352,760,12,656,4,4,24,1832,4,692,0,0,2,3216,28656,5530,28255,22964,10464,3766,738,4644,6,4482,9404,21372,0,4,2104,11138,31274,4238,4,8,0,4,180,0,2,0,592,9376,1640,4,3210,5602,6022,12,13918,14,4,0,2136,13378,6,3726,15928,13410,34080,27944,11576,4940,0,0,14,0,0,1198,6126,0,3712,1494,1642,0,14350,6,6,3972,8,650,13196,964,2298,8036,4450,14834,0,46150,8,12090,16,24,7788,21372,4362,14,0,2520,1608,252,0,21934,5842,5030,322,0,4,24,658,0,42482,0,1834,4,7612,
9,0,0,48,2,0,496,1238,14066,20,288,0,38194,17094,10,0,9636,6976,0,3136,2,748,0,4,0,17548,4,0,5962,4,37564,0,0,12,0,34,74,0,0,4200,0,6670,56840,7614,13644,9834,0,5982,37,0,286,0,4,0,2,2,2,15418,70,498,4,6,4578,7366,3298,2862,1392,0,8,0,0,9370,8584,12734,1870,2996,8254,41886,4482,100,2,2,0,632,0,4,8,0,20,0,504,15736,26508,32367,6,4,4,4,3588,4486,0,0,0,8,5966,5224,1414,24808,534,6,9012,4,0,0,17056,4,11786,4,4,22496,2115,868,25378,10,8,3010,0,4,0,0,10,12,0,0,476,6,0,0,0,0,4,0,4,0,18026,0,5,4,8878,13600,8986,17170,0,11594,82602,19096,16,0,256,0,46952,20146,0,426,0,22114,3542,0,4,4,4,0,9550,0,916,4,4,0,4,288,25752,1196,220,2500,47062,0,0,8,6614,0,4120,31638,12626,12850,6,0,16784,10678,33350,0,470,2192,4,4,6,0,15356,3122,2960,8363,0,8,0,4,1510,4,4,716,0,0,7330,1102,6,3720,5584,5934,3520,1580,26334,0,0,2,3760,5756,1832,18342,98,4,4,5858,39756,4104,264,590,10,506,4,4,14,1406,4,542,0,0,0,2408,22376,4402,22010,18062,8166,2944,564,3674,2,3528,7256,16754,0,4,1646,8760,24710,3276,4,7,0,2,136,0,0,0,440,7420,1336,4,2434,4360,4486,10,10964,12,4,0,1666,10442,4,2966,12464,10448,26216,20962,9046,3678,0,0,12,0,0,926,4658,0,2760,1158,1228,0,10794,4,2,2964,8,502,10290,746,1784,6384,3480,11668,0,36432,6,9546,16,18,5820,16854,3404,12,0,1930,1198,186,0,17102,4622,3804,254,0,4,20,534,0,32012,0,1458,4,5986,
10,0,0,38,0,0,372,986,10544,16,208,0,28594,13372,8,0,7168,5362,0,2382,0,566,0,4,0,13634,2,0,4576,4,28118,0,0,10,0,20,60,0,0,3218,0,4999,44336,6066,10546,7626,0,4598,28,0,212,0,0,0,0,0,0,12046,52,348,4,4,3446,5698,2444,2144,1088,0,8,0,0,7170,6596,9560,1450,2292,6413,32536,3504,86,0,0,0,484,0,4,8,0,14,0,402,11834,20598,25317,2,2,4,4,2870,3482,0,0,0,8,4428,4142,1082,19532,412,4,7050,4,0,0,12964,4,8946,2,2,16872,1630,660,19790,4,8,2254,0,4,0,0,8,8,0,0,364,2,0,0,0,0,2,0,2,0,14060,0,0,4,6998,10612,7020,13372,0,9110,64924,14976,14,0,212,0,35526,15678,0,330,0,16558,2650,0,2,4,4,0,7398,0,684,4,4,0,4,202,20236,892,170,1912,35300,0,0,6,4996,0,3146,23610,9638,9708,2,0,12741,8334,25950,0,366,1738,4,4,2,0,11952,2438,2308,6566,0,6,0,4,1206,2,2,572,0,0,5614,810,4,2774,4354,4616,2776,1156,20594,0,0,0,2838,4349,1368,14140,76,4,2,4510,30088,3231,202,450,8,390,4,4,8,1086,4,414,0,0,0,1840,17320,3448,17024,14184,6358,2280,418,2910,0,2766,5640,13152,0,4,1292,6864,19290,2586,4,4,0,0,98,0,0,0,340,5864,1064,2,1824,3356,3370,6,8450,10,4,0,1304,8116,4,2334,9652,8014,20128,15754,7045,2732,0,0,8,0,0,710,3500,0,2110,912,926,0,8200,2,0,2192,6,376,8178,576,1416,5100,2678,9098,0,28470,4,7484,14,16,4316,13152,2698,12,0,1452,890,140,0,13302,3640,2906,204,0,4,18,434,0,24326,0,1168,4,4604,
