Step,Seg 164,Seg 165,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 200,Seg 201,Seg 203,Seg 209,Seg 217,Seg 220,Seg 223,Seg 234,Seg 254,Seg 257,Seg 264,Seg 303,Seg 304,Seg 308,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 469,Seg 470,Seg 471,Seg 472,Seg 473,Seg 483,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 527,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 559,Seg 585,Seg 586,Seg 589,Seg 610,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 823,Seg 827,Seg 836,Seg 839,Seg 840,Seg 841,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 889,Seg 904,Seg 906,Seg 926,Seg 929,Seg 949,Seg 954,Seg 978,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1164,Seg 1181,Seg 1185,Seg 1186,Seg 1193,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1205,Seg 1230,Seg 1251,Seg 1252,Seg 1257,Seg 1264,Seg 1281,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1325,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1502,Seg 1503,Seg 1504,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1533,Seg 1534,Seg 1540,Seg 1541,Seg 1546,Seg 1552,Seg 1590,Seg 1625,Seg 1626,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1676,Seg 1677,Seg 1838,Seg 1840,Seg 1846,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1867,Seg 1868,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1888,Seg 1889,Seg 1891,Seg 1905,Seg 1942,Seg 1948,Seg 1977,Seg 1978,Seg 1983,Seg 1988,Seg 2006,Seg 2010,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2129,Seg 2131,Seg 2132,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2160,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2214,Seg 2215,Seg 2216,
1,7347,3172,23829,7008,1679,2470,8128,4981,4949,0,19023,12277,1685,15542,4864,24425,2867,29,21378,26974,4878,9794,3287,9868,10226,9058,18499,1663,12276,12673,4099,13187,8168,1654,10695,12300,24175,0,2473,0,20856,16746,16376,6551,50,4130,5801,9126,15967,10595,19792,26751,5365,8,5780,14186,31,4116,3114,14733,6998,22867,3363,4064,1699,3348,12696,12256,8254,1538,5353,6194,6668,16432,11475,4807,25480,12310,16,3289,0,12882,1494,9000,9111,0,1670,14770,31,4097,5803,2285,0,0,29,16,2871,8175,0,5721,3337,8954,5758,42,13989,17247,22130,25860,9462,14148,76320,27163,25584,5759,6555,13508,6957,1656,0,4097,5742,21378,4910,1670,1678,0,33509,7386,5738,38285,7377,5742,1674,25378,10761,16428,25349,19680,1025,5023,17312,40203,4526,4103,0,8195,7792,3325,4090,1761,6660,8999,19196,18122,2453,4487,18,6612,4101,19663,0,2412,12263,9860,8229,9812,10618,11538,19371,4079,2460,13131,0,24,1694,14821,7500,15656,8317,7421,0,4,0,5762,10573,1680,13831,12746,4094,17527,27722,13918,7426,0,15142,2431,9160,12388,24209,23,4114,1121,13174,5021,7730,5766,2225,5784,8997,5780,5758,5766,1688,6650,6652,5775,8957,3267,11473,19311,4984,28689,25938,6527,22003,0,0,5737,7349,5703,7429,0,29111,779,12215,15,254,10635,8950,0,1655,20492,10765,5753,13952,4088,7454,2478,7480,15214,6609,0,8218,10991,16,1687,9402,8241,13950,12376,8997,1217,10586,43345,11083,10634,10659,
2,8616,3659,30616,8398,1982,2976,9517,5830,7399,0,22678,14502,3647,21693,5648,30498,3386,16,26364,35193,5716,11596,3833,14491,12173,11908,25190,3173,14530,16699,4811,15505,9624,1955,13902,14604,28574,8,2980,0,24690,19865,19419,9021,36,4915,6897,12498,18938,12552,26780,34564,6310,0,6871,16650,18,4831,3646,20179,8343,30401,5129,5941,2032,3940,16170,14564,9780,1825,6319,7409,9102,19533,13692,5589,37780,14600,8,3817,0,17030,1761,10790,13059,0,1915,17571,27,4821,6862,2664,0,0,24,4,3432,11998,0,6731,3965,10520,6795,24,19924,20520,26248,32194,11321,16801,95848,40113,33180,6852,7768,16162,8134,1942,0,4880,6780,25186,5831,3618,1989,0,41495,11977,6625,45221,10280,6792,3669,29861,14415,20967,31129,23133,1196,7521,23288,50749,5366,4866,0,9784,9259,3956,4826,2151,9546,12288,22729,21491,2933,6431,20,7759,4838,26602,0,2830,14483,11758,9813,13228,14322,13612,22925,4788,2876,17170,0,1696,2031,17638,10106,18692,9898,10378,0,4,0,6908,12480,2043,16082,18062,6002,20684,37254,20489,12029,0,19585,2878,12093,14611,28870,1652,4874,1304,20846,7585,9183,6859,2564,6793,11857,6893,6719,6807,3631,7884,7946,8434,12342,3803,15285,22889,5878,33830,32488,7757,28968,0,0,6834,10229,6655,8772,0,35631,928,15548,51,293,13733,10539,0,1928,24341,16012,6774,19923,4834,10496,4091,8908,18125,9489,0,9876,13030,773,3675,15110,13014,16440,14622,10686,1399,12586,58929,13144,12589,12621,
3,7711,3236,27947,7536,1789,6035,8482,5189,7136,0,23245,13070,3771,20413,5076,28957,2990,12,23717,32405,5073,10408,3436,13768,10873,11012,25077,3227,13058,15279,4350,13827,8654,1782,12814,13030,25479,0,2757,0,22120,17733,17509,8495,27,6088,6193,12942,16931,11225,25053,31776,5603,0,6150,14883,8,4230,3202,20478,8706,28269,4873,5615,1825,3499,14935,14753,8641,1622,5606,6667,8541,17495,12301,4906,38905,13101,0,3337,0,20351,1534,9761,15114,0,1724,15610,24,4323,6064,2367,0,0,19,0,3052,11425,0,6005,3541,9431,7719,19,20484,18407,23477,29330,10178,15045,91693,44827,30493,6166,6906,15805,7261,1718,0,4393,6054,22485,5172,3728,1802,0,37549,11707,5866,40177,9601,5982,5027,28207,13382,20306,30447,20622,1051,7186,21630,46344,4781,6785,0,8771,8262,3523,4363,4864,9035,11391,20298,19165,2659,6095,40,6921,4338,24754,0,2536,12899,10529,8759,12425,13445,12144,22236,4217,2596,15842,0,2030,1855,15922,9376,16947,8838,9731,0,0,0,6203,11157,1858,14387,18361,5676,18542,34534,19663,11801,0,19645,2598,11164,13038,26073,3149,4335,1141,20125,7219,8205,6189,2271,5994,12237,6189,5966,6113,4914,8323,7127,8116,11550,3410,14171,20524,6391,31824,29592,6947,26852,0,0,7822,9545,5937,7890,0,32331,814,15345,1236,251,12643,9259,0,1707,21800,16992,6060,19997,4327,9921,4002,8032,18061,8987,4,8875,11590,904,3769,16060,12717,14545,12950,9587,1249,12462,54806,11726,11408,11308,
4,6941,2852,24849,6706,1595,6401,7616,4525,6398,0,21694,11673,3343,18110,4481,26204,2657,12,20984,28940,4527,9215,3112,13837,9750,11508,24030,2883,11653,14738,3901,13921,9330,1605,11472,12828,25496,0,2501,0,19628,15812,15735,7582,23,5907,5599,11835,15221,9904,22301,28334,4985,0,5467,13268,4,3759,2762,19962,8231,26887,4373,5008,1614,3124,13354,13768,7693,1424,4953,5963,7677,15739,12225,4343,35568,11775,0,2943,0,21372,1359,11597,14328,0,1540,15158,19,3905,5423,2062,0,0,12,0,2732,10218,0,5368,3160,8385,7389,12,18885,16579,22703,26210,9058,13506,88651,45766,29853,5584,6198,16268,6466,1526,0,3918,5396,19965,4664,3290,3276,0,35082,10457,5305,35832,8577,5342,4817,25577,11797,20046,27820,18361,907,6368,19197,43624,4257,6899,0,7760,7348,3154,3936,5218,8127,10177,18046,17222,2371,5478,36,6126,3919,22158,0,2272,11419,9379,7712,11072,13820,10803,20286,3694,2335,14161,0,1798,1676,14279,8405,15239,7856,8679,0,24,0,6689,9906,3377,12852,17983,5055,16645,30738,19089,10558,0,18105,2339,12727,11632,23372,3185,3864,991,17816,6358,7342,5581,2019,6952,11303,5511,5248,5405,4663,7850,6254,7255,10292,3034,12658,18353,5993,28764,27494,6277,24039,0,0,7354,8485,5321,7056,0,28860,722,15797,2667,215,14014,8230,0,1547,19472,15755,5448,18271,3851,8898,3587,7154,19448,8057,3,7887,10318,790,3302,14640,11326,12875,11501,8574,1129,11396,48777,12065,10294,11375,
5,6050,2475,21630,5857,1382,5597,6729,3910,5673,0,19059,10160,2944,15759,3894,22837,2291,12,18197,25444,3940,8080,2704,12502,8522,10483,21273,2516,10154,13069,3420,12607,8561,1385,10031,11553,23020,0,2154,0,17191,13918,13819,6542,18,5107,4946,10223,13380,8513,19410,24740,4358,0,4725,11576,4,3295,2336,17870,7255,23857,3814,4504,1395,2738,11725,12066,6643,1237,4368,5245,6725,13816,11062,3698,31104,10323,0,2562,0,19177,1174,10984,12501,0,1326,13638,16,3458,4807,1727,0,0,12,0,2408,8903,0,4684,2763,7254,6430,12,16445,14372,20337,22896,7868,11879,79187,41161,26710,4955,5409,14815,5643,1343,0,3407,4670,17442,3986,2852,3390,0,31148,9100,4591,31315,7610,4723,4161,22291,10196,17935,24221,16012,771,5573,16671,38591,3734,6089,0,6654,6432,2748,3410,4657,7141,8943,15569,15117,2053,4724,23,5335,3389,19441,0,1983,9896,8152,6710,9567,12544,9485,17754,3214,2023,12360,0,1533,1473,12531,7358,13307,6814,7600,0,24,0,6232,8625,3472,11239,16089,4391,14566,26794,17081,9213,0,15752,2045,11982,10117,20458,2780,3373,865,15411,5508,6436,4904,1788,6553,10009,4795,4646,4700,4070,6828,5439,6344,8922,2661,11004,16056,5222,25127,24290,5491,20882,0,0,6381,7446,4642,6123,0,25326,593,14353,2727,180,13024,7143,0,1368,17124,13814,4828,15930,3399,7746,3085,6267,17895,6940,0,6841,9002,674,2877,12736,9864,11201,10067,7473,973,9994,42278,11005,9021,10262,
6,5137,2121,18465,5028,1174,4819,5789,3259,4937,0,16441,8687,2545,13586,3355,19548,1936,12,15610,21778,3391,7013,2350,10691,7268,8954,18117,2142,8773,11122,2935,10856,7285,1168,8539,9911,19678,0,1827,0,14757,11944,11914,5707,12,4417,4232,8721,11370,7305,16678,21228,3721,0,4002,9860,3,2866,1968,15222,6221,20358,3194,3867,1186,2359,10001,10317,5706,1061,3765,4511,5782,11776,9477,3199,26797,8945,0,2204,0,16380,975,9411,10667,0,1142,11689,8,2934,4138,1472,0,0,8,0,2063,7508,0,4009,2302,6223,5394,7,14084,12302,17393,19565,6746,10050,68018,35130,22701,4213,4605,12819,4847,1124,0,2922,4018,15029,3377,2430,2930,0,26789,7748,3876,26891,6603,4023,3558,18975,8700,15302,20742,13728,645,4820,14116,32735,3191,5302,0,5664,5538,2332,2896,3937,6059,7658,13275,12925,1768,4015,16,4578,2850,16748,0,1752,8416,6987,5731,8073,10771,8178,15274,2722,1753,10584,0,1295,1394,10767,6307,11437,5863,6468,0,15,0,5334,7371,2974,9589,13826,3746,12462,22785,14603,7919,0,13517,1761,10186,8691,17483,2431,2881,759,13135,4746,5440,4220,1544,5663,8661,4060,3971,4025,3513,5892,4657,5512,7660,2294,9457,13711,4463,21401,20887,4726,17923,0,0,5494,6465,3957,5163,0,21482,498,12443,2337,147,11171,6242,0,1138,14694,11955,4123,13642,2952,6619,2626,5388,15426,5886,0,5802,7660,564,2471,10965,8359,9642,8615,6421,868,8640,36195,9408,7689,8726,
7,4296,1763,15563,4293,993,4158,4905,2734,4183,0,13836,7300,2100,11382,2786,16582,1630,12,13341,18388,2861,5950,1991,9053,6141,7476,15268,1813,7403,9454,2469,9164,6113,977,7226,8415,16514,0,1547,0,12390,10120,9977,4849,12,3733,3599,7375,9545,6148,14236,17917,3142,0,3349,8292,0,2395,1653,12684,5206,17102,2683,3221,985,2011,8345,8619,4902,889,3179,3803,4835,10011,7902,2725,22603,7569,0,1814,0,13733,786,7956,8904,0,978,9781,8,2443,3463,1243,0,0,8,0,1701,6208,0,3345,1930,5351,4565,4,11878,10481,14735,16526,5701,8519,57515,29783,19102,3505,3904,10742,4094,936,0,2471,3368,12616,2834,2009,2501,0,22834,6439,3257,22494,5593,3355,2995,15891,7263,12806,17550,11605,553,4041,11944,27514,2694,4486,0,4717,4639,1949,2416,3274,5066,6528,11127,10974,1532,3379,15,3845,2390,14007,0,1426,7076,5993,4850,6831,9082,6895,12835,2288,1504,8925,0,1106,1177,9089,5269,9589,4939,5511,0,11,0,4528,6262,2541,8001,11553,3204,10458,19233,12375,6655,0,11460,1462,8564,7279,14843,2096,2445,653,11041,4039,4604,3615,1296,4784,7217,3461,3323,3369,2955,4965,3900,4699,6368,1929,7872,11524,3731,18083,17609,3971,15233,0,0,4730,5438,3330,4379,0,18097,436,10612,1967,116,9419,5212,0,981,12349,10135,3441,11555,2505,5666,2180,4595,13098,4897,0,4890,6492,450,2104,9205,7028,8200,7220,5389,753,7362,30223,7883,6513,7291,
8,3567,1398,12894,3546,829,3463,4054,2252,3458,0,11322,6037,1676,9314,2310,13696,1319,12,10977,15261,2368,4881,1638,7501,5055,6127,12587,1528,6131,7792,2088,7484,4950,825,6010,7043,13843,0,1280,0,10182,8394,8215,4037,11,3023,2952,6062,7891,5012,11703,14848,2625,0,2736,6783,0,1988,1367,10539,4290,14125,2252,2685,783,1656,6809,7212,3975,763,2573,3179,3951,8254,6532,2290,18727,6159,0,1472,0,11248,637,6499,7424,0,832,8005,8,1986,2882,1042,0,0,7,0,1419,5119,0,2761,1620,4399,3782,4,9817,8745,12259,13810,4785,7101,47827,24744,15751,2889,3218,8819,3373,766,0,2057,2757,10300,2314,1639,2063,0,18753,5378,2677,18594,4584,2748,2495,12935,6011,10538,14496,9656,504,3291,9909,22788,2246,3686,0,3921,3878,1656,1985,2719,4194,5381,9120,9128,1308,2749,6,3191,1983,11485,0,1185,5810,4969,4112,5681,7457,5714,10521,1907,1262,7330,0,898,960,7580,4280,7921,4062,4624,0,8,0,3825,5186,2129,6684,9415,2648,8628,15781,10272,5471,0,9568,1149,7073,6110,12301,1727,2044,536,9265,3348,3871,3004,1075,3906,5901,2902,2681,2804,2448,4164,3189,3906,5151,1593,6346,9435,3043,14888,14592,3248,12611,0,0,3786,4558,2722,3625,0,14816,358,8677,1635,100,7849,4295,0,816,10251,8304,2839,9530,2108,4674,1821,3812,10830,4022,0,4065,5378,381,1756,7628,5745,6721,5974,4498,639,6018,24764,6574,5380,6039,
9,2903,1124,10531,2904,687,2849,3284,1857,2786,0,9189,4981,1344,7536,1900,11213,1034,12,8928,12546,1869,3963,1317,6144,4189,5056,10300,1248,4940,6334,1682,6034,3994,662,4867,5866,11374,0,1091,0,8187,6888,6711,3311,8,2422,2378,4964,6377,4084,9545,12076,2217,0,2188,5536,0,1640,1124,8554,3542,11457,1879,2240,608,1366,5625,5949,3275,633,2092,2547,3230,6680,5368,1907,15427,5026,0,1191,0,9146,548,5331,6061,0,701,6621,8,1674,2411,838,0,0,4,0,1156,4275,0,2261,1334,3599,3096,4,8052,7214,10194,11250,3955,5839,39261,20279,12848,2378,2631,7234,2758,624,0,1714,2284,8303,1894,1289,1667,0,15421,4370,2189,15200,3764,2280,2030,10601,4918,8567,11930,7991,426,2639,8076,18451,1821,3039,0,3221,3227,1345,1588,2232,3527,4397,7358,7466,1095,2232,0,2586,1635,9403,0,980,4643,4002,3490,4676,6143,4556,8682,1509,1024,6035,0,728,775,6260,3437,6529,3322,3822,0,8,0,3069,4255,1735,5567,7607,2142,6971,12832,8482,4403,0,7803,945,5880,5114,10144,1378,1689,446,7615,2804,3122,2402,872,3170,4825,2402,2153,2291,1998,3472,2599,3190,4214,1270,5120,7648,2458,12177,11899,2641,10402,0,0,2970,3792,2216,2982,0,12051,288,7130,1348,84,6519,3432,0,679,8434,6764,2284,7785,1732,3825,1499,3179,8772,3267,0,3331,4459,321,1432,6297,4643,5458,4896,3730,549,4939,20137,5437,4403,4983,
10,2397,931,8569,2339,555,2370,2704,1540,2304,0,7503,4123,1090,6236,1591,9195,837,12,7361,10336,1531,3299,1095,5067,3458,4217,8510,1015,4073,5200,1380,4913,3381,572,4042,4947,9336,0,903,0,6733,5662,5551,2739,8,1989,1939,4117,5292,3395,7802,9925,1834,0,1805,4562,0,1376,904,7050,3000,9489,1629,1890,500,1123,4599,4980,2775,514,1743,2053,2630,5508,4463,1605,12825,4143,0,958,0,7610,471,4378,4916,0,565,5496,8,1408,2006,684,0,0,3,0,945,3511,0,1852,1105,3038,2602,4,6728,5956,8545,9320,3226,4855,32472,16790,10473,2012,2188,5983,2274,511,0,1415,1857,6897,1517,1073,1373,0,12842,3564,1793,12637,3151,1920,1686,8790,4066,7038,9764,6709,322,2178,6676,15194,1548,2524,0,2689,2695,1087,1306,1876,2936,3618,6019,6242,922,1838,0,2168,1341,7921,0,819,3739,3284,2912,3828,5108,3642,7206,1198,831,4988,0,601,628,5098,2800,5381,2740,3201,0,8,0,2564,3493,1422,4605,6279,1773,5774,10531,6939,3578,0,6398,794,4928,4238,8440,1126,1403,375,6311,2397,2614,1986,710,2605,4029,1988,1805,1890,1657,2887,2170,2648,3545,1038,4211,6352,2027,10043,9834,2167,8688,0,0,2381,3170,1813,2513,0,9980,233,5889,1126,67,5444,2787,0,558,7025,5624,1886,6440,1424,3219,1230,2684,7343,2641,0,2756,3670,263,1173,5289,3747,4524,3955,3078,445,4040,16602,4493,3652,4141,
