Step,Seg 164,Seg 165,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 200,Seg 201,Seg 203,Seg 209,Seg 217,Seg 220,Seg 223,Seg 234,Seg 254,Seg 257,Seg 264,Seg 303,Seg 304,Seg 308,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 469,Seg 470,Seg 471,Seg 472,Seg 473,Seg 483,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 527,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 559,Seg 585,Seg 586,Seg 589,Seg 610,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 823,Seg 827,Seg 836,Seg 839,Seg 840,Seg 841,Seg 845,Seg 846,Seg 851,Seg 852,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 889,Seg 904,Seg 906,Seg 926,Seg 949,Seg 954,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1164,Seg 1181,Seg 1185,Seg 1186,Seg 1193,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1230,Seg 1251,Seg 1252,Seg 1257,Seg 1264,Seg 1281,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1325,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1503,Seg 1504,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1517,Seg 1519,Seg 1522,Seg 1533,Seg 1534,Seg 1540,Seg 1541,Seg 1546,Seg 1552,Seg 1590,Seg 1625,Seg 1626,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1676,Seg 1677,Seg 1838,Seg 1840,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1867,Seg 1868,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1888,Seg 1889,Seg 1891,Seg 1948,Seg 1977,Seg 1978,Seg 1983,Seg 1988,Seg 2006,Seg 2010,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2120,Seg 2121,Seg 2122,Seg 2129,Seg 2131,Seg 2132,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2160,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2214,Seg 2215,Seg 2216,
1,16588,2802,38359,5667,5934,4724,14646,3123,12529,0,55771,20169,12507,22079,7302,58383,13863,6124,34577,54264,11968,9787,14471,22308,9323,16970,45944,13112,19924,36165,7869,13653,10571,12403,13107,11740,51135,0,16475,0,34668,27719,27954,14521,11360,3018,11242,31277,24093,18428,40781,70802,25662,0,9183,6231,18773,7346,2505,32429,23342,64275,8944,4719,8940,9714,19441,18910,21463,169,21532,10940,6826,21116,13155,7224,30611,32885,17940,9962,501,40273,169,14847,30868,10818,14382,5261,13268,5627,3,0,0,18634,20644,9840,9282,8923,11490,10492,14133,40790,36613,27369,71533,12638,34155,142603,63814,53453,10977,11601,21059,23479,13092,0,5746,12079,30859,8897,6,13547,6777,296,47754,30273,47309,54064,14216,16775,13583,31063,46081,51522,51426,46949,983,22780,49379,60788,8411,8880,0,6253,8387,18318,8418,32276,18964,9976,29362,26359,7305,5260,9978,5265,3203,33252,4720,10706,21952,24118,25665,29797,7712,20916,9939,10765,9247,16593,5749,4111,18571,39754,23955,14587,0,3,0,8795,4648,12052,26704,32547,12042,20037,39923,19424,16766,0,20367,9928,21020,23199,40842,7345,7887,1210,40008,15728,7729,13076,18924,16991,20163,6880,11498,11517,8391,10406,23058,9642,22127,14142,25450,23040,46512,80523,13850,27787,12979,17113,9918,32775,0,41850,977,29530,6275,971,30939,6314,0,8393,20920,39550,9418,45010,4714,14723,11000,34629,12627,9510,23536,15392,0,5619,36124,16215,31585,10162,2601,10628,16889,78295,23654,8874,13739,
2,22552,3751,49240,7337,0,6290,18731,4128,16486,0,70476,27682,16569,29257,10299,76904,17718,7731,44167,72776,16519,12601,21218,29598,14117,22718,62712,18170,26366,48737,11458,18846,18316,16926,17417,15561,69005,9,21155,0,45861,35184,35605,18815,14665,3747,15678,40976,31837,23290,54107,96337,35054,0,12594,8125,24825,9700,3319,42701,31078,85872,11942,6304,13770,12986,27724,26314,28428,226,29617,14479,10156,29308,17579,9551,41835,41883,22895,13164,662,50671,211,19700,41778,13776,19279,6974,17527,7118,0,0,3,24006,26613,12747,11903,11801,15178,13994,18652,54950,48616,37638,98809,17645,46289,196885,87923,69247,14578,15380,26822,30250,17290,3,7631,16123,41691,11624,508,17830,8859,378,64125,38403,61633,70634,18375,22238,18011,40364,58769,67863,66663,60486,1263,29409,65965,84699,11154,12800,0,8250,11844,24290,11204,43059,25492,14080,39866,34917,10400,6955,13286,6961,4283,42988,6259,14204,29132,31965,34232,41458,9839,29571,13150,13587,11782,22423,7590,5286,24644,50663,31337,19152,0,0,0,12481,6057,15962,34124,45420,15967,28556,53770,25928,22355,0,26819,13193,29809,30686,55411,9801,11582,1602,55676,20860,9912,17332,25097,23249,25640,8746,15079,15267,11128,13697,29320,13916,29507,18515,33486,30600,65129,103700,19160,34941,17977,22021,13050,43107,0,57532,1252,37864,9470,1245,42103,8399,0,11103,27683,53697,12512,59819,6303,21846,14623,44744,16745,13824,29991,20660,0,7109,49478,22530,42345,13652,3350,13836,21474,103315,32238,11759,19497,
3,19829,3341,41591,6352,0,6371,15798,3659,14452,0,58661,24541,14660,24979,9266,67697,14940,6413,37076,62578,14733,10692,19128,27163,12812,21451,56059,16265,23237,43235,10596,16922,18246,14630,15409,13712,61304,6,17761,0,41230,30250,29863,16053,12491,3068,14203,36184,27521,19222,48502,86837,31482,0,10931,6949,21889,8367,2888,37495,27442,76042,10596,6685,13005,11507,26165,23908,24944,208,26345,12753,9517,26418,15560,8469,38454,34971,19273,11519,568,42444,182,16950,37509,11459,16628,6198,15471,5925,0,0,0,20337,22649,10848,10053,10403,13351,12374,16405,48976,43028,33854,89794,15992,41394,183069,80285,58216,12763,13500,22335,25767,15159,0,6775,14302,36930,9947,692,15577,7665,322,56221,31860,53406,59910,15567,19464,15949,34718,49452,58123,56282,54146,1064,25597,58415,78438,9802,11653,0,7210,10789,21416,9947,41225,22763,12798,36696,30403,9510,6109,11721,6103,4873,36311,5389,12620,25207,28180,30424,39447,8282,26987,11503,11294,9907,19719,6646,4527,21793,43158,26874,16703,0,9,0,11249,5219,15889,29244,41074,13949,26114,48685,22876,20523,0,23209,11641,29334,27079,49342,8688,10813,1401,51008,18348,8213,15215,21519,20748,21580,7351,12974,13421,9822,12019,24497,12804,26204,15983,29502,27090,58989,87949,17348,28817,15965,18561,11382,37186,0,52338,1074,33670,8864,1067,37403,7411,0,9698,24205,49974,11054,52930,5559,20375,12983,37505,15485,13905,25116,17851,0,5958,45078,20306,37542,11964,3895,11879,17955,88290,28558,10370,18540,
4,17188,2955,35593,5564,0,6073,13372,3285,12873,0,50128,21467,13071,21018,8133,61161,12837,6185,32063,53901,12857,9877,16398,25560,10853,19161,49744,14428,20767,38330,9429,14910,16268,12361,13805,12237,54528,0,15084,0,36956,25812,25235,13783,10644,2571,12669,31146,23937,16214,43508,78541,28116,0,9310,6032,20658,7323,2514,32132,24506,68887,9492,6442,11605,10345,23670,21395,21887,183,22975,11402,8498,23540,13945,7641,33741,30852,16503,10252,491,35856,166,14487,34489,9600,14128,5579,13836,5020,0,0,0,17503,19531,9294,8620,9264,11962,10879,14642,44835,39481,30257,81127,14202,36877,168242,73853,49767,11412,12052,19561,22279,13442,0,6061,12761,32816,8594,616,13644,6636,265,49022,27479,46901,50563,13303,17247,14179,30441,41999,50194,47521,48028,915,22150,51377,70604,8745,10355,0,6344,9612,19161,8972,39404,20273,12132,34034,26628,8483,5463,10394,5464,4840,30643,4676,11260,22509,25191,27237,36127,7014,24146,10075,9659,8429,17321,5904,3915,19476,36786,25967,14642,0,9,0,10587,4558,14787,25037,37232,12427,23315,43914,20367,18663,0,20171,10379,27126,24178,43989,7689,9666,1232,46324,16335,6828,13465,18219,18359,18450,6258,11331,11843,8727,10658,20684,11515,23484,13979,26300,24300,52668,74774,15625,25098,13974,15842,11239,32080,0,47064,910,30306,7892,930,32856,6615,0,8556,21323,45511,9853,47302,4930,18190,11679,31450,14161,12928,21147,15218,0,5047,40519,18076,32639,10321,3912,10219,15145,75854,25985,9213,18015,
5,14830,2629,30302,4855,0,5426,11368,2925,11382,0,42494,18640,11621,17594,7096,54503,11107,5541,27493,45987,11194,8818,14016,23105,9239,16266,44156,12784,18535,33745,8382,13120,14432,10476,12226,10855,48488,0,12741,0,32473,21712,21358,11801,9053,2164,11218,26133,20750,13578,38752,70070,24930,0,7888,5217,18903,6392,2206,27203,21734,61668,8396,5718,10315,9239,21097,19067,19184,165,20014,10154,7532,20947,12394,6793,28801,26793,14064,9096,431,29907,157,12411,31176,8083,11914,4927,12315,4235,0,0,0,15096,16759,7913,7330,8273,10647,9538,12971,40419,35611,26892,72581,12619,32694,151047,66690,42110,10173,10704,16878,19233,11922,0,5382,11354,29042,7399,550,11861,5745,218,42490,23470,40975,42508,11338,15210,12528,26604,35627,42999,40155,41627,788,18779,44514,62595,7809,9185,0,5505,8525,17066,8002,35540,17922,11114,30613,23237,7551,4855,9149,4856,4281,25721,4053,9993,19606,22349,24193,32216,5933,21454,8717,8242,7200,15149,5295,3390,17268,31060,23528,12759,0,15,0,9636,3974,12962,21204,33543,11060,20869,39008,18046,16674,0,17557,9320,24095,21487,39010,6860,8633,1109,41135,14408,5633,11912,15436,16300,15700,5328,9860,10417,7700,9396,17373,10258,20859,12103,23269,21642,46795,63245,13900,21436,12090,13616,10531,27658,0,40885,761,25948,7059,787,28722,5846,0,7553,18696,40469,8774,42136,4400,16281,10447,26251,12608,11367,17803,13018,0,4249,36135,16071,28027,8885,3381,8787,12844,64669,23233,8137,16629,
6,12583,2256,25374,4152,0,4705,9494,2523,9905,0,34921,15923,10165,14491,6091,47070,9431,4547,22984,38207,9514,7437,11772,19999,7692,13595,38313,11063,16200,29210,7314,11376,12489,8737,10549,9456,42213,0,10618,0,27874,17957,17852,10046,7602,1762,9790,21501,17644,11225,33636,60797,21707,0,6515,4460,16384,5470,1901,22758,18826,53582,7291,4949,8984,8019,18341,16538,16532,150,17168,8785,6587,18203,10770,5907,24237,22504,11779,7939,396,24608,140,10389,27082,6765,9933,4259,10697,3516,0,0,0,12753,14084,6592,6088,7180,9187,8260,11259,35117,31074,23301,63290,11030,28472,131960,58400,34695,8864,9352,13977,16331,10412,0,4675,9912,25014,6255,485,10147,4894,179,36310,19513,35192,35271,9572,13181,10863,22721,29763,35985,33334,35418,655,15714,37867,54253,6852,7986,0,4711,7393,14878,6906,30964,15614,9595,26561,19922,6527,4210,7871,4234,3683,21359,3513,8742,16536,19423,20974,28020,4964,18644,7442,6904,5978,12981,4759,2885,14985,25779,19822,10957,0,26,0,8282,3372,11141,17601,29048,9576,18173,33821,15740,14577,0,15073,8134,20863,18607,33963,5992,7543,974,35718,12400,4644,10269,12895,14228,13191,4448,8395,8983,6652,8176,14308,8942,18114,10372,20179,18843,40702,52685,12073,17650,10290,11560,9182,23517,0,34572,646,21604,6116,644,24640,5339,0,6465,16087,35232,7605,36799,3812,14174,9080,21517,10989,9805,14733,10865,0,3536,31410,14065,23641,7539,2845,7386,10686,54002,20034,7015,14540,
7,10499,1900,20907,3472,0,4018,7869,2165,8437,0,28353,13464,8678,11928,5125,40070,7841,3707,18925,31319,8088,6126,9686,17050,6354,11256,32587,9417,13862,24859,6317,9637,10619,7152,8981,8096,36008,0,8625,0,23729,14642,14696,8440,6323,1402,8368,17634,14716,9150,28772,51705,18573,0,5303,3709,14045,4565,1619,18720,16110,45622,6228,4232,7632,6840,15626,14080,14055,134,14431,7495,5616,15489,9249,5044,20151,18509,9690,6730,341,14336,123,8516,23046,5643,8181,3661,9077,2925,0,0,0,10596,11790,5510,4922,6095,7847,7044,9570,29809,26591,19856,53988,9431,24365,112825,49869,28406,7562,8039,11438,13706,8922,0,3983,8496,21042,5255,414,8545,4098,144,30583,16003,29893,28870,7965,11327,9266,19149,24592,29601,27362,29623,543,12949,31812,46016,5877,6859,0,4006,6237,12675,5911,26459,13392,8159,22775,16641,5495,3568,6673,3588,3175,17569,2963,7479,13875,16599,17907,23927,4083,15956,6339,5706,4883,10960,4129,2395,12851,21118,16611,9196,0,23,0,6940,2816,9350,14450,24785,8036,15491,28673,13505,12376,0,12643,6957,17730,15956,29002,5169,6407,858,30297,10505,3793,8665,10613,12155,10805,3629,7044,7687,5718,7046,11653,7690,15529,8750,17221,16105,34617,43107,10324,10212,8713,9567,7787,19649,0,28815,521,17792,5193,532,20730,4576,0,5434,13622,30155,6401,31480,3252,12056,7758,12442,9439,8254,11984,8940,0,2926,26800,12048,19515,6265,2338,6153,8819,44798,16963,5943,12421,
8,8636,1609,12086,2857,0,3439,4578,1790,7051,0,16310,11258,7237,6924,4206,33512,4542,2130,10958,18170,6775,3592,5628,14347,3684,6532,27435,7864,11581,20959,5303,8031,8870,4116,7539,6798,30299,0,4994,0,19806,8488,8472,6944,5205,796,7021,10184,12271,5272,24239,43310,15618,0,3026,3074,11831,3829,1390,10896,13529,38259,5262,3559,6396,5757,13064,11825,11918,103,11965,6329,4694,13023,7822,4307,11754,10698,5592,5629,277,0,109,4908,19346,3306,4758,3133,7607,1714,0,0,0,8713,9724,4552,2812,5122,6611,5879,8058,24896,22340,16672,45211,7975,20421,94762,42055,16326,6335,6664,6528,11445,7446,0,3363,7187,17482,4312,352,7188,3357,84,25533,9234,24898,16608,6530,9542,7768,15842,14372,17254,15868,24390,306,7498,26439,38543,4912,5718,0,3385,5090,10655,4950,22192,11252,6861,19180,13641,4590,2969,5625,2983,2686,10174,2486,6370,11466,14078,15038,20172,2350,13378,5270,3300,2842,9125,3507,1378,10826,12320,13808,7547,0,19,0,5706,2334,7790,8352,20764,6742,12941,24062,11407,10380,0,10443,5834,14863,13443,24351,4334,5347,728,25495,8814,2194,7236,6180,10134,6238,2106,5899,6459,4837,5951,6674,6475,13125,7201,14338,13464,28915,24738,8678,0,7357,7874,6494,16002,0,16838,402,10304,4442,304,17242,3835,0,4532,11415,25391,5383,26333,2753,10160,6529,0,7914,6840,6884,5180,0,1716,22509,10069,11354,3614,1352,5120,5070,26116,14190,4943,10395,
9,4964,1327,0,1634,0,2863,0,1440,5735,0,0,9219,5903,0,2432,27330,0,0,0,0,5575,0,0,11842,0,0,22721,6418,9531,17345,4353,6594,7356,0,6212,5574,24911,0,0,0,16255,0,0,4000,3038,0,5770,0,10094,0,19918,35615,12978,0,0,2521,9844,3152,1153,0,11129,31887,4339,2984,5278,4724,10805,9776,9868,73,9818,5252,3899,10701,6446,3572,0,0,0,4656,226,0,91,0,15810,0,0,2622,6282,0,0,0,0,5034,5598,2632,0,4140,5481,4851,6566,20382,18476,13765,37403,6672,16916,78398,34928,0,5254,5397,0,6698,6146,0,2729,5923,14367,3501,294,5946,2687,0,21021,0,20302,0,3776,7801,6420,9080,0,0,0,14136,0,0,21787,31728,4047,4689,0,2812,4146,8836,4090,18319,9214,5636,15849,7822,3853,2355,4619,2447,2267,0,2026,5286,6600,11556,12356,16585,0,10963,4313,0,0,7449,2888,0,8884,0,11296,6173,0,13,0,3284,1340,6397,0,16998,5532,10641,19847,9387,8526,0,8517,4818,12219,11053,20038,3559,4438,600,21094,7327,0,5939,0,8335,0,0,4822,5280,3975,4846,0,5331,10794,5901,11700,11036,23707,0,7106,0,6058,4518,5297,9248,0,0,224,0,3713,0,14178,3147,0,3732,9359,21095,4496,21773,2292,8455,5459,0,6423,5551,0,0,0,0,18547,8184,0,0,0,2964,0,0,11813,4071,8626,
10,0,1082,0,0,0,2341,0,1172,4647,0,0,7515,4766,0,0,22410,0,0,0,0,4641,0,0,9654,0,0,18621,5278,7728,14294,3600,5367,6032,0,5076,4528,20284,0,0,0,13250,0,0,0,0,0,4749,0,8296,0,16240,29162,10592,0,0,2092,8104,2580,941,0,9076,26343,3604,2493,4350,3784,8882,7977,8138,52,8091,4307,3220,8699,5273,2933,0,0,0,3782,171,0,79,0,12926,0,0,2114,5102,0,0,0,0,0,0,0,0,3300,4486,3935,5331,16491,15139,11298,30780,5526,13962,64448,28747,0,4310,4380,0,0,5101,0,2250,4886,11782,2835,244,4847,2114,0,17206,0,16501,0,0,6357,5218,0,0,0,0,0,0,0,17779,25955,3295,3838,0,2291,3391,7233,3360,15045,7447,4633,12933,0,3188,1897,3759,1983,1866,0,1673,4314,0,9428,10007,13533,0,8885,3508,0,0,5999,2359,0,7291,0,9145,4988,0,9,0,0,0,5205,0,13887,4521,8758,16237,7726,6905,0,6988,3984,9895,8977,16368,2963,3608,507,17242,5981,0,4856,0,6875,0,0,3843,4351,3223,3899,0,4397,8888,4853,9526,8969,19307,0,5771,0,4892,0,4287,0,0,0,0,0,3020,0,11575,2562,0,3056,7616,17396,3698,17701,1895,6979,4460,0,5204,4446,0,0,0,0,15105,6657,0,0,0,0,0,0,9752,3381,6980,
