Step,Seg 10,Seg 25,Seg 33,Seg 133,Seg 139,Seg 147,Seg 149,Seg 153,Seg 159,Seg 164,Seg 165,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 199,Seg 200,Seg 201,Seg 203,Seg 204,Seg 205,Seg 209,Seg 216,Seg 217,Seg 220,Seg 223,Seg 234,Seg 240,Seg 248,Seg 254,Seg 255,Seg 257,Seg 264,Seg 282,Seg 285,Seg 287,Seg 290,Seg 291,Seg 292,Seg 303,Seg 304,Seg 308,Seg 309,Seg 310,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 432,Seg 435,Seg 437,Seg 443,Seg 446,Seg 455,Seg 458,Seg 463,Seg 465,Seg 466,Seg 469,Seg 470,Seg 471,Seg 472,Seg 473,Seg 474,Seg 475,Seg 483,Seg 484,Seg 485,Seg 488,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 517,Seg 519,Seg 520,Seg 527,Seg 531,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 552,Seg 556,Seg 559,Seg 563,Seg 568,Seg 569,Seg 585,Seg 586,Seg 588,Seg 589,Seg 594,Seg 599,Seg 602,Seg 610,Seg 613,Seg 627,Seg 628,Seg 630,Seg 632,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 768,Seg 769,Seg 781,Seg 791,Seg 798,Seg 799,Seg 802,Seg 803,Seg 805,Seg 814,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 823,Seg 825,Seg 827,Seg 831,Seg 836,Seg 839,Seg 840,Seg 841,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 887,Seg 889,Seg 899,Seg 906,Seg 924,Seg 926,Seg 929,Seg 945,Seg 947,Seg 949,Seg 950,Seg 952,Seg 954,Seg 959,Seg 973,Seg 977,Seg 978,Seg 986,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1105,Seg 1107,Seg 1112,Seg 1114,Seg 1118,Seg 1122,Seg 1126,Seg 1134,Seg 1144,Seg 1145,Seg 1162,Seg 1163,Seg 1164,Seg 1168,Seg 1172,Seg 1174,Seg 1181,Seg 1185,Seg 1186,Seg 1192,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1211,Seg 1224,Seg 1229,Seg 1230,Seg 1234,Seg 1236,Seg 1246,Seg 1251,Seg 1252,Seg 1257,Seg 1261,Seg 1264,Seg 1281,Seg 1283,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1297,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1317,Seg 1323,Seg 1325,Seg 1328,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1444,Seg 1456,Seg 1457,Seg 1462,Seg 1467,Seg 1472,Seg 1474,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1503,Seg 1504,Seg 1506,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1516,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1531,Seg 1533,Seg 1534,Seg 1540,Seg 1541,Seg 1546,Seg 1552,Seg 1559,Seg 1562,Seg 1567,Seg 1570,Seg 1572,Seg 1575,Seg 1580,Seg 1582,Seg 1589,Seg 1590,Seg 1614,Seg 1624,Seg 1625,Seg 1626,Seg 1627,Seg 1628,Seg 1631,Seg 1635,Seg 1640,Seg 1647,Seg 1648,Seg 1651,Seg 1652,Seg 1653,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1675,Seg 1676,Seg 1677,Seg 1792,Seg 1793,Seg 1797,Seg 1807,Seg 1819,Seg 1826,Seg 1829,Seg 1830,Seg 1832,Seg 1835,Seg 1838,Seg 1839,Seg 1840,Seg 1841,Seg 1846,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1865,Seg 1866,Seg 1867,Seg 1868,Seg 1871,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1888,Seg 1889,Seg 1891,Seg 1902,Seg 1905,Seg 1922,Seg 1925,Seg 1942,Seg 1948,Seg 1974,Seg 1977,Seg 1978,Seg 1983,Seg 1985,Seg 1988,Seg 1991,Seg 1993,Seg 1994,Seg 2006,Seg 2007,Seg 2008,Seg 2010,Seg 2013,Seg 2015,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2026,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2075,Seg 2079,Seg 2102,Seg 2104,Seg 2107,Seg 2116,Seg 2118,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2126,Seg 2129,Seg 2131,Seg 2132,Seg 2134,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2149,Seg 2153,Seg 2160,Seg 2166,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2195,Seg 2203,Seg 2204,Seg 2205,Seg 2212,Seg 2214,Seg 2215,Seg 2216,
1,0,0,0,0,14,0,30,0,0,4,2639,23877,858,7336,576,12,3389,6,7628,28111,0,4221,14,6495,5639,2971,10306,3107,14996,2,4,27094,0,0,42239,96,4,2,0,0,2,12,0,0,4,2275,6,0,264,17211,24175,4,2542,10759,0,6217,8,0,0,0,0,0,0,1806,6,2,0,4,10,6,13109,4591,262,0,4,0,0,48,2712,12749,3430,7336,6230,8,10,8449,4364,0,2539,21731,0,9746,4674,17075,19775,5071,2,0,0,4,0,2,0,2,4,0,8,0,0,0,0,0,0,1074,0,0,28543,3959,33276,3391,6,2270,4,4801,6327,0,0,0,0,268,0,430,0,0,22401,4798,886,6501,14,8,6360,4378,0,0,22621,0,20909,1419,2580,0,7743,2416,4,19181,8,4,5923,10,2,2,0,0,12,4,0,6,14,0,0,10,4,0,2,0,95,0,0,4,2,7079,2,7628,8,8476,16344,15071,36555,20,17481,86759,12429,0,0,0,0,0,0,0,0,0,0,57759,4,581,20,0,0,8888,10433,4,0,5379,8,21559,10,22,5648,1692,0,0,16,0,0,0,0,32281,5918,6,6225,14681,0,2267,6,4,9752,0,11626,15422,18786,13763,0,0,896,13004,0,18414,42579,6,2268,3476,8,6,6,6,7931,6484,2840,7907,0,0,0,0,0,537,0,3958,8,4,6,14,10,4528,12,4,10,4805,9059,6923,5927,5937,8754,1257,12,6204,1727,2532,2258,13286,6,5680,13158,40360,42096,0,0,0,0,0,0,807,0,0,4,0,536,0,4,1396,3484,4,8,12,0,9614,0,0,2,4524,18072,6789,7060,27682,5649,9600,1059,856,4,31304,7908,23416,4,5646,1564,5125,18757,5368,0,0,0,0,0,6,0,1572,0,0,2268,2149,6,0,0,7375,2,9176,9894,0,16102,2259,8,0,10,10754,10191,4,5392,6523,6216,15652,30358,3725,13823,0,32,0,2,0,2,0,5635,4,3962,697,857,0,0,0,15531,0,0,0,2,0,7372,7068,1354,13557,16,91,4,0,4222,10149,8,17507,5092,5107,10,0,0,0,0,0,0,0,11815,7062,6768,0,0,3108,14675,16,0,8,18375,7911,9181,8,0,6,0,7335,10,4,58702,0,0,2,0,0,20485,14,5654,
2,0,0,4,0,6,12,106,2,0,590,4550,37154,1374,12,1408,2285,6914,437,11928,43858,0,7126,862,9820,9430,5130,17223,4748,24828,14,14,41496,0,2,66406,158,14,10,52,0,0,24,2,4,8,3808,28,0,430,26826,41162,40,4270,18595,4,10520,26,395,0,0,0,4,2,2730,10,2,0,8,16,8,22314,7642,458,0,22,2,10,8,4176,21438,6629,12696,10232,859,1428,14150,6940,2,4250,33420,0,16390,7030,28972,34004,8530,8,0,4,10,0,0,0,12,8,0,16,0,2,4,4,0,0,1906,0,6,44658,7145,57537,5838,28,3868,4,8240,10858,10,2,0,0,418,0,652,96,0,34258,8688,1506,11056,20,14,10906,7492,6,2,35649,10,33783,2132,4376,0,12718,4082,18,33237,4,18,9190,10,12,8,0,2,14,0,0,12,806,4,0,20,10,2,10,30,138,0,0,8,14,12002,6,13440,18,14950,28276,25798,62706,24,30040,149418,22416,0,0,0,2,0,0,0,0,0,4,88209,592,1542,1321,2,6,14410,16624,857,0,8910,16,36455,18,547,9296,2582,0,0,20,0,0,0,2,54509,8968,6,10086,24866,0,3568,14,22,15616,0,22525,23928,28756,22374,0,4,1552,20849,0,30542,73406,18,4439,6199,20,26,14,1158,14609,11158,4856,14022,2,4,0,2,2,818,12,6881,587,12,10,14,16,6922,10,861,0,7710,15218,11742,10475,8964,18569,1878,593,10407,2624,3826,3458,21848,18,8840,22320,65099,68744,578,0,0,0,0,0,1264,0,0,426,0,806,8,12,2360,5860,0,588,20,2,16372,4,0,4,7078,31653,11464,11962,47008,9626,17453,1846,1488,20,53060,13366,40052,12,9596,2658,9055,33211,9184,0,4,0,0,6,2,2,2646,4,0,3454,3674,433,0,4,11228,1432,14046,15925,0,27018,3806,594,0,24,17051,17144,16,8870,10698,10430,26753,46084,6376,20672,2,44,2,0,2,583,2,9495,24,6264,1104,1540,4,2,271,24702,0,0,0,0,2,12023,12020,2106,22960,22,156,16,0,7128,17934,14,29888,8816,8706,439,0,0,2,0,0,0,2,18060,12170,11630,0,2,5375,22406,6,6,873,31385,13470,14182,437,0,6,0,11278,18,6,93834,0,2,0,0,0,35156,28,9618,
3,0,2,4,2,8,6,825,0,2,966,4142,30404,1182,0,1574,3578,7224,734,9722,36532,0,6152,2928,7826,8380,4668,15232,3852,21940,4,4,33670,2,0,54834,142,2,4,100,0,0,12,0,0,2,3376,4,0,386,22159,36928,10,3816,17610,0,9422,10,656,2,2,0,6,4,2178,16,0,0,2,8,4,20008,6848,398,0,6,8,10,2,3316,18910,6400,11368,8618,1388,2248,12724,5796,0,3754,26618,2,14210,6029,25970,31056,8133,0,2,0,6,0,0,0,2,0,0,4,8,0,0,0,0,2,1738,2,0,36260,6834,52656,5254,6,3925,0,7418,9808,2,6,0,0,348,0,508,158,4,27327,8042,1320,10126,10,6,9888,6710,0,0,29904,6,28430,1740,3912,0,11841,3620,12,30532,2,4,7316,4,2,0,2,0,152,2,0,4,1320,4,2,6,2,0,0,10,112,0,2,6,10,11790,0,12422,8,13984,25968,23390,57310,10,27048,136229,21044,0,4,0,2,2,0,2,4,2,6,70538,1054,1898,2166,0,4,12703,13718,1526,0,7890,6,32674,6,968,7992,2088,2,0,12,0,0,0,0,48291,7014,4,8702,21978,0,2978,0,416,13364,6,21900,20106,24155,19182,0,0,1372,18688,0,26733,66704,16,4542,5766,6,4,2,2086,14030,10042,4390,12954,4,0,0,4,2,634,1445,6344,1006,0,6,8,4,5990,10,1498,4,6404,13630,10620,10287,7142,20585,1480,986,8940,2100,3675,2756,18828,4,7206,20082,57126,57866,890,2,0,0,0,0,1032,159,0,738,0,652,0,12,2100,5064,2,2696,8,0,14562,0,4,6,5796,29578,10330,10714,42092,8610,16646,1770,1314,4,47602,11994,36284,2,8712,2392,8457,31193,8122,2,8,2,0,6,4,2,2298,6,2,2740,3276,748,2,0,9334,2520,11298,13242,0,23044,3410,1014,6,6,14040,15671,4,7638,9530,9274,23978,36708,5694,16050,0,48,0,0,0,952,2,8330,4,5186,968,1366,0,0,474,20486,0,0,0,2,2,10541,10594,1752,20232,20,140,4,0,6260,17329,6,26986,8076,7756,758,2,2,2,2,0,0,0,14412,11310,10530,0,6,4790,18106,4,0,1376,28610,12058,12110,740,0,0,2,9736,12,6,78337,0,0,0,0,0,30952,10,8692,
4,0,0,10,2,10,4,1268,0,0,832,3872,25586,1030,4,1450,2966,7281,680,8124,30616,0,5430,4064,6446,7746,4303,13498,3124,20084,14,12,27692,0,0,45106,124,2,6,88,0,0,24,0,4,12,3106,20,2,344,18778,33706,24,4032,16574,2,9441,14,578,2,4,4,6,0,1730,12,0,0,2,10,6,18476,6316,364,0,16,2,8,14,2744,17086,5086,10475,7494,1158,1778,11750,4944,4,3422,21494,2,12580,5260,23990,28960,7952,6,2,6,4,0,0,0,2,2,0,6,6,0,2,4,4,0,1558,0,0,30076,6234,48588,4826,16,4000,2,6776,9680,4,14,0,2,304,0,418,144,2,22525,7228,1212,9354,10,8,9581,6599,2,6,25580,4,23996,1432,3626,0,11095,3348,6,28334,10,6,6430,10,6,6,2,0,248,4,0,4,1168,6,2,426,8,0,4,18,94,0,4,8,4,11794,8,12052,14,12898,24972,21470,53484,20,24826,126456,19416,0,6,2,2,2,2,2,4,0,4,57760,962,1726,1888,6,14,10650,11810,1388,2,7210,10,29724,10,884,7020,1786,2,0,18,0,0,0,0,43304,5718,2,7804,18146,0,2540,4,762,11750,12,18154,17182,20714,16474,2,2,1222,16576,4,23870,60938,14,4142,5320,14,14,8,1944,13585,9238,4038,11988,2,0,2,6,6,510,2492,5602,954,4,10,14,10,5294,12,1406,2,5410,12684,9916,9930,6010,19538,1230,1295,7356,1728,3500,2330,16464,18,6074,18734,48682,50294,752,2,2,573,0,0,858,272,2,632,0,558,2,10,1894,4528,2,3874,12,2,13180,0,0,0,5147,27296,9588,9968,39219,7876,15238,1638,1190,12,43742,11028,33458,6,8004,2202,8055,29468,7450,2,8,2,0,6,4,4,2022,6,2,2212,3044,660,2,0,7998,2288,9478,11126,0,20312,3158,956,0,10,11430,14954,10,6752,8824,8590,22140,30256,5314,12866,0,52,0,0,0,836,6,7004,4,4420,848,1212,0,0,438,17614,2,4,0,0,2,9044,9732,1538,17886,34,136,10,2,5612,16496,10,24810,8051,7156,696,2,2,2,2,0,8,2,11630,10838,9754,2,2,3962,15036,6,8,1154,26356,11104,10644,644,0,2,0,8794,10,4,65902,0,2,0,0,2,28032,20,7980,
5,0,0,8,2,10,14,1062,2,0,730,3616,21938,918,0,1340,2428,7244,602,6824,25206,0,4836,3772,5300,7244,4014,12112,2604,18514,2,4,23060,0,0,38060,104,4,2,72,0,4,18,0,22,2,2922,4,2,314,15794,31092,4,4192,15376,0,9498,8,524,2,2,6,2,6,1426,10,0,2,0,8,4,17236,5898,332,0,10,2,6,22,2276,15514,4164,9580,6522,958,1458,10874,4284,4,3148,17574,2,11172,4274,22322,27266,7442,4,2,2,6,2,0,0,0,0,0,2,4,0,2,2,2,6,1396,0,0,25340,5794,45308,4492,6,3710,0,6306,9488,2,12,2,2,258,0,340,122,10,18612,6530,1118,8450,8,4,9318,6552,2,4,22020,4,20096,1206,3300,0,9450,3116,10,26714,14,6,5642,6,0,0,2,0,196,2,2,0,1046,8,8,716,8,2,0,16,84,0,6,2,6,11022,0,11746,8,12030,23780,20006,49866,10,23080,117930,18208,0,6,0,2,2,2,4,4,0,2,47712,890,1626,1604,0,12,8784,10190,1290,2,6620,4,27282,2,832,6220,1546,8,0,12,2,0,0,4,38350,4622,2,7044,15124,0,2154,0,678,10412,4,15218,14450,17272,14480,2,2,1086,13766,6,20830,56250,12,3806,4958,2,4,4,1814,13144,8632,3780,11210,2,0,2,8,2,430,2164,4880,896,0,6,6,4,4354,4,1292,2,4616,11834,9230,9270,4934,18158,982,1532,6114,1460,2942,1978,14578,2,5290,17502,40474,44136,652,2,4,944,0,0,740,240,2,576,0,494,2,8,1748,4052,2,3438,8,0,11876,2,0,4,4576,25438,8948,9262,36728,7354,14240,1540,1024,4,40692,10226,31124,2,7498,2054,7530,27278,6808,2,8,2,0,4,4,4,1800,6,2,1882,2870,592,2,0,6574,2100,8098,9380,0,17958,2912,854,6,6,9410,13990,4,5902,8204,8056,20630,25154,4988,10486,0,60,0,0,0,724,2,5944,2,3844,744,1044,0,0,386,15352,2,2,0,0,2,7570,8960,1314,15906,14,118,4,2,5018,15332,6,23150,8100,6678,656,2,2,20,2,0,6,2,9482,10076,9112,4,2,3328,12670,6,0,946,24652,10384,9250,568,0,0,0,7658,10,2,55504,0,6,0,2,2,25756,6,7428,
6,0,0,8,2,6,14,858,2,0,590,3300,18140,756,0,1206,1966,6512,530,5456,19964,0,4024,3348,4236,6386,3558,10294,2086,16112,2,2,18600,0,0,30738,90,2,2,62,0,4,14,0,18,2,2612,2,0,276,12810,27518,58,3722,13558,0,8414,8,438,2,2,6,2,2,1122,10,0,0,0,4,4,15242,5266,298,0,8,0,6,20,1852,13492,3270,7730,5398,792,1148,9646,3470,8,2724,14036,2,9434,3336,19878,24214,6600,22,2,4,4,2,0,0,0,0,0,2,0,0,2,54,2,6,1232,0,0,20638,5154,40216,3932,4,3234,0,5584,8410,2,12,2,2,204,0,258,110,32,14778,5712,982,7326,10,8,8278,5802,2,4,18116,4,16328,1028,2860,4,7368,2782,4,23942,12,8,4494,4,0,0,2,2,170,2,2,0,882,8,6,586,8,2,0,12,60,0,6,0,2,9758,0,10446,6,10644,21030,17856,44642,8,20670,105448,16370,0,6,0,2,0,0,4,4,0,2,37838,800,1460,1298,0,12,6984,8542,1162,2,5826,4,24028,2,740,5242,1276,8,0,6,2,0,0,4,33110,3636,2,6068,12196,0,1738,0,604,8900,4,12414,11872,13810,12290,10,2,940,11300,6,17504,49762,6,3384,4380,2,4,2,1620,11730,7650,3328,9902,2,0,2,4,2,344,1798,4162,782,0,12,6,2,3492,4,1162,2,3754,10656,8264,8386,4006,16088,780,1356,4880,1170,2452,1642,12456,92,4460,15448,32628,36788,534,2,4,754,0,0,620,206,0,478,0,428,2,4,1572,3498,2,2968,6,0,10344,2,0,4,3674,22572,7914,8180,32476,6598,12580,1354,846,2,36136,9052,27652,2,6718,1840,6624,23890,6098,0,6,0,0,4,4,2,1548,4,2,1518,2582,500,2,12,5270,1870,6648,7834,0,15394,2560,750,4,6,7432,12382,2,4972,7294,7088,18236,20160,4436,8250,0,46,0,0,0,612,2,4942,2,3302,622,934,0,0,328,12864,2,2,4,0,2,6156,7954,1050,13684,66,98,4,2,4436,13586,78,20686,7308,5916,572,0,2,18,2,0,4,2,7432,8966,8060,4,2,2702,10354,6,0,746,21882,9226,7620,484,0,0,0,6432,6,2,45280,0,4,0,2,2,22398,4,6594,
7,0,0,8,2,6,12,678,2,0,476,2824,14386,596,0,1004,1546,5534,452,4384,15446,0,3328,2810,3262,5536,2994,8424,1606,13638,0,2,14402,0,0,23966,78,2,2,48,0,4,10,0,16,2,2186,2,0,230,10122,23360,54,3188,11464,0,7200,8,360,2,2,4,2,2,896,10,0,0,0,4,4,12934,4530,248,0,8,0,6,18,1434,11368,2548,5990,4330,626,852,8244,2770,8,2254,10886,2,7736,2584,16990,20626,5554,20,2,2,4,0,0,0,0,0,0,2,0,0,2,42,2,4,1080,0,0,16230,4328,34016,3354,4,2730,0,4790,7148,0,12,2,2,156,0,202,76,30,11286,4766,836,6172,8,8,7012,4936,2,4,14270,4,12774,836,2410,4,5694,2372,4,20314,8,4,3474,4,0,0,0,2,118,2,2,0,724,6,2,472,6,2,0,12,50,0,2,0,2,8382,0,8752,6,9050,17974,15294,38014,8,17574,89576,13860,0,6,0,2,0,0,4,4,0,2,29206,686,1226,1010,0,10,5418,6920,996,2,4942,4,20270,2,646,4362,1020,8,0,6,2,0,0,2,27484,2810,2,5006,9564,0,1352,0,498,7202,4,9748,9334,10756,9912,8,2,792,8924,2,14364,42226,4,2814,3700,0,4,2,1402,10010,6474,2858,8426,2,0,0,2,2,272,1432,3416,672,0,10,4,2,2744,4,1004,2,2994,9086,6896,7134,3166,13750,572,1138,3830,918,1918,1310,10260,86,3566,13124,25432,30222,424,2,2,590,0,0,498,162,0,392,0,348,2,4,1328,2914,0,2348,6,0,8600,2,0,0,2904,19224,6672,6972,27364,5622,10624,1130,698,2,30400,7680,23482,2,5776,1544,5622,20040,5088,0,4,0,0,2,4,2,1308,2,2,1180,2200,416,2,10,4094,1582,5220,6198,0,12554,2156,628,4,4,5688,10660,2,4124,6182,6040,15552,15708,3808,6288,0,38,0,0,0,480,2,4002,2,2630,498,764,0,0,264,10222,2,2,2,0,0,4866,6778,842,11368,50,92,4,2,3680,11524,74,17528,6192,4986,464,0,2,18,0,0,4,2,5692,7658,6796,4,2,2036,8176,4,0,580,18612,7900,6044,402,0,0,0,5240,4,0,35852,0,4,0,2,2,18620,4,5558,
8,0,0,8,2,6,6,520,0,0,382,2332,10936,470,0,830,1152,4542,360,3310,11594,0,2718,2332,2466,4464,2446,6662,1184,11182,0,2,11024,0,0,18184,58,2,2,38,0,4,10,0,14,2,1758,2,0,174,7834,19208,52,2626,9452,0,5882,8,286,2,2,4,2,2,692,10,0,0,0,4,4,10706,3726,216,0,6,0,4,14,1088,9292,1896,4514,3368,488,678,6876,2188,6,1784,8280,2,6226,1958,14090,17038,4576,16,2,2,4,0,0,0,0,0,0,2,0,0,2,36,2,4,852,0,0,12536,3556,27970,2774,4,2226,0,3928,5904,0,12,2,2,118,0,0,58,24,8446,3934,680,5002,8,4,5708,4096,2,4,10850,4,9638,634,2008,4,0,1978,4,17040,6,4,2658,2,0,0,0,2,90,2,2,0,586,4,2,394,2,0,0,10,42,0,2,0,2,6866,0,7280,6,7450,14770,12510,31292,6,14504,73926,11508,0,4,0,2,0,0,4,4,0,2,21892,564,1018,758,0,8,3978,5512,806,2,4058,2,16588,2,528,3488,822,0,0,6,2,0,0,2,22390,2070,2,4018,7094,0,1060,0,422,5834,4,7438,7186,8196,7790,4,2,616,6888,0,11546,34838,2,2276,3064,0,4,2,1138,8272,5346,2360,6840,2,0,0,0,2,216,1122,2712,534,0,8,4,2,2068,4,840,2,2358,7562,5714,5992,2370,11350,0,914,2890,666,1404,1044,8272,68,2720,10876,19408,23960,308,2,0,468,0,0,364,106,0,326,0,272,2,2,1112,2380,0,1838,6,0,6946,2,0,0,2262,15780,5384,5814,22686,4618,8664,922,558,2,25180,6340,19266,2,4730,1222,4664,16392,4172,0,4,0,0,0,4,0,1062,2,0,890,1806,316,0,8,3110,1264,3938,4784,0,10010,1794,514,4,2,4258,8784,0,3304,5070,4988,12830,11838,3140,0,0,0,0,0,0,380,2,3118,2,2054,394,614,0,0,210,7954,2,0,2,0,0,3764,5614,630,9280,38,78,2,2,3034,9444,60,14468,5094,4104,394,0,2,12,0,0,4,2,0,6342,5564,2,2,1532,6148,2,0,410,15258,6524,4716,318,0,0,0,4028,4,0,27488,0,0,0,2,2,15122,2,4632,
9,0,0,0,0,6,6,382,0,0,296,1838,0,384,0,654,0,3566,264,0,0,0,2076,1788,0,3494,1880,5082,0,8626,0,0,0,0,0,0,50,0,0,28,0,2,0,0,12,0,1358,0,0,136,0,15030,40,2058,7304,0,4654,6,0,2,0,2,2,2,0,10,0,0,0,4,4,8466,2926,178,0,0,0,2,0,0,7310,0,0,2620,384,0,5402,1640,4,1406,0,0,4846,0,11066,13314,3614,14,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,4,668,0,0,0,2882,22466,2250,2,1724,0,3130,4624,0,10,2,0,84,0,0,44,20,0,3164,542,3950,6,4,4472,3138,2,2,0,0,0,0,1536,2,0,1546,0,13160,0,0,0,2,0,0,0,2,0,0,0,0,452,2,2,284,0,0,0,6,34,0,0,0,0,5332,0,5680,4,5910,11738,9982,24996,6,11494,58796,9106,0,2,0,0,0,0,0,0,0,2,0,464,818,0,0,0,0,4258,664,0,3202,0,12760,2,414,2726,0,0,0,4,0,0,0,0,17678,0,0,3086,0,0,808,0,352,4480,4,0,0,0,5814,0,2,480,0,0,9048,27488,2,1824,2424,0,4,2,884,6612,4238,1914,5476,2,0,0,0,2,0,822,2004,406,0,8,4,0,0,2,654,2,1822,5966,4526,4612,0,8838,0,736,0,0,0,0,6312,40,0,8562,0,18486,0,0,0,0,0,0,0,0,0,242,0,0,2,0,886,1904,0,1406,6,0,5512,0,0,0,0,12500,4172,4566,17866,3622,6724,724,436,2,19854,4974,15052,2,3838,1002,3680,13024,3242,0,2,0,0,0,0,0,828,0,0,0,1432,242,0,0,0,998,0,0,0,7976,1420,394,4,2,0,6782,0,2580,4018,3918,10028,0,2436,0,0,0,0,0,0,292,2,2310,2,1544,278,472,0,0,146,0,2,0,2,0,0,0,4426,0,7286,26,62,0,2,2358,7620,54,11472,4050,3300,318,0,2,10,0,0,0,0,0,5124,4406,0,0,0,0,2,0,0,11994,5104,0,228,0,0,0,0,2,0,0,0,0,0,2,2,12026,2,3674,
10,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,486,0,2682,202,0,0,0,1578,1338,0,2590,1426,0,0,6606,0,0,0,0,0,0,42,0,0,0,0,0,0,0,10,0,1022,0,0,98,0,11322,28,1528,5572,0,3498,4,0,0,0,0,0,0,0,0,0,0,0,2,4,6380,2256,130,0,0,0,0,0,0,5656,0,0,0,0,0,4084,0,4,1090,0,0,3658,0,8316,10104,2768,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,520,0,0,0,2100,17202,1742,2,1372,0,2402,3556,0,0,0,0,0,0,0,40,0,0,2458,406,3076,2,4,3392,2402,2,0,0,0,0,0,1136,2,0,1140,0,10034,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4060,0,4338,2,4520,9116,7660,19284,6,8802,45280,7044,0,2,0,0,0,0,0,0,0,2,0,366,644,0,0,0,0,0,484,0,2376,0,9610,2,316,2114,0,0,0,4,0,0,0,0,13852,0,0,2282,0,0,0,0,268,0,4,0,0,0,0,0,2,354,0,0,6962,20868,2,1370,1848,0,0,2,652,4978,3170,1450,4192,2,0,0,0,2,0,0,0,286,0,4,4,0,0,2,514,0,0,4516,3456,3446,0,6748,0,554,0,0,0,0,4832,30,0,6508,0,13986,0,0,0,0,0,0,0,0,0,168,0,0,2,0,666,1448,0,0,0,0,4212,0,0,0,0,9348,3222,3462,13608,2806,5116,544,358,2,15112,3746,11616,2,2988,770,2790,10028,2462,0,0,0,0,0,0,0,646,0,0,0,1064,190,0,0,0,726,0,0,0,6044,1038,296,2,2,0,5038,0,1988,3004,2984,7600,0,1856,0,0,0,0,0,0,198,0,0,2,0,0,0,0,0,114,0,0,0,0,0,0,0,3418,0,5598,20,52,0,2,1788,5986,44,8758,3116,2540,242,0,0,0,0,0,0,0,0,3980,3360,0,0,0,0,0,0,0,9016,3854,0,162,0,0,0,0,0,0,0,0,0,0,2,0,9222,2,2792,
