Step,Seg 165,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 527,Seg 641,Seg 642,Seg 643,Seg 646,Seg 647,Seg 648,Seg 815,Seg 817,Seg 836,Seg 990,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1329,Seg 1330,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1341,Seg 1489,Seg 1509,Seg 1660,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1669,Seg 1674,Seg 1675,Seg 1677,Seg 1839,Seg 1840,Seg 1868,Seg 1877,Seg 1882,Seg 2022,Seg 2023,Seg 2025,Seg 2030,Seg 2032,Seg 2033,Seg 2121,Seg 2129,Seg 2214,Seg 2216,
1,0,4,622,0,10,146,0,298,0,0,312,4,0,302,134,484,0,0,0,0,6,0,0,162,6,486,50375,35699,0,0,2,182,0,0,290,2,13900,0,0,90,0,0,144,4,0,0,0,0,454,0,0,0,146,2,2,0,208,10,34,312,4,2,0,1620,
2,0,0,528,8,6,128,0,242,0,0,264,4,0,250,112,426,0,0,0,0,6,0,0,148,0,416,81619,53785,414,0,0,156,0,0,840,0,27001,0,2,648,0,0,124,0,0,0,0,0,366,0,0,0,118,0,6,0,180,12,487,260,4,0,0,1336,
3,0,0,468,22,4,1350,0,210,571,577,240,2,0,222,100,392,0,0,0,2,2,0,0,554,0,362,100165,65391,670,4,0,132,0,0,1254,2,30628,0,0,1102,0,0,104,0,0,0,0,0,312,0,0,0,108,0,0,0,146,10,1197,228,0,0,417,1190,
4,42,0,834,14,0,2330,0,184,1032,922,202,0,0,198,96,346,0,4,0,0,0,0,0,906,0,326,120055,81724,566,0,0,128,0,0,1154,0,33640,0,0,1010,0,2,104,0,0,0,0,0,280,0,0,2,96,0,0,2,130,8,3701,206,0,0,754,1076,
5,74,0,1126,14,0,2158,0,170,972,762,182,0,0,178,92,308,0,0,2,0,0,0,2,860,0,296,125712,88012,480,0,0,114,0,0,1076,0,33568,2,0,928,2,0,96,0,0,0,0,0,252,0,0,0,86,0,0,2,112,6,5574,182,2,0,688,986,
6,68,0,986,28,0,1906,0,154,866,620,152,0,0,154,82,268,0,0,2,0,0,0,0,778,0,250,112432,78684,406,0,0,98,0,0,948,0,29820,2,0,836,2,0,90,0,0,0,0,0,216,0,0,0,76,0,0,2,100,8,4996,170,4,0,606,842,
7,48,0,838,26,0,1626,0,124,728,486,122,0,0,134,76,226,0,0,2,0,0,0,0,638,0,216,95294,66850,310,0,0,78,0,0,774,0,25348,2,0,730,2,0,76,0,0,0,0,0,186,0,0,0,64,0,0,2,88,6,4232,140,4,0,490,684,
8,44,0,680,20,0,1358,0,106,620,364,102,0,0,114,58,188,0,0,0,0,0,0,0,518,0,166,78178,55218,238,0,0,64,0,0,634,0,20860,2,0,576,2,0,62,0,0,0,0,0,152,0,0,0,48,0,0,2,72,6,3504,104,4,0,414,566,
9,32,0,544,18,0,1096,0,80,496,0,86,0,0,94,54,148,0,0,0,0,0,0,0,414,0,124,62404,44072,0,0,0,52,0,0,514,0,16624,2,0,438,2,0,50,0,0,0,0,0,122,0,0,0,36,0,0,0,50,4,2800,88,4,0,346,466,
10,22,0,450,16,0,828,0,60,388,0,64,0,0,72,36,110,0,0,0,0,0,0,0,326,0,100,47872,34058,0,0,0,40,0,0,400,0,12686,2,0,314,2,0,42,0,0,0,0,0,96,0,0,0,28,0,0,0,38,4,2152,68,0,0,276,348,
11,20,0,350,12,0,664,0,48,308,0,48,0,0,60,32,86,0,0,0,0,0,0,0,242,0,68,37816,26928,0,2,0,30,0,0,312,0,9864,0,0,256,2,0,30,0,0,0,0,0,74,0,0,0,24,0,0,0,30,2,1682,54,0,0,224,262,
12,18,0,286,14,0,532,0,40,250,0,40,0,0,36,22,62,0,2,0,0,0,0,0,192,0,54,31899,23505,0,0,0,26,0,0,264,0,8730,0,0,204,0,0,26,2,0,0,0,0,60,0,0,0,22,0,0,0,26,0,1294,46,0,0,190,226,
13,16,0,1634,0,2,1006,0,34,615,0,34,0,0,32,22,40,0,572,0,0,0,0,0,725,0,40,57055,39707,2,0,0,22,0,0,224,0,13351,0,0,174,0,0,20,0,0,0,0,0,54,0,0,0,18,0,0,0,20,2,2255,38,0,0,160,184,
14,14,0,2646,6,0,1400,0,28,870,0,28,0,0,26,18,32,0,972,0,0,0,0,0,1138,0,32,99439,64333,0,0,0,20,2,0,198,0,20671,0,0,148,0,0,16,0,0,0,0,0,48,0,0,0,12,0,0,0,16,2,4680,26,568,0,144,146,
15,14,0,2358,443,0,1258,0,20,768,0,24,0,2,24,16,32,0,862,0,0,0,0,0,1024,0,30,121245,80072,0,0,0,16,0,0,586,0,24482,0,0,122,0,0,12,0,0,0,2,0,42,0,0,0,10,0,0,0,16,4,7064,22,1038,0,134,130,
16,12,0,2204,772,0,1150,2,18,692,0,20,2,0,20,16,26,0,776,0,0,0,0,0,962,0,28,131315,88110,0,0,0,16,0,0,930,0,26611,0,0,112,0,0,12,0,0,0,0,2,38,0,0,0,10,0,0,0,16,0,8745,20,970,0,126,118,
17,10,0,2010,726,2,1058,0,16,654,0,22,0,0,12,12,26,0,696,0,0,0,0,0,892,0,26,131272,86504,0,0,0,14,0,0,858,0,26736,0,0,94,0,0,10,0,0,0,0,2,36,0,0,0,8,0,0,0,14,2,8924,20,918,0,118,100,
18,8,0,1732,654,2,918,0,12,568,0,18,0,0,10,10,24,0,612,0,0,0,0,0,776,0,24,115970,76562,0,0,0,12,0,0,748,0,23650,0,0,78,0,0,10,0,0,0,0,2,30,0,0,0,8,0,0,0,10,2,7898,20,790,0,94,92,
