Step,Seg 149,Seg 164,Seg 165,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 198,Seg 200,Seg 201,Seg 203,Seg 204,Seg 205,Seg 209,Seg 217,Seg 220,Seg 223,Seg 234,Seg 254,Seg 257,Seg 264,Seg 303,Seg 304,Seg 308,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 455,Seg 458,Seg 469,Seg 470,Seg 471,Seg 472,Seg 474,Seg 483,Seg 488,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 520,Seg 527,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 559,Seg 585,Seg 586,Seg 588,Seg 589,Seg 610,Seg 627,Seg 628,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 814,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 827,Seg 836,Seg 839,Seg 840,Seg 841,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 889,Seg 906,Seg 926,Seg 929,Seg 949,Seg 950,Seg 954,Seg 973,Seg 978,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1162,Seg 1163,Seg 1164,Seg 1181,Seg 1185,Seg 1186,Seg 1193,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1230,Seg 1251,Seg 1252,Seg 1257,Seg 1261,Seg 1264,Seg 1281,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1317,Seg 1323,Seg 1325,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1503,Seg 1504,Seg 1506,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1516,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1533,Seg 1534,Seg 1540,Seg 1541,Seg 1546,Seg 1552,Seg 1580,Seg 1590,Seg 1624,Seg 1625,Seg 1626,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1653,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1675,Seg 1676,Seg 1677,Seg 1826,Seg 1830,Seg 1838,Seg 1839,Seg 1840,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1868,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1888,Seg 1889,Seg 1891,Seg 1905,Seg 1942,Seg 1948,Seg 1977,Seg 1978,Seg 1983,Seg 1988,Seg 2006,Seg 2010,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2129,Seg 2131,Seg 2132,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2149,Seg 2160,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2214,Seg 2215,Seg 2216,
1,0,16,18649,58563,12,3,17,94934,5759,7,37672,9350,8,8013,0,0,0,25738,3,12,57972,37954,16,6,7,11396,20,12665,58655,34348,39385,14809,12,10389,15,0,0,8,2,6,25737,481,16,0,6199,19233,8036,6985,12,12,15,6,0,26160,27929,9506,11451,46208,12171,0,0,21,12,0,9,0,1735,0,40539,25513,88051,21,6,9,8,6520,6806,0,17239,1590,38940,9,7,6252,12,35789,55839,9,6,483,25300,2149,5,40757,0,10,7554,9,5,17,0,0,11,6,5,0,6,0,486,6,5699,9,6,21,20267,19063,16748,60877,12,27643,130594,32906,35790,135143,17,30285,7103,3,0,14,2,108689,2,3,3,11,487,145584,7509,0,7204,87079,11,9,3,8222,21197,34188,80014,31215,0,0,0,31315,26921,89703,9,6246,287,6,9,12,11,28219,6319,8344,70906,7603,8,6,11,18,3,14629,21,3,0,9169,57151,23247,29611,8,61523,0,6,7,2546,5016,20347,0,12,7275,30093,24777,0,9,0,0,3,6917,10729,0,6,0,7587,20287,12014,26908,31140,4127,14595,484,8302,6,28111,5734,29317,5,14,2166,0,24291,11489,0,0,14,0,12,13796,15002,10115,6039,43648,6,6,6453,40458,12,5388,18591,43090,53512,145977,16668,23765,12,0,0,57858,3,8695,0,45948,0,18839,5,0,23624,7251,77,13256,6270,15655,14,94203,11,4185,11,12444,14899,8938,0,9027,12,11,6,55508,10387,9108,0,14,6,5,2,66119,31848,3,12627,
2,0,20,24357,72952,9,2,21,120092,7539,3,47468,12177,6,9698,0,0,6,33287,1053,12,72224,46855,11,5,3,15990,38,19088,76987,46287,53765,19455,83,13628,1139,0,0,6,0,6,33787,614,29,0,8002,25141,9755,8484,6,12,30,12,0,33654,37115,11484,15052,61620,15953,3,10,21,11,0,14,0,2163,3,52012,36009,117547,15,3,1110,6,8635,9018,0,22699,2094,52816,1086,30,8249,15,45232,68471,9,0,621,30499,2803,6,57060,0,6,9210,9,3,15,3,3,8,163,1050,0,57,0,632,3,7424,9,6,20,26648,25315,22324,80856,16,36592,175899,46789,45051,182366,35,42444,8877,3,0,17,0,141167,0,179,3,17,608,192407,9085,0,9274,106922,24,9,17,12071,26176,42640,101992,39159,0,0,3,40777,34642,118566,9,10462,372,14,8,12,27,38281,8377,11067,95077,9565,3,3,47,18,3,17981,62,3,0,11529,75109,30425,40125,54,81663,0,5,3,3153,6921,26888,0,17,9556,38226,31637,0,9,0,0,3,9078,14822,0,1102,0,9306,30163,15772,35197,40741,5362,20302,622,10778,6,36997,7515,39998,21,11,2862,3,32180,15166,0,0,20,74,20,16685,21521,12398,7465,56640,1588,6,7791,53043,23,6965,24111,56732,71947,180111,22662,28534,11,5,3,74839,12,10905,23,57844,0,23548,29,3,30961,9487,98,17294,8264,20812,12,125788,9,5568,13,14942,20878,11876,0,11031,10,172,3026,73656,13618,11344,0,11,18,3,0,82752,42106,787,17921,
3,0,9,21844,60388,23,0,9,100064,7712,9,38837,10507,5,7757,15,0,3,29294,1353,11,59104,38205,8,5,3,14688,14,17134,72015,42445,48538,18001,36,12125,2589,0,0,6,0,12,30000,534,1090,0,7302,22019,7764,6841,5,11,3,6,0,27748,32291,9141,13386,55669,14181,9,29,23,9,0,6,0,1792,3,43582,32721,105887,18,3,1466,5,8850,8107,0,19804,2026,49360,1479,65,7372,8,38882,55490,8,0,554,24226,2475,19,52574,0,6,7400,7,3,24,0,0,5,212,1366,3,6,0,571,45,6562,9,6,18,23570,22658,19978,73118,24,32708,159315,47038,37566,164880,1116,37616,7416,2,0,824,0,124905,0,233,3,21,485,167193,7197,3,8064,87391,21,9,2,10957,21593,35149,84201,33744,0,0,0,35610,29556,106272,12,10235,338,6,6,12,9,36135,7472,9855,86462,8056,2,15,18,14,2,14521,33,3,0,9658,66920,27223,36559,46,72839,0,0,3,2595,5867,25162,0,12,8435,33239,26594,0,15,0,11,9,7818,14910,12,1453,3,7547,29496,13951,32219,36085,4720,18513,551,9310,6,33431,6681,37090,3,9,2530,9,29352,13479,0,6,11,111,9,13279,19915,10008,6156,48483,2187,6,6307,47075,26,6010,21170,50652,65007,146923,20498,22814,12,3,7,65604,6,9094,200,48386,0,21116,9,73,26973,8421,84,14967,7278,18566,12,115715,9,4979,12,11892,20209,10659,3,8973,6,228,3749,65517,12089,9371,6,8,38,3,0,68542,37573,1066,16611,
4,0,9,19835,51407,24,12,9,82672,7460,3,32013,9237,2,6346,0,0,0,26450,1170,5,48599,32021,9,0,3,13273,13,15236,67444,38537,43699,16496,53,11006,2889,0,0,5,0,6,27123,479,1336,9,6415,19566,6240,5693,3,8,3,6,804,22684,28097,7512,12077,50486,12907,12,8,18,9,0,6,0,1533,6,36191,30503,98309,12,3,1326,3,8536,7363,6,17509,1894,44347,1335,24,6632,6,33219,46240,6,0,510,19641,2209,3,48006,0,8,6079,3,3,14,0,0,3,194,1181,3,17,0,501,0,5942,9,12,17,21233,20502,18062,67539,6,29464,145785,48005,31152,149356,1527,31986,6251,0,0,1084,0,112747,0,208,6,12,387,145757,5853,6,7105,75148,29,3,0,9500,18166,30299,69265,29319,0,0,6,30207,25916,95994,6,9266,296,6,5,18,29,33384,6722,8882,79531,6988,3,3,9,15,6,11954,38,3,3,8207,60745,25432,34806,825,65699,0,0,3,2190,4860,23833,0,11,7613,28743,22701,0,14,3,9,6,6927,13768,0,1299,0,6169,27174,12669,29476,32552,4225,18328,510,8106,6,30477,6062,33903,3,8,2279,3,26761,12166,0,0,7,237,9,10821,17938,8323,5230,42169,1922,6,5139,42679,40,5253,19099,46300,59041,121036,18635,18500,14,3,15,56290,3,7659,233,41177,0,18163,24,96,24989,7563,81,13122,6450,16749,12,106752,8,4482,15,9708,19785,9680,3,7405,6,202,3046,59153,10971,7985,5,5,15,9,0,57136,33470,965,14985,
5,0,20,17744,43004,20,5,9,68091,6685,3,26206,7993,0,5174,0,9,3,23536,1000,3,40160,26978,9,0,12,11981,6,13322,60395,34280,38957,14562,41,9824,2504,0,0,3,0,9,24340,424,1104,9,5322,17321,5103,4692,3,5,3,5,1100,18454,24152,6147,10867,45291,11551,6,21,17,15,0,6,0,1309,3,30025,27818,89272,18,3,1230,3,7636,6628,6,15447,1712,38650,1186,21,5896,5,27766,38507,6,0,471,15992,1978,0,43504,0,3,4977,3,3,12,0,0,3,181,1010,3,7,0,444,6,5328,8,6,14,19015,18457,16190,61217,2,26435,132162,45060,25349,133776,1378,26376,5191,0,3,948,0,100527,0,195,9,6,317,126027,4763,6,6230,63134,19,5,0,8166,15140,25861,57126,25352,0,0,3,25299,22367,85286,6,8221,255,6,3,9,5,29989,6030,7946,71856,6044,0,3,9,12,6,9752,51,3,3,6921,54715,23129,32004,1053,59066,0,0,3,1849,4105,20941,0,9,6838,23947,19427,0,9,9,3,3,6051,12014,0,1137,2,4999,24310,11377,26440,29205,3814,17127,474,6966,6,27431,5406,30372,3,2,2033,9,23840,10871,0,3,3,262,9,8912,16047,6900,4338,36459,1687,6,4166,38178,20,4524,17010,41751,53124,99264,16707,14968,11,6,3,46840,9,6456,197,35020,0,15034,3,84,22427,6706,75,11465,5644,14951,12,96888,6,4081,6,7773,18315,8719,3,6098,6,186,2511,53194,9811,6779,2,3,8,17,0,47570,29438,874,13521,
6,0,9,15278,34694,23,14,9,54727,5726,3,20988,6674,0,4085,0,9,3,20201,844,3,32484,21654,5,0,6,10271,5,10855,51983,29580,33545,12474,24,8402,2120,0,0,3,0,5,20914,369,857,9,4229,14915,4034,3734,3,3,2,3,965,14686,20150,4884,9288,38896,9845,6,11,11,9,0,6,19,1089,2,24215,23985,76881,8,3,1041,3,6538,5694,6,13129,1537,32725,1022,12,5111,3,22759,31389,6,0,412,12684,1705,0,37769,0,3,3884,2,2,6,5,0,3,148,818,3,3,0,384,3,4561,5,6,9,16257,15889,13975,52953,0,22900,114723,39168,20132,114716,1189,20982,4260,0,9,806,0,86598,0,177,5,3,254,106108,3797,5,5248,50791,8,2,0,6817,12286,20863,45952,21110,3,0,3,20664,18615,73356,3,7071,213,3,3,8,15,25745,5252,6875,61807,4997,0,3,9,15,3,7751,38,2,2,5669,47534,20079,27838,833,50888,0,0,3,1493,3310,17331,104,8,5892,19192,16158,6,8,9,3,3,5116,10101,0,958,0,4063,20778,9802,22881,25092,3311,14612,405,5770,6,23619,4637,26103,3,0,1771,12,20517,9318,0,9,3,222,8,7200,13893,5580,3426,30539,1478,5,3342,32692,8,3801,14549,35941,45845,79971,14381,11752,8,5,5,38113,6,5329,165,28649,3,12146,3,73,19010,5861,65,9621,4778,12796,12,84350,6,3499,26,6084,15819,7515,3,4887,6,165,2045,45834,8410,5590,0,2,28,8,0,38425,24984,748,11716,
7,0,8,12796,27267,20,10,8,42607,4755,3,16202,5434,0,3153,0,9,2,16816,675,3,25623,17124,3,0,6,8585,3,8484,43348,24797,28051,10417,21,6994,1757,0,0,3,0,3,17378,303,679,8,3268,12457,3120,2899,3,3,0,3,802,11442,16452,3786,7789,32296,8209,6,8,9,8,0,6,14,879,0,19040,20087,64180,6,3,853,3,5403,4771,5,10933,1316,27164,883,12,4312,3,18205,24770,4,0,359,9864,1425,0,31773,0,3,2969,0,0,6,3,0,3,116,663,3,2,0,311,3,3797,3,6,9,13583,13262,11687,44143,0,19078,95696,32745,15563,95352,983,16191,3431,0,9,664,0,72334,0,146,3,3,195,87574,2892,3,4268,39776,6,0,0,5590,9677,16345,35917,16905,3,0,3,16291,15249,60994,3,5922,183,3,2,4,15,21532,4407,5736,51642,4042,0,3,9,14,3,6042,33,0,0,4515,39771,16859,23297,637,42530,0,0,3,1137,2563,14087,93,6,4930,14982,13187,6,6,8,3,3,4244,8378,0,768,0,3294,17312,8198,19142,20790,2749,12204,317,4666,5,19641,3871,21759,3,0,1467,12,17208,7754,0,9,3,175,5,5620,11643,4378,2688,24969,1235,3,2631,27104,6,3101,12127,30116,38266,62751,11990,9090,4,3,3,30354,4,4256,134,22797,3,9549,3,57,15792,4848,52,7697,3918,10613,12,70456,6,2928,23,4745,13277,6333,3,3793,4,135,1626,38101,7025,4405,0,0,23,6,0,30094,20710,621,9744,
8,0,6,10354,20893,18,6,6,32064,3898,2,12249,4391,0,2402,0,8,0,13792,525,3,19726,13305,3,0,5,6995,3,6485,35095,20077,22841,8531,13,5726,1410,0,0,2,0,3,14135,243,527,5,2459,10058,2338,2179,2,3,0,3,638,8611,13167,2817,6388,26274,6745,5,6,9,6,0,6,12,685,0,14713,16340,52221,6,3,689,3,4435,3882,3,9012,1086,22238,753,11,3493,3,14099,19065,0,0,297,7438,1182,0,26075,0,2,2232,0,0,6,3,0,3,92,519,3,0,0,243,2,3146,3,6,8,11059,10737,9520,35875,0,15505,77957,26606,11709,77310,807,12136,2665,0,9,520,0,58665,0,125,3,2,138,71024,2199,2,3396,30111,6,0,0,4488,7502,12586,27403,13171,3,0,3,12590,12283,49566,2,4809,163,3,0,0,14,17615,3568,4656,42378,3129,0,3,9,11,2,4615,25,0,0,3552,32623,13820,19118,472,34459,0,0,3,831,1916,11155,82,6,4012,11332,10472,5,6,5,3,3,3522,6702,0,602,0,2549,14021,6679,15443,16940,2222,9902,257,3741,2,15909,3151,17644,3,0,1187,12,14052,6264,0,9,3,144,3,4282,9342,3330,2081,20032,999,3,2018,21917,5,2452,9760,24427,31084,47711,9693,6925,0,3,3,23685,0,3324,110,17740,3,7356,2,42,12691,3881,35,6077,3157,8600,12,57432,6,2399,20,3578,10891,5127,3,2890,0,115,1241,30921,5713,3381,0,0,20,5,0,23124,16908,506,7906,
9,0,6,8071,15916,17,6,6,24020,3061,0,9217,3417,0,1789,0,6,0,10791,416,3,14983,10046,2,0,3,5468,3,4894,27530,15648,17972,6726,9,4535,1049,0,0,0,0,3,11229,200,392,3,1851,7910,1722,1590,0,3,0,3,481,6420,10364,2145,5033,20782,5332,2,6,8,6,0,5,12,509,0,11123,12726,41507,6,3,540,3,3547,3080,3,7259,866,17799,606,8,2735,3,10620,14486,0,0,228,5535,933,0,20444,0,0,1641,0,0,5,3,0,3,80,379,3,0,0,196,0,2449,3,6,5,8696,8520,7528,28301,0,12311,61847,21096,8798,60772,654,9067,2062,0,7,400,0,45590,0,103,3,0,101,55918,1674,0,2638,22450,6,0,0,3422,5671,9583,20521,10066,3,0,3,9514,9596,38883,0,3725,141,3,0,0,10,13896,2849,3651,33767,2354,0,3,8,8,0,3456,20,0,0,2753,25777,10769,15093,358,26912,0,0,3,645,1436,8559,63,6,3175,8542,8115,3,5,3,3,3,2784,5136,0,459,0,1874,11030,5253,12070,13341,1746,7844,208,2926,0,12500,2483,13912,3,0,956,12,11119,4936,0,8,3,116,3,3226,7260,2504,1570,15645,785,3,1537,17090,3,1915,7544,18964,24369,35896,7621,5224,0,3,3,17828,0,2503,82,13290,3,5481,0,33,9847,3009,19,4729,2502,6793,11,45674,5,1868,17,2708,8667,4014,2,2151,0,91,979,24375,4477,2587,0,0,16,2,0,17405,13443,395,6246,
10,0,6,6257,11970,14,5,6,18017,2309,0,6822,2625,0,1332,0,6,0,8303,314,3,11275,7593,0,0,3,4191,3,3739,21189,12033,13970,5245,9,3584,795,0,0,0,0,3,8768,146,301,3,1392,6063,1297,1190,0,3,0,3,379,4846,8174,1638,3865,16238,4146,0,4,6,5,0,3,12,373,0,8338,9814,32370,4,3,426,3,2777,2409,2,5714,669,13883,466,6,2148,3,7952,10864,0,0,168,4128,737,0,15744,0,0,1226,0,0,2,2,0,3,67,293,3,0,0,161,0,1853,3,5,2,6755,6645,5933,22241,0,9623,48248,16528,6563,47151,508,6757,1595,0,3,310,0,35034,0,78,2,0,77,43719,1243,0,2043,16702,5,0,0,2599,4349,7192,15434,7557,3,0,3,7232,7464,30139,0,2822,122,3,0,0,6,10843,2227,2854,26409,1771,0,3,5,6,0,2536,18,0,0,2096,19995,8300,11742,267,20880,0,0,2,491,1093,6497,45,6,2469,6383,6157,3,2,3,3,3,2134,3920,0,335,0,1396,8609,4148,9370,10379,1396,6094,163,2284,0,9612,1899,10968,2,0,741,9,8737,3801,0,6,3,88,3,2362,5673,1880,1200,12111,618,2,1148,13274,3,1501,5801,14567,18679,26833,5955,3972,0,3,3,13433,0,1910,60,9942,3,4106,0,25,7686,2286,14,3635,1990,5320,8,35758,3,1426,13,2042,6813,3162,0,1617,0,71,755,18916,3482,1946,0,0,11,0,0,12988,10577,296,4893,
