Step,Seg 3,Seg 22,Seg 25,Seg 123,Seg 137,Seg 140,Seg 141,Seg 149,Seg 153,Seg 164,Seg 165,Seg 166,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 199,Seg 200,Seg 201,Seg 203,Seg 204,Seg 205,Seg 208,Seg 209,Seg 216,Seg 217,Seg 220,Seg 223,Seg 234,Seg 240,Seg 244,Seg 248,Seg 254,Seg 256,Seg 257,Seg 262,Seg 264,Seg 276,Seg 282,Seg 287,Seg 288,Seg 291,Seg 292,Seg 303,Seg 304,Seg 308,Seg 310,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 415,Seg 417,Seg 432,Seg 435,Seg 437,Seg 447,Seg 455,Seg 458,Seg 460,Seg 463,Seg 465,Seg 466,Seg 469,Seg 470,Seg 471,Seg 472,Seg 474,Seg 475,Seg 481,Seg 483,Seg 485,Seg 488,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 517,Seg 518,Seg 519,Seg 520,Seg 521,Seg 524,Seg 527,Seg 531,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 544,Seg 550,Seg 552,Seg 556,Seg 559,Seg 563,Seg 565,Seg 585,Seg 586,Seg 588,Seg 589,Seg 594,Seg 599,Seg 610,Seg 613,Seg 628,Seg 632,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 720,Seg 726,Seg 764,Seg 768,Seg 769,Seg 779,Seg 788,Seg 791,Seg 798,Seg 799,Seg 802,Seg 805,Seg 814,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 823,Seg 827,Seg 831,Seg 836,Seg 839,Seg 840,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 874,Seg 882,Seg 885,Seg 887,Seg 889,Seg 899,Seg 906,Seg 920,Seg 926,Seg 929,Seg 949,Seg 950,Seg 952,Seg 954,Seg 959,Seg 973,Seg 978,Seg 986,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1100,Seg 1102,Seg 1107,Seg 1108,Seg 1112,Seg 1118,Seg 1123,Seg 1162,Seg 1163,Seg 1164,Seg 1165,Seg 1168,Seg 1181,Seg 1182,Seg 1185,Seg 1186,Seg 1192,Seg 1194,Seg 1195,Seg 1199,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1211,Seg 1224,Seg 1225,Seg 1229,Seg 1230,Seg 1234,Seg 1235,Seg 1236,Seg 1245,Seg 1251,Seg 1252,Seg 1257,Seg 1261,Seg 1264,Seg 1281,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1316,Seg 1317,Seg 1323,Seg 1325,Seg 1328,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1383,Seg 1424,Seg 1456,Seg 1457,Seg 1462,Seg 1464,Seg 1467,Seg 1472,Seg 1477,Seg 1488,Seg 1489,Seg 1490,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1502,Seg 1503,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1531,Seg 1533,Seg 1534,Seg 1537,Seg 1540,Seg 1541,Seg 1546,Seg 1547,Seg 1552,Seg 1559,Seg 1562,Seg 1567,Seg 1568,Seg 1570,Seg 1575,Seg 1580,Seg 1590,Seg 1624,Seg 1625,Seg 1626,Seg 1627,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1649,Seg 1651,Seg 1653,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1675,Seg 1676,Seg 1677,Seg 1762,Seg 1784,Seg 1793,Seg 1797,Seg 1807,Seg 1819,Seg 1826,Seg 1829,Seg 1830,Seg 1832,Seg 1835,Seg 1838,Seg 1839,Seg 1840,Seg 1841,Seg 1846,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1867,Seg 1868,Seg 1871,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1878,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1885,Seg 1888,Seg 1889,Seg 1891,Seg 1895,Seg 1902,Seg 1905,Seg 1911,Seg 1922,Seg 1925,Seg 1938,Seg 1942,Seg 1948,Seg 1977,Seg 1978,Seg 1979,Seg 1983,Seg 1988,Seg 1989,Seg 1993,Seg 1994,Seg 2006,Seg 2007,Seg 2010,Seg 2013,Seg 2015,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2097,Seg 2102,Seg 2107,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2126,Seg 2129,Seg 2131,Seg 2132,Seg 2134,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2143,Seg 2149,Seg 2153,Seg 2160,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2196,Seg 2204,Seg 2205,Seg 2212,Seg 2213,Seg 2214,Seg 2215,Seg 2216,
1,0,0,0,0,0,0,0,22,0,8,715,0,79883,8,9206,0,50753,57650,4,6540,50634,0,13522,2,16383,0,728,0,4,37554,41234,24142,8,49275,0,0,0,146528,0,8,0,4,0,0,4,0,0,0,22,15831,12,0,47242,72797,15064,6795,22599,6,17279,10,0,0,0,0,0,0,3452,2014,0,13,10,0,20,16,2,64866,12324,4,0,8696,0,8,14821,35007,20705,10132,14,12,21460,6,0,0,13685,35145,0,0,46283,0,27100,13621,37061,44679,12784,0,28,0,0,2,0,0,12,12,0,18,0,0,0,0,3259,0,77548,21317,111590,18,12,10,12,25019,8326,0,0,0,0,0,0,0,0,3446,0,0,0,3386,10631,6638,39293,8,20606,10579,12,0,61552,0,28783,8,17363,31662,3983,10,33838,10,8,13706,22,12,10,0,0,0,0,8,8,0,20,16,18,4,0,16,4,0,0,0,12,21164,8,0,0,21937,42260,44766,79354,12,44821,218316,35295,0,0,0,0,0,0,0,232345,73437,4,0,6,32173,0,28819,16,0,8,16,0,43946,4,14,12,0,0,0,0,12,0,0,0,0,0,108170,24325,8,14052,111838,16,16,14,25555,13134,55140,66788,25626,0,0,734,68678,0,27223,106868,4,20,3562,10,16,18,15086,71746,8444,8354,31936,0,0,0,0,0,0,0,0,0,4374,16,8,12,12,16087,16520,0,18,16837,17176,20357,20306,14976,26328,8,6,7334,16016,0,37089,12,0,18,10533,188396,0,30750,0,0,0,0,0,0,0,8,0,0,6,0,405,5959,4,22,0,0,729,12335,61025,10982,47394,42949,12829,24245,3259,14997,24,21617,9131,41866,16,12,3839,13628,49653,13540,0,0,0,0,0,0,66,0,0,0,0,12825,963,16,0,0,6404,33049,7298,22370,69297,0,6,0,16,10053,38520,14,0,17177,31363,38464,49701,0,78182,8970,46377,0,0,18,0,0,2,0,0,6,30099,28,4,35916,712,0,0,0,37185,0,0,0,0,30560,0,6502,58170,12165,2118,0,8303,25125,8,95794,24,15984,4,0,0,0,31928,145860,5375,0,0,14291,32,4,0,14,67995,22505,17286,0,12,0,12,14,14,12,121762,0,4,0,0,0,17355,22,12957,
2,0,0,4,0,0,0,0,30,4,30,826,0,89708,12,14211,20,61470,70044,8,7228,54506,0,15712,18,17826,12,852,0,2302,42644,48034,26752,4,54144,0,0,4,162570,0,6,0,4,0,741,0,0,4,0,24,18594,52,0,52698,85568,23763,9216,30967,4,20334,46,0,0,5916,0,0,0,3860,2188,0,20,0,0,18,12,0,76212,14514,0,0,10644,0,4,16062,40928,22374,11204,18,10,23328,12,0,8,15620,40888,0,0,50810,0,31541,14786,43534,53973,14960,0,22,0,2573,8,0,0,10,6,0,26,0,0,0,0,3792,0,86334,25210,132509,3154,1611,2740,10,29748,9900,0,0,0,0,4,0,16,0,3872,0,16,0,3698,12550,7842,46120,1643,26134,12490,16,0,70809,0,32959,8,21914,37347,4604,24,42207,4,1520,17556,18,12,8,0,0,15,0,16,4,0,16,726,1087,12,0,18,0,0,0,42,10,25014,4,0,0,25844,51250,53254,95231,12,56360,272250,43452,0,0,0,0,0,4,430,254737,86441,2,0,12,35210,0,32328,12,0,12,12,0,64329,4,254,44,8,0,0,0,18,0,0,0,4,8,125736,26377,12,16240,125588,36,14,30,32216,16777,61360,74807,29754,0,0,858,80942,0,31174,127263,4,71,4178,1593,18,16,17869,88384,10030,9876,40671,0,0,6,0,4,0,8,4,637,4930,14,6,54,1603,19134,18042,0,48,18970,20128,23912,27296,16368,40201,8,4,8038,17588,1093,42614,4,4,38,12434,213292,0,36764,16,0,0,0,28,0,0,20,0,0,4,0,462,10728,28,1172,0,8,852,14700,71797,12922,57344,50524,15154,28580,3943,17370,22,26934,10716,49752,30,10,4540,17290,59695,15942,0,0,0,12,0,0,16,0,0,0,4,15549,1148,54,0,0,6924,45750,7998,24631,81424,0,1569,0,14,10884,45474,8,0,19744,36425,45156,57950,0,85150,10602,52797,0,104,44,0,0,4,0,8,1130,34753,28,0,40324,814,0,4,0,42753,0,0,0,716,33794,1564,7222,68048,14372,2512,163,9630,29852,4,115156,20,19002,20,0,0,0,34272,177080,6346,0,0,15710,1515,10,0,26,81131,26382,19242,0,250,0,12,20,24,6,137889,0,0,0,0,0,20344,32,17028,
3,0,2,2,0,0,0,6,32,0,4,721,0,74614,16,12676,0,53396,62984,6,7022,43634,0,13528,4,14518,8,736,0,2702,34892,42478,22122,0,44149,0,0,8,135205,0,12,8,4,0,872,0,0,0,0,20,16540,10,4,44728,77122,23140,8550,30462,4,18148,24,0,0,6840,0,4,0,3262,1935,8,16,12,0,16,28,24,67870,13629,0,4,8968,0,4,13024,36060,17756,9194,10,6,18874,2,26,8,13358,36130,0,4,41322,0,27212,12032,38748,48308,13400,0,0,8,2918,8,1510,0,8,4,0,8,0,0,0,0,3334,0,73804,22252,120282,3764,1926,3304,8,26630,8890,0,0,8,8,4,0,0,0,3234,0,4,0,2966,11040,7034,40140,1912,25061,11224,12,0,59392,0,27196,28,21171,33259,4034,24,38516,4,1674,16455,12,10,8,0,0,10,0,743,0,4,12,892,1208,16,0,10,0,0,0,76,28,22304,4,8,6,23006,47375,47722,85500,8,51416,250009,44885,0,0,4,0,0,4,496,205785,77050,1202,8,0,31176,0,27178,8,0,18,8,4,65209,12,346,32,0,0,0,0,16,8,0,0,0,4,110393,21238,116,14236,105269,20,10,4,28500,14482,51661,62796,26275,0,8,714,70288,0,26704,113742,4,48,3770,1866,16,20,16021,80202,8908,11572,37320,0,10,6,0,0,0,16,250,708,4220,12,8,46,1936,17160,14574,0,28,16020,18078,21526,28361,14835,38718,28,4,6492,15496,1244,36560,16,4,14,11142,176904,0,31624,0,0,12,0,20,0,0,16,12,0,4,4,406,12061,8,1392,4,4,750,12256,63944,11504,56701,44970,15187,25500,3510,15056,18,26727,9520,44614,16,4,4078,16224,53326,14220,8,4,4,0,0,0,12,8,0,8,0,13092,1006,16,8,0,5576,44336,6612,20248,72000,0,1864,0,26,8782,41814,10,0,16996,32090,41525,53718,4,71576,9452,43046,0,110,42,0,0,715,4,0,1306,28866,30,0,33612,710,0,0,0,36264,0,0,0,818,27534,3022,5902,59246,12832,2256,38,8462,26730,1630,103684,22,16992,12,0,0,0,27194,159463,5676,6,0,12860,1710,0,8,16,72546,23416,16046,0,280,0,10,48,47,8,114616,0,0,0,8,0,17788,20,15682,
4,0,0,0,0,2,0,6,34,4,14,660,0,62680,4,10254,4,45604,57986,0,6220,35854,0,11724,0,11950,8,654,0,2368,29709,38270,18766,0,36546,0,0,6,114025,4,4,8,4,0,753,0,4,0,0,16,14944,12,4,40577,69610,20892,7726,29151,8,16368,50,0,12,5924,0,4,0,2786,1612,4,4,4,0,16,12,0,61394,12422,0,0,7400,0,12,10814,32124,14538,7632,30,4,15510,0,12,4,11422,32472,0,4,35204,0,23630,9942,35082,43646,12222,0,12,6,2542,0,1692,0,8,0,0,8,0,4,0,0,2972,0,62202,19886,109173,3358,1708,3048,8,24006,8026,2,0,2,12,8,0,0,14,2740,4,8,0,2418,9850,6420,35198,1716,22988,10210,10,0,50040,6,22692,6,19522,29083,3648,4,35188,8,1396,13910,12,8,4,0,0,8,0,848,4,4,12,805,1018,12,0,12,0,4,0,94,8,20204,4,0,4,20884,43106,43280,77403,16,46404,233051,42248,0,0,12,0,2,14,434,168816,69680,1476,0,4,26314,0,23282,6,0,18,8,0,60084,14,313,20,1107,0,6,0,6,12,0,0,0,0,97633,17416,146,12596,87896,8,8,4,24970,12095,44469,52326,24078,0,0,612,60723,0,23158,103918,4,1663,3554,1646,14,10,14508,72472,8018,11434,33818,0,0,12,4,6,0,20,288,552,3628,20,4,1208,1756,15514,11896,0,22,13694,16506,20702,28235,12673,35026,12,12,5442,13146,1040,31718,2,8,14,10096,145932,0,28291,2,0,0,8,26,0,0,8,4,0,8,0,366,11026,8,1224,0,0,662,10054,57937,10384,52834,40792,14256,23114,3172,13164,12,26165,10226,40432,16,4,4346,14754,49123,12844,0,4,4,0,0,0,10,4,8,8,0,10784,1146,8,16,0,4594,40482,5590,16992,63336,0,2852,0,24,7262,38368,22,0,14842,28878,38276,50636,4,59656,8538,35178,0,94,60,0,2,830,0,0,1148,24254,20,4,28596,636,0,0,4,31016,0,0,0,678,22689,3064,4923,51820,11614,2028,70,7462,24124,2000,93968,16,15374,16,0,0,4,22048,146949,5134,6,0,10647,1458,0,0,8,65754,21066,13660,0,240,0,6,28,40,2,95550,0,0,0,0,4,15776,20,14154,
5,0,0,0,0,0,0,4,52,4,4,586,0,52102,8,8240,0,37626,51938,8,5250,29040,0,10018,4,9634,8,570,0,2058,24370,33834,15916,0,29908,4,0,4,94688,4,4,2,4,0,646,4,4,2,0,24,13280,8,8,34484,61756,18538,6874,26082,2,14598,22,0,12,5070,0,4,0,2352,1254,2,4,4,22,12,10,4,54478,10820,0,0,6076,0,16,8924,28012,11874,6300,6,4,12530,0,16,4,9586,28768,4,4,28878,0,20188,7994,31304,38872,10940,0,7,4,2122,2,1386,0,4,0,0,12,0,4,0,4,2576,0,51672,17470,97054,2992,1518,2736,8,21344,7150,0,0,0,12,6,0,0,12,2252,4,11,0,1930,8672,5732,30528,1526,20552,9086,10,0,41772,4,18787,2,17306,23938,3216,0,31637,10,1168,11246,12,8,4,0,0,4,0,714,4,4,8,706,844,12,4,0,0,4,0,86,18,17982,4,4,0,18602,38336,38784,69444,4,41498,210859,37820,0,0,12,0,0,10,394,136838,62034,1318,0,8,21382,0,19626,4,4,12,8,0,53118,4,280,6,1250,4,4,0,6,8,0,0,4,4,84456,14162,126,10984,72227,28,8,4,21480,9992,37312,43170,20968,0,4,532,50660,0,19774,92590,4,1960,3194,1424,14,20,12940,64642,7156,10275,30180,0,0,8,2,4,0,12,254,442,3118,26,4,1432,1600,13896,9604,0,22,11514,14908,18824,25644,10252,31262,16,8,4552,10894,868,27118,0,8,4,9014,119935,0,24386,0,0,8,4,26,0,0,8,4,4,4,0,312,9558,12,1078,0,0,574,8184,51715,9200,46962,36398,12710,20424,2840,11280,12,23784,9598,35900,16,4,4138,13088,43716,11448,0,4,4,0,0,0,6,8,8,8,0,8738,1092,10,24,0,3728,35948,4624,14110,54218,0,2902,0,6,5966,34254,12,4,12736,25566,34158,45516,4,48908,7578,28444,0,82,64,0,2,720,0,8,988,20092,20,4,24282,548,0,0,4,26224,0,0,0,580,18514,2698,3992,44780,10368,1806,58,6524,21596,1812,84162,16,13746,14,0,16,4,17852,131564,4553,12,0,8718,1210,0,0,8,58770,18728,11560,0,210,0,4,33,32,0,79266,0,0,4,6,4,13858,12,12642,
6,0,0,0,0,0,0,4,42,2,2,522,0,42020,6,6450,0,30070,44863,4,4208,22766,0,8336,4,7634,4,476,0,1702,19388,28988,12922,0,23836,4,0,4,75946,2,4,0,4,0,522,4,4,0,0,10,11302,4,8,27740,52841,15967,5920,22248,0,12400,28,0,12,4164,0,4,0,1942,956,0,4,4,18,8,12,4,46422,9072,0,0,4790,0,14,7156,23694,9322,5024,26,4,9866,0,8,4,7880,24674,4,4,22926,0,16680,6282,26912,33262,9380,0,40,4,1726,0,1118,0,4,0,8,8,0,4,14,4,2148,0,41608,14970,82808,2576,1352,2380,6,18288,6086,0,0,0,10,4,0,0,12,1818,3,6,70,1522,7320,4946,25632,1300,17732,7818,8,0,33816,4,15232,0,14728,18822,2746,0,27312,10,960,8784,12,8,4,0,0,0,12,564,2,4,6,578,656,12,2,0,0,4,0,58,8,15334,4,4,0,16006,32746,33508,59886,2,35626,181609,32727,0,0,12,0,0,6,336,108321,53092,1090,0,8,16938,0,16094,4,4,4,8,0,45418,4,250,4,1004,4,4,0,4,6,0,0,4,4,70784,11192,100,9302,57988,12,6,4,17799,8030,30124,34634,17352,2,4,452,40988,0,16364,79376,4,1636,2712,1142,6,12,11076,55378,6152,8804,25968,0,0,4,0,4,0,12,202,352,2652,10,4,1230,1398,11978,7710,0,18,9492,12868,16200,21928,8208,26832,12,2,3682,8856,718,22707,230,6,4,7704,96574,0,20156,0,0,6,4,22,0,4,2,4,4,4,0,248,7926,6,914,0,0,476,6532,44222,7908,40038,30960,11060,17350,2458,9374,6,20458,8208,30654,10,4,3558,11196,37232,9852,0,4,2,0,0,0,4,8,8,6,0,6946,916,4,24,4,2974,30730,3754,11310,44958,0,2478,0,0,4738,29454,8,4,10546,21760,29218,38940,4,39108,6422,22360,0,66,44,0,0,584,0,8,820,16396,10,4,20130,442,0,0,4,21460,0,6,0,498,14870,2292,3164,37498,8977,1568,24,5592,18684,1560,72461,14,11849,21,0,16,2,14140,112843,3828,12,0,6962,956,8,0,8,50336,16114,9374,4,190,0,4,32,26,0,64150,0,0,4,4,4,11720,8,10906,
7,0,0,0,0,0,0,2,34,0,0,404,0,32890,4,4928,0,23344,37512,4,3234,17474,0,6904,4,5952,0,380,0,1378,15088,24238,10280,0,18578,4,0,2,59286,0,4,0,4,0,410,4,4,0,0,8,9362,4,6,21794,43872,13279,4940,18436,0,10264,28,0,12,3296,0,4,0,1554,762,0,4,2,12,8,12,4,38512,7494,0,0,3774,0,10,5602,19694,7202,3898,24,4,7646,0,8,4,6362,20536,4,4,17647,0,13552,4832,22450,27660,7752,0,36,2,1420,0,870,0,4,0,8,6,0,4,12,4,1788,0,32690,12526,68724,2154,1152,2000,2,15354,5074,0,0,0,6,4,0,0,8,1474,0,4,52,1198,5972,4078,21238,1086,14820,6590,6,0,26774,4,11968,0,12274,14476,2252,0,23030,8,778,6768,10,8,4,0,0,0,12,422,0,4,2,466,530,8,0,0,0,4,0,40,6,12690,2,4,0,13294,27154,27908,49640,0,29512,151162,27340,0,0,12,0,0,4,256,83840,44074,906,0,8,12984,0,12874,4,2,4,6,0,37770,4,202,4,772,2,4,0,2,4,0,0,2,4,58368,8536,78,7744,45140,8,2,4,14284,6302,23738,27024,13938,0,4,384,32173,0,13282,65934,4,1298,2266,938,2,10,9276,46018,5172,7352,21656,0,0,4,0,4,0,12,154,264,2174,8,4,1020,1150,9960,6026,0,12,7680,10744,13502,18286,6408,22418,12,0,2860,6904,566,18694,206,4,2,6396,76014,0,16356,0,0,4,4,20,0,4,0,4,4,2,0,196,6500,4,756,0,0,386,5226,36670,6654,33140,25640,9278,14396,2032,7590,4,17056,6816,25528,8,4,2938,9266,30750,8170,0,4,0,0,0,0,4,6,6,4,0,5382,772,4,24,4,2304,25464,2904,8784,36606,0,2046,0,0,3614,24498,6,4,8566,17982,24376,32266,4,30226,5362,17312,0,52,32,0,0,444,0,8,664,13084,4,4,16174,352,0,0,4,17092,0,4,0,416,11626,1880,2466,30980,7452,1312,20,4676,15650,1312,60294,12,9818,14,0,16,0,10962,94028,3122,8,0,5396,752,8,0,8,41662,13450,7396,4,164,0,2,31,18,0,50645,0,0,4,4,4,9698,8,9062,
8,0,0,0,0,0,0,0,28,0,0,292,0,25418,4,3714,0,17588,30353,4,2430,13210,0,5662,2,4594,0,288,0,1064,11392,19696,7934,0,14032,4,0,0,45167,0,4,0,4,0,332,4,4,0,0,6,7564,4,4,16646,35600,10674,3958,14951,0,8352,28,0,10,2558,0,4,0,1214,596,0,4,0,8,8,10,4,31086,6122,0,0,2988,0,8,4246,15952,5468,2946,20,2,5742,0,4,4,5034,16576,4,4,13328,0,10946,3646,18180,22318,6252,0,28,0,1140,0,658,0,2,0,8,4,0,2,8,4,1460,0,25130,10194,55478,1754,916,1650,0,12556,4182,0,0,0,4,4,0,0,2,1154,0,4,42,938,4816,3228,17230,908,12044,5364,4,0,20742,4,9036,0,9950,11096,1790,0,18750,8,610,5180,6,6,4,0,0,0,10,322,0,4,0,374,402,4,0,0,0,2,0,30,2,10222,0,2,0,10762,22124,22710,40180,0,23836,122809,22382,0,0,12,0,0,4,194,63510,35488,744,0,8,9754,0,10004,4,0,4,4,0,30296,4,152,4,588,0,4,0,0,4,0,0,0,4,47090,6324,56,6194,34090,8,0,2,11158,4864,18400,20702,10818,0,4,316,24750,0,10636,53194,4,986,1826,756,0,6,7491,37222,4262,5998,17704,0,0,4,0,4,0,8,118,206,1682,6,2,834,904,8094,4552,0,8,6076,8734,10828,14994,4810,18152,10,0,2176,5268,426,14840,178,4,0,5126,58354,0,12930,0,0,4,4,20,0,4,0,4,4,0,0,156,5218,2,622,0,0,298,4094,29514,5442,26680,20726,7516,11630,1638,6008,4,13788,5512,20668,8,4,2372,7504,24792,6606,0,4,0,0,0,0,4,4,4,4,0,4090,642,4,24,4,1762,20462,2150,6686,29138,0,1630,0,0,2702,19773,4,4,6798,14534,19654,25802,4,22864,4406,13104,0,36,26,0,0,328,0,8,516,10172,0,4,12606,280,0,0,4,13258,0,4,0,330,8874,1486,1856,25104,5965,1050,18,3814,12788,1056,49035,12,7986,12,0,16,0,8274,76322,2472,2,0,4042,600,8,0,4,33362,10852,5720,4,124,0,0,26,12,0,39140,0,0,4,4,2,7854,8,7352,
9,0,0,0,0,0,0,0,22,0,0,216,0,19298,2,2768,0,13244,23694,4,1852,9878,0,4482,0,3504,0,210,0,790,8520,15432,5892,0,10492,4,0,0,33968,0,4,0,2,0,266,4,4,0,0,4,5910,4,2,12386,28004,8308,3126,11705,0,6552,28,0,8,1970,0,4,0,942,458,0,2,0,8,4,6,4,24246,4846,0,0,2306,0,8,3184,12494,4132,2198,14,0,4276,0,0,2,3870,12804,4,2,10036,0,8618,2778,14254,17336,4840,0,20,0,904,0,512,0,0,0,8,4,0,0,4,4,1156,0,18970,8026,43646,1408,712,1296,0,9860,3318,0,0,0,4,4,0,0,0,850,0,4,32,738,3882,2522,13646,734,9540,4208,4,0,15640,4,6724,0,7788,8438,1416,0,14476,6,454,3946,2,4,4,0,0,0,8,260,0,4,0,312,304,4,0,0,0,0,0,22,0,7964,0,0,0,8470,17638,17882,31774,0,18722,97499,17875,0,0,10,0,0,4,170,47410,27770,570,0,8,7272,0,7620,4,0,4,4,0,23452,4,108,4,466,0,4,0,0,4,0,0,0,4,36790,4618,40,4758,25662,6,0,0,8492,3646,13912,15758,8190,0,4,240,18728,0,8290,41650,4,762,1390,598,0,4,5774,29110,3370,4754,13986,0,0,4,0,2,0,2,94,166,1264,4,0,664,704,6444,3430,0,8,4676,6710,8346,11804,3602,14204,8,0,1646,4006,316,11438,138,4,0,3940,43882,0,10056,0,0,4,2,16,0,4,0,2,2,0,0,112,4026,0,490,0,0,246,3140,23050,4248,20918,16056,5824,9080,1276,4708,4,10838,4300,16168,4,4,1856,5994,19516,5230,0,2,0,0,0,0,2,2,4,4,0,3116,492,4,22,4,1372,15892,1614,5022,22544,0,1240,0,0,2044,15446,2,2,5256,11386,15066,19810,4,17346,3466,9826,0,22,22,0,0,230,0,8,398,7684,0,4,9550,214,0,0,4,10026,0,4,0,242,6738,1150,1366,19808,4614,828,16,3008,10210,818,38849,10,6334,11,0,16,0,6200,60746,1904,0,0,3024,468,6,0,0,25964,8460,4244,4,86,0,0,24,12,0,29568,0,0,4,2,0,6200,8,5858,
10,0,0,0,0,0,0,0,18,0,0,184,0,14482,0,2054,0,10040,18438,4,1398,7318,0,3538,0,2616,0,160,0,584,6442,11918,4394,0,7868,2,0,0,25524,0,4,0,0,0,208,4,4,0,0,2,4616,4,0,9253,21888,6427,2482,9128,0,5112,22,0,8,1478,0,4,0,730,366,0,0,0,4,0,2,4,18918,3786,0,0,1726,0,8,2398,9634,3126,1654,10,0,3230,0,0,0,2978,9870,4,0,7538,0,6686,2086,11084,13404,3690,0,16,0,698,0,402,0,0,0,6,4,0,0,2,4,934,0,14290,6174,34194,1106,568,986,0,7668,2598,0,0,0,4,4,0,0,0,620,0,4,24,562,3138,1998,10692,576,7502,3302,4,0,11670,4,5046,0,6056,6270,1092,0,11236,4,338,3080,0,4,4,0,0,0,8,198,0,4,0,252,246,4,0,0,0,0,0,18,0,6220,0,0,0,6554,13880,13922,24770,0,14522,76832,14094,0,0,6,0,0,4,148,35336,21674,430,0,4,5362,0,5750,4,0,4,4,0,18128,4,86,4,374,0,2,0,0,4,0,0,0,4,28616,3416,32,3646,19338,4,0,0,6396,2718,10464,12034,6134,0,4,190,14270,0,6370,32780,4,598,1076,486,0,4,4440,22612,2606,3688,10940,0,0,4,0,0,0,0,72,124,982,4,0,526,554,5100,2622,0,8,3528,5116,6504,9164,2722,10998,6,0,1252,2964,258,8826,104,4,0,3076,32924,0,7752,0,0,4,0,12,0,4,0,0,0,0,0,84,3088,0,370,0,0,210,2392,17933,3290,16326,12454,4466,7076,978,3696,4,8500,3326,12590,0,4,1420,4742,15208,4106,0,0,0,0,0,0,0,0,4,4,0,2324,384,4,20,4,1032,12242,1258,3742,17362,0,958,0,0,1576,12004,0,0,4052,8782,11448,15040,4,13112,2708,7330,0,14,18,0,0,170,0,6,306,5774,0,4,7110,166,0,0,4,7554,0,2,0,188,5160,888,1008,15470,3586,676,16,2334,8052,624,30538,8,4920,8,0,12,0,4630,47916,1482,0,0,2272,362,4,0,0,20322,6538,3134,4,56,0,0,22,12,0,22268,0,0,4,0,0,4886,8,4608,
