Step,Seg 16,Seg 25,Seg 33,Seg 35,Seg 140,Seg 141,Seg 147,Seg 149,Seg 153,Seg 164,Seg 165,Seg 166,Seg 176,Seg 181,Seg 186,Seg 187,Seg 190,Seg 191,Seg 192,Seg 196,Seg 198,Seg 200,Seg 201,Seg 203,Seg 204,Seg 205,Seg 209,Seg 216,Seg 217,Seg 220,Seg 223,Seg 234,Seg 235,Seg 240,Seg 244,Seg 248,Seg 254,Seg 255,Seg 256,Seg 257,Seg 262,Seg 264,Seg 287,Seg 288,Seg 291,Seg 292,Seg 303,Seg 304,Seg 308,Seg 310,Seg 314,Seg 315,Seg 316,Seg 317,Seg 318,Seg 319,Seg 320,Seg 321,Seg 415,Seg 417,Seg 432,Seg 435,Seg 437,Seg 455,Seg 458,Seg 460,Seg 463,Seg 465,Seg 466,Seg 469,Seg 470,Seg 471,Seg 472,Seg 474,Seg 475,Seg 476,Seg 481,Seg 483,Seg 488,Seg 491,Seg 492,Seg 497,Seg 500,Seg 505,Seg 510,Seg 514,Seg 515,Seg 517,Seg 518,Seg 519,Seg 520,Seg 524,Seg 527,Seg 531,Seg 532,Seg 538,Seg 539,Seg 540,Seg 541,Seg 550,Seg 552,Seg 556,Seg 559,Seg 563,Seg 565,Seg 568,Seg 585,Seg 586,Seg 589,Seg 594,Seg 599,Seg 610,Seg 613,Seg 628,Seg 632,Seg 640,Seg 641,Seg 642,Seg 643,Seg 644,Seg 645,Seg 646,Seg 647,Seg 648,Seg 715,Seg 720,Seg 726,Seg 727,Seg 768,Seg 769,Seg 788,Seg 791,Seg 798,Seg 799,Seg 802,Seg 805,Seg 814,Seg 815,Seg 816,Seg 817,Seg 818,Seg 819,Seg 820,Seg 822,Seg 825,Seg 827,Seg 831,Seg 836,Seg 839,Seg 840,Seg 845,Seg 846,Seg 851,Seg 852,Seg 854,Seg 855,Seg 859,Seg 860,Seg 861,Seg 865,Seg 874,Seg 887,Seg 889,Seg 899,Seg 906,Seg 920,Seg 926,Seg 929,Seg 949,Seg 950,Seg 954,Seg 973,Seg 977,Seg 978,Seg 986,Seg 989,Seg 990,Seg 991,Seg 992,Seg 993,Seg 994,Seg 995,Seg 996,Seg 997,Seg 998,Seg 999,Seg 1000,Seg 1001,Seg 1064,Seg 1102,Seg 1105,Seg 1107,Seg 1114,Seg 1118,Seg 1123,Seg 1134,Seg 1162,Seg 1163,Seg 1164,Seg 1165,Seg 1168,Seg 1181,Seg 1185,Seg 1186,Seg 1192,Seg 1194,Seg 1195,Seg 1200,Seg 1203,Seg 1204,Seg 1205,Seg 1211,Seg 1224,Seg 1225,Seg 1230,Seg 1234,Seg 1235,Seg 1236,Seg 1242,Seg 1245,Seg 1251,Seg 1252,Seg 1257,Seg 1261,Seg 1264,Seg 1281,Seg 1286,Seg 1288,Seg 1289,Seg 1290,Seg 1296,Seg 1300,Seg 1308,Seg 1310,Seg 1313,Seg 1317,Seg 1323,Seg 1325,Seg 1328,Seg 1329,Seg 1330,Seg 1331,Seg 1332,Seg 1333,Seg 1334,Seg 1335,Seg 1336,Seg 1337,Seg 1338,Seg 1339,Seg 1340,Seg 1341,Seg 1424,Seg 1456,Seg 1457,Seg 1462,Seg 1464,Seg 1467,Seg 1472,Seg 1477,Seg 1488,Seg 1489,Seg 1491,Seg 1492,Seg 1493,Seg 1499,Seg 1502,Seg 1503,Seg 1504,Seg 1506,Seg 1508,Seg 1509,Seg 1510,Seg 1511,Seg 1513,Seg 1514,Seg 1517,Seg 1519,Seg 1522,Seg 1525,Seg 1531,Seg 1533,Seg 1534,Seg 1537,Seg 1540,Seg 1541,Seg 1544,Seg 1546,Seg 1552,Seg 1559,Seg 1562,Seg 1567,Seg 1568,Seg 1570,Seg 1575,Seg 1580,Seg 1582,Seg 1590,Seg 1624,Seg 1625,Seg 1626,Seg 1628,Seg 1635,Seg 1640,Seg 1648,Seg 1649,Seg 1651,Seg 1653,Seg 1659,Seg 1660,Seg 1661,Seg 1662,Seg 1663,Seg 1664,Seg 1665,Seg 1666,Seg 1667,Seg 1668,Seg 1669,Seg 1670,Seg 1671,Seg 1672,Seg 1673,Seg 1674,Seg 1675,Seg 1676,Seg 1677,Seg 1758,Seg 1762,Seg 1793,Seg 1797,Seg 1819,Seg 1826,Seg 1829,Seg 1830,Seg 1835,Seg 1838,Seg 1839,Seg 1840,Seg 1841,Seg 1846,Seg 1854,Seg 1855,Seg 1859,Seg 1863,Seg 1866,Seg 1867,Seg 1868,Seg 1872,Seg 1875,Seg 1876,Seg 1877,Seg 1879,Seg 1880,Seg 1881,Seg 1882,Seg 1885,Seg 1888,Seg 1889,Seg 1891,Seg 1895,Seg 1902,Seg 1905,Seg 1911,Seg 1918,Seg 1922,Seg 1925,Seg 1942,Seg 1948,Seg 1977,Seg 1978,Seg 1979,Seg 1983,Seg 1988,Seg 1991,Seg 1994,Seg 2006,Seg 2010,Seg 2013,Seg 2015,Seg 2018,Seg 2019,Seg 2021,Seg 2022,Seg 2023,Seg 2024,Seg 2025,Seg 2026,Seg 2027,Seg 2028,Seg 2029,Seg 2030,Seg 2031,Seg 2032,Seg 2033,Seg 2102,Seg 2107,Seg 2120,Seg 2121,Seg 2122,Seg 2125,Seg 2126,Seg 2129,Seg 2131,Seg 2132,Seg 2134,Seg 2138,Seg 2139,Seg 2140,Seg 2142,Seg 2149,Seg 2153,Seg 2158,Seg 2160,Seg 2166,Seg 2174,Seg 2185,Seg 2187,Seg 2193,Seg 2204,Seg 2212,Seg 2214,Seg 2215,Seg 2216,
1,0,0,0,0,0,0,0,48,0,6,4,0,88540,4,4248,18,31451,51889,10,11249,45855,9802,10,19239,0,2131,20,29776,32339,8691,14,28934,0,0,0,0,174448,728,0,4,0,8,0,0,0,0,6,6006,8,0,47280,80350,13901,12083,51650,4,10547,22,0,0,0,0,0,5526,2065,0,12,0,0,6,8,8,46402,7093,0,0,0,3657,12,19095,24149,21502,6470,12,16,17678,12,0,0,11846,18017,0,76187,0,15882,12784,21476,59215,5334,36,0,0,16,0,0,4,2,12,2,0,0,0,0,0,0,60227,28640,103927,4,16,4,12,9949,23587,0,0,0,0,0,0,0,0,3206,0,0,0,5111,14425,9007,56475,10,28957,18980,12,0,65401,0,47624,4,21125,55513,1586,18,41941,30,18,10795,4,20,0,20,0,0,4,16,0,14,32,14,0,12,0,0,0,0,12,47503,18,26,6,34286,27069,33947,73156,8,35795,227147,47750,0,0,0,0,0,0,0,0,216250,67142,20,1046,13,36718,29551,16,0,12,20,28550,8,26,8,0,0,0,10,0,0,0,0,0,0,102103,15091,20,17934,125313,0,16,0,10,27242,29004,48085,57623,54626,0,708,66896,0,18683,85681,8,12,2170,4,26,8,8259,59570,12912,18934,17544,0,0,0,0,0,0,2031,0,14680,0,0,16,3848,10083,0,10,8,0,16066,12856,28656,16978,24811,15015,10,18,8705,15099,0,37491,20,0,20,16141,0,197874,44274,0,0,0,0,0,0,0,0,10,0,730,16,728,10395,12,6,0,0,685,7366,65466,11282,42560,51815,5655,10585,4899,12714,14,20398,17304,32645,8,10,3870,9447,13040,15961,0,0,0,0,0,58,0,0,0,2135,2887,4,12,0,14261,25581,6463,15867,55810,0,6,20,3615,36786,8,19146,32995,47614,46085,0,89970,14338,17820,0,0,32,0,0,0,0,0,10,36586,8,2,19723,0,0,0,42824,0,0,0,27552,10,4257,34749,25694,4348,16,0,8993,37969,42,94023,12,14402,8,0,0,26380,116683,21234,0,0,10801,4,18,0,10,67044,20441,6542,8,0,0,14,0,10,16,4,122013,0,0,3845,6,24196,
2,0,0,0,0,0,0,242,40,4,22,4,0,100630,24,6708,18,37163,64978,8,13525,49737,13632,30,20870,12,2460,1118,32576,37652,9556,10,31880,0,0,0,0,193489,862,0,0,0,6,0,4,0,0,16,7062,32,0,55278,95336,17982,15731,62080,4,13955,94,0,0,4207,0,0,6196,2264,0,15,0,0,2,8,12,54548,8354,0,0,0,5172,4,21276,28114,29018,7102,32,16,19068,16,0,4,13486,20962,0,84971,0,18576,13700,25172,69338,6236,4,4,12,22,0,0,0,0,12,4,0,0,0,0,8,0,67072,34860,123372,8,23,4,12,11828,27914,0,0,0,0,12,0,0,0,3582,0,8,0,5802,19134,10601,67570,66,34182,22606,18,0,73652,0,53605,4,26214,63203,2131,21,51113,8,34,11838,4,16,0,18,4,0,36,0,0,8,258,26,4,10,8,0,0,54,6,55900,12,1146,4,41876,32212,40361,88282,12,42452,271288,56598,0,0,0,2,0,8,1433,0,239231,80067,18,1228,1395,41213,34222,14,0,1632,14,49067,6,3680,40,12,0,0,18,0,0,0,0,0,6,121300,16278,843,20648,145121,0,28,0,44,33187,42525,53298,63232,61460,0,824,79464,0,21462,103199,8,52,2572,26,40,16,9734,70721,15350,22406,25289,0,0,0,8,0,12,2216,0,16616,0,1190,24,4592,11010,0,32,8,0,18028,15066,33728,21675,26926,21088,8,16,9578,16616,1126,45953,18,0,20,18932,4,223337,50654,0,0,0,4,18,0,0,0,8,0,858,16,860,11880,22,1601,0,0,772,8160,84386,13348,52392,60716,6628,14035,5794,14740,12,24057,20244,38818,16,6,4580,11224,15442,18936,0,0,0,2,0,14,0,0,0,2390,3420,40,8,0,15460,42361,7056,17520,64472,0,16,16,3988,43261,8,21858,38324,57609,57464,0,98966,21658,19302,0,8,44,0,0,0,8,6,2298,41951,20,0,25361,6,0,0,48012,0,0,0,30366,70,4955,40504,30292,5154,1277,0,10458,46462,38,113221,10,17070,16,0,0,29784,143740,25056,0,0,11762,1540,0,0,2184,78694,23988,7348,1016,0,0,12,2,3018,28,0,135478,0,8,5665,1590,30334,
3,0,0,0,4,8,4,270,1949,0,8,8,0,84125,8,6046,8,32539,60819,16,11488,40006,12480,4,16938,8,2228,1296,26238,33330,7912,8,25946,0,0,0,0,160501,772,0,6,0,4,0,0,0,0,4,6338,12,0,48038,85138,16428,14478,55553,8,12936,44,0,0,4846,0,0,5302,1966,0,23,8,0,0,8,6,48554,7318,0,0,0,4624,4,17444,24574,24924,5766,16,16,15424,8,16,0,11460,18548,0,69510,0,16058,10882,22404,61584,5572,16,540,28,22,0,0,4,4,10,0,2,0,0,4,8,8,55496,32539,110592,4,16,4,12,10584,24940,0,0,0,0,0,0,4,0,3016,0,6,0,4704,17382,9382,59250,1206,31708,20360,8,0,61194,110,44140,12,25228,56799,2129,14,46420,4,10,9484,4,14,0,14,12,0,1535,0,0,6,321,20,10,4,4,0,4,74,2,51361,12,1378,8,37484,29980,36112,79265,4,37897,250367,51957,0,0,4,4,6,0,1674,0,195035,72519,40,1094,1548,36071,29056,10,0,1937,8,54522,8,4443,16,4,0,0,20,4,0,0,0,0,4,107963,12880,984,17990,121656,4,28,0,6,29018,38186,43920,51436,51666,0,714,66859,0,18314,93754,8,50,2274,24,20,12,8682,63184,13798,20016,24048,4,0,0,0,4,16,1826,10,14214,0,1436,16,4098,8952,2,1603,8,0,15198,13438,30178,20024,21712,19895,14,14,7756,13692,1268,41733,32,8,16,16852,0,186267,42884,0,0,4,0,36,0,0,0,12,4,736,24,732,11321,8,1866,0,0,660,6590,78877,11964,48790,53900,5828,12902,5132,12686,14,21326,18018,36326,4,4,4580,9976,14939,16880,0,0,8,0,0,12,4,0,0,1896,2960,12,4,0,12432,43911,5784,14546,56481,0,20,34,3272,40286,12,19788,33864,53593,53187,4,81661,22451,15518,0,8,60,0,0,0,703,0,2688,35000,8,0,22202,0,0,0,40196,0,0,4,24560,12,4096,35122,27050,4588,2503,0,9256,43176,50,101966,8,15206,12,0,0,24242,131448,22360,4,0,9500,1772,4,8,2428,71170,21442,6108,1138,0,0,8,0,4979,70,4,112755,0,4,5282,1934,27624,
4,0,0,0,4,4,4,224,2254,4,8,0,0,70511,8,4928,16,28277,55670,14,9540,32832,10830,0,13876,20,1984,1160,21546,30120,6684,8,21180,0,0,4,0,133564,698,0,4,4,4,4,0,4,0,12,5738,4,0,41822,76456,15912,13105,51708,8,11660,50,0,4,4150,0,0,4735,1648,0,24,12,0,0,12,0,43904,6444,0,0,0,3792,4,14570,21742,20308,4715,42,14,12688,12,18,4,9821,16796,8,58228,0,13940,8839,20274,55758,5082,14,622,36,12,6,0,4,0,8,8,0,0,0,4,115,0,49330,29728,101238,16,32,12,10,9544,22616,0,0,0,0,0,6,4,6,2584,0,0,0,3782,15381,8466,54435,1520,29020,18408,8,0,51308,132,36887,4,24401,47802,1994,14,42369,22,4,7766,4,10,0,10,2,0,1778,0,6,4,272,28,12,16,0,4,0,76,0,48111,12,1210,4,33872,27396,32672,71601,12,34176,235121,47295,0,0,4,8,4,0,1462,0,160067,66926,1203,962,1274,31323,24767,6,0,1728,12,51128,4,4002,28,0,0,2,4,10,0,0,0,0,0,94526,10398,846,15940,101059,8,14,0,4,25356,31873,36693,42170,44304,0,642,55881,0,17407,84632,2,50,2068,8,24,16,7798,57016,12522,18066,21772,0,8,8,0,4,20,1524,4,12410,4,1310,22,3658,7362,12,1898,8,0,12948,12250,27362,18315,18919,18066,1148,16,6412,11425,1072,36804,14,8,12,15306,0,157325,39332,4,0,4,0,10,0,0,4,20,2,640,26,648,10254,4,1660,0,0,580,5380,71866,10892,44502,48686,5250,14343,4656,10944,8,19252,16362,33276,4,4,4318,9044,13814,15224,0,0,8,0,0,8,4,4,0,1578,2636,4,8,0,10190,40348,4848,12248,49580,0,28,20,2720,37202,1190,17492,30692,49106,48596,4,68852,21045,13804,0,4,74,0,0,0,786,0,2346,29462,10,0,18996,0,0,0,34486,0,0,8,20216,8,3350,30672,24254,4119,3687,0,8228,40542,36,94985,8,13806,12,0,0,19798,120591,20272,8,0,7814,1504,4,4,2020,64692,19498,5152,982,0,0,4,0,4768,60,0,95319,0,8,5788,1770,24892,
5,0,0,0,4,2,4,180,1884,2,16,8,0,58416,8,3940,8,23472,49756,4,7811,26624,9298,0,11258,12,1742,998,17642,26806,5658,8,17276,0,0,2,0,110039,604,4,0,4,4,10,0,7,0,8,5138,4,0,35224,67660,14504,11594,46305,8,10372,42,0,4,3574,0,0,4072,1394,0,22,14,20,0,8,4,39054,5580,0,0,0,3048,8,12090,19024,16346,3854,32,8,10346,8,14,4,8376,15042,3,47456,0,11968,7018,18118,49678,4518,8,502,20,14,6,0,4,0,16,8,0,0,0,4,136,0,41786,26316,90734,16,20,16,8,8498,20268,0,0,0,0,0,4,4,4,2126,0,0,0,3028,13490,7608,47914,1322,25860,16400,12,0,42642,96,30770,4,22052,38572,1778,12,38106,18,0,6318,0,8,0,8,0,0,1528,0,4,4,234,33,12,12,0,4,0,80,14,43204,12,1070,4,30202,24390,29194,64356,4,30502,212539,42358,0,0,4,8,4,0,1266,0,129875,60012,1472,852,1048,25696,20864,4,0,1510,8,45424,4,3622,14,0,4,0,8,8,0,0,0,4,0,81442,8448,736,13904,83236,8,16,0,6,21746,26476,30516,34656,37878,4,582,46332,0,15388,74940,0,30,1858,16,20,12,6988,50848,11228,16006,19262,0,8,8,0,4,26,1228,0,10508,12,1144,12,3241,5982,6,1601,8,0,10868,10885,24382,16478,15870,16186,1372,20,5310,9478,882,31470,12,10,14,13578,0,130405,33970,2,0,10,0,20,0,0,4,2,0,554,16,552,8944,4,1458,4,0,502,4368,64007,9728,39616,43340,4714,13584,4142,9328,6,17136,14552,29598,4,2,3882,7980,12206,13498,0,0,8,0,0,8,4,8,0,1292,2342,8,12,0,8284,35722,4032,10096,42440,0,14,20,2230,33034,1440,15054,27422,43664,43330,2,56928,18904,11464,0,4,66,4,0,0,658,2,2028,24416,12,4,16104,0,0,0,29206,0,0,8,16532,12,2750,26600,21518,3670,3508,0,7196,36326,36,86073,10,12424,8,20,0,15886,107644,18088,8,0,6360,1272,4,0,1654,57550,17348,4322,844,0,0,8,0,4068,48,4,79310,0,8,5388,1588,22288,
6,0,0,0,4,0,4,142,1504,0,8,16,0,47124,14,3016,8,18706,42874,4,6234,21212,7730,0,9026,8,1454,822,14036,23012,4582,4,13822,0,0,0,0,87848,498,4,0,2,4,8,0,4,0,4,4394,4,0,28308,57748,12582,9850,39726,8,8886,56,0,4,2964,0,0,3406,1118,0,18,10,18,0,8,4,33286,4726,0,0,0,2336,8,9714,16195,12748,3092,44,2,8228,6,6,4,7002,12929,0,37480,0,9994,5438,15610,42516,3862,24,386,24,8,4,0,4,0,6,4,0,0,16,4,122,0,33560,22504,77652,6,12,16,8,7286,17424,0,0,0,0,0,4,2,4,1718,0,0,58,2340,11424,6587,40366,1078,22176,13932,8,0,34520,68,24872,4,18832,30264,1516,8,32834,16,0,4918,0,8,0,4,0,16,1280,0,4,2,198,24,10,8,0,2,0,61,8,37072,10,914,4,25876,20684,25012,55672,4,26222,182959,36706,0,0,4,8,4,0,1052,0,102648,51314,1248,746,818,20218,17140,4,0,1288,6,39006,4,3126,6,0,4,0,4,8,0,0,0,4,0,68496,6708,618,11660,66989,8,16,0,4,18134,21366,24640,27844,31300,4,504,37240,0,12796,64310,0,34,1566,8,20,12,5984,43588,9680,13566,16440,0,8,8,0,4,24,970,0,8524,10,994,14,2732,4778,4,1330,8,0,8932,9344,20876,14296,12608,13934,1190,8,4304,7718,698,25984,214,8,10,11572,0,104447,28062,0,0,8,0,18,0,16,4,0,0,468,6,456,7494,4,1238,4,0,426,3432,54714,8270,33824,37192,4128,11762,3572,7666,4,14616,12400,25338,2,0,3334,6741,10448,11562,0,0,8,0,0,6,4,8,0,1052,2002,4,12,6,6564,30638,3264,8044,35128,0,28,8,1760,28186,1248,12614,23510,37212,36958,0,45468,16235,9044,0,4,48,2,0,0,546,0,1716,19902,8,4,13224,0,0,0,23864,2,0,6,13269,6,2206,22342,18609,3172,2872,0,6080,31096,16,74144,4,10714,12,16,0,12614,92278,15544,8,0,5036,1054,8,0,1318,49158,14902,3498,694,0,0,4,0,3344,46,2,63808,0,6,4514,1388,19282,
7,0,0,0,2,0,4,106,1186,0,6,16,0,36868,12,2294,8,14506,35684,4,4914,16552,6362,0,7054,8,1179,686,10882,19124,3612,0,10750,0,0,0,0,68614,404,4,0,0,4,7,0,4,0,4,3620,4,0,22224,47922,10519,8120,33054,6,7342,50,0,4,2336,0,0,2832,816,0,14,8,14,0,8,4,27558,3904,0,0,0,1792,8,7578,13418,9778,2408,40,0,6348,4,2,4,5578,10716,0,28888,0,8100,4122,13018,35284,3202,18,296,20,6,4,0,4,0,4,4,0,0,14,4,96,0,26384,18602,64647,4,8,16,8,6042,14444,0,0,0,0,0,4,0,4,1366,0,0,44,1804,9470,5536,33432,880,18484,11440,8,0,27218,56,19368,4,15606,23376,1274,8,27478,12,0,3792,0,8,0,0,0,14,1008,0,2,0,172,24,6,6,0,0,0,46,6,30876,8,778,4,21488,17042,20746,46312,4,21774,152284,30662,0,0,4,8,2,0,850,0,79199,42534,1040,632,616,15453,13670,4,0,1044,4,32306,4,2576,4,0,2,0,4,8,0,0,0,4,0,56596,5142,504,9436,51778,8,14,0,4,14832,16820,19392,21824,25144,4,416,29312,0,10442,53513,0,30,1258,8,18,10,4982,36100,8146,11186,13676,0,8,8,0,2,20,748,0,6748,8,830,10,2226,3726,4,1112,8,0,7184,7794,17442,12030,9686,11632,1012,2,3344,6028,548,21076,183,8,6,9626,0,81398,22880,0,0,8,0,16,0,10,4,0,0,392,4,370,6084,4,1036,4,0,338,2678,45508,6832,28160,30874,3398,9826,2994,6146,4,12110,10262,21068,0,0,2808,5578,8620,9634,0,0,8,0,0,4,4,8,0,834,1648,4,10,2,5136,25726,2560,6176,28680,0,26,6,1374,23400,1044,10298,19616,30742,30568,0,35344,13550,6954,0,4,38,0,0,0,424,0,1378,15974,8,4,10498,0,0,0,19070,0,0,4,10414,4,1686,18406,15477,2606,2374,0,4972,25888,12,61494,4,8845,8,10,0,9778,76969,12916,8,0,3976,852,8,0,1054,40654,12488,2696,584,0,0,4,0,2660,38,0,50000,0,2,3764,1178,16120,
8,0,0,0,0,0,4,76,950,0,2,16,0,28368,12,1754,8,10944,28716,4,3704,12648,5132,0,5362,8,932,560,8262,15418,2804,0,8206,0,0,0,0,52620,328,4,0,0,4,4,0,2,0,4,2910,4,0,17132,38622,8534,6590,26691,4,5912,42,0,4,1818,0,0,2248,594,0,10,8,12,0,8,4,22200,3128,0,0,0,1412,6,5774,10848,7426,1798,30,0,4762,4,0,2,4346,8604,0,21806,0,6450,3048,10584,28502,2552,12,222,14,2,4,0,2,0,4,4,0,0,12,4,66,0,20370,14906,52632,4,6,12,8,4858,11752,0,0,0,0,0,4,0,4,1080,0,0,32,1394,7622,4544,27070,724,15036,9314,6,0,21104,48,14808,4,12520,17788,1040,6,22194,10,0,2874,0,8,0,0,0,11,772,0,0,0,146,22,4,4,0,0,0,37,4,24805,8,624,2,17368,13766,16890,37462,4,17634,123583,24911,0,0,4,6,0,0,696,0,59952,34398,852,528,462,11618,10640,4,0,824,4,25876,4,2092,4,0,0,0,4,8,0,0,0,2,0,45766,3852,386,7520,38710,8,12,0,4,11600,13006,15056,16676,19522,4,320,22664,0,8404,43210,0,26,996,6,16,8,3980,29066,6742,9032,11038,0,6,6,0,0,16,546,0,5156,6,664,8,1802,2876,4,906,8,0,5626,6264,14208,9740,7322,9376,852,0,2516,4531,436,16776,151,8,4,7798,0,62094,18132,0,0,8,0,16,0,8,4,0,0,324,2,308,4754,2,834,4,0,264,2074,36688,5498,22548,24880,2728,7894,2456,4908,4,9790,8312,16992,0,0,2292,4492,6918,7826,0,0,8,0,0,4,4,8,0,614,1316,4,8,0,3944,20864,1960,4614,23040,0,24,4,1054,18824,870,8180,15960,24670,24530,0,26744,10983,5244,0,4,30,0,0,0,320,0,1050,12442,6,4,8138,0,0,0,14730,0,0,2,8002,4,1238,14790,12615,2030,1924,0,4022,20896,12,49794,2,7174,8,8,0,7336,62664,10360,6,0,3088,636,8,0,812,32672,10112,2026,476,0,0,4,0,2052,32,0,38540,0,0,3074,946,13102,
9,0,0,0,0,0,4,60,732,0,0,14,0,21648,12,1318,8,8162,22380,4,2788,9568,3980,0,4040,6,716,436,6266,12046,2178,0,6238,0,0,0,0,39690,256,2,0,0,4,2,0,0,0,4,2294,2,0,12964,30114,6666,5204,20883,2,4602,36,0,2,1404,0,0,1732,432,0,4,8,8,0,8,4,17290,2474,0,0,0,1094,4,4336,8476,5590,1360,24,0,3542,2,0,0,3332,6656,0,16338,0,5028,2238,8392,22356,1950,12,164,10,0,4,0,0,0,4,4,0,0,10,4,48,0,15400,11668,41642,4,4,6,4,3774,9308,0,0,0,0,0,4,0,2,836,0,0,24,1060,5984,3622,21498,566,11894,7364,4,0,15960,36,11330,4,9742,13494,806,4,17352,6,0,2178,0,6,0,0,0,8,582,0,0,0,124,16,2,3,0,0,0,26,4,19226,8,462,0,13564,10898,13328,29618,4,14098,97720,19540,0,0,4,2,0,0,554,0,44878,26986,656,436,360,8624,8142,4,0,656,4,20036,4,1648,4,0,0,0,4,6,0,0,0,0,0,36042,2876,262,5868,28904,8,10,0,2,8778,9846,11440,12572,14720,2,234,17072,0,6610,33566,0,20,784,4,14,8,3108,22762,5308,7116,8636,0,4,4,0,0,12,394,0,3892,4,538,6,1430,2198,4,694,8,0,4332,4850,11116,7578,5522,7296,682,0,1864,3386,342,12996,118,6,4,6068,0,46670,13964,0,0,8,0,10,0,4,4,0,0,266,0,244,3574,0,650,4,0,202,1568,28548,4278,17368,19500,2140,6228,1920,3882,4,7770,6576,13335,0,0,1776,3488,5406,6192,0,0,8,0,0,4,4,8,0,444,1054,2,8,0,2976,16342,1518,3390,17974,0,24,4,764,14672,714,6352,12526,19152,19056,0,19996,8616,3898,0,2,18,0,0,0,244,0,820,9420,4,4,6152,0,0,0,11110,0,0,0,6130,2,918,11580,9851,1548,1518,0,3146,16438,12,39424,0,5684,6,8,0,5352,49566,8088,4,0,2298,454,8,0,596,25476,7864,1500,362,0,0,4,0,1576,24,0,29146,0,0,2404,736,10294,
10,0,0,0,0,0,2,52,564,0,0,12,0,16292,10,972,8,6136,17430,4,2150,7176,3072,0,3098,4,542,330,4724,9376,1632,0,4634,0,0,0,0,29724,196,0,0,0,4,0,0,0,0,4,1808,0,0,9800,23496,5184,4136,16200,0,3576,34,0,0,1072,0,0,1344,316,0,0,6,4,0,6,4,13426,1954,0,0,0,852,2,3200,6500,4250,1042,22,0,2654,0,0,0,2548,5144,0,12146,0,3926,1652,6528,17472,1492,12,120,8,0,2,0,0,0,4,2,0,0,8,2,36,0,11754,9192,32544,4,4,4,0,2876,7174,0,0,0,0,0,4,0,0,636,0,0,16,810,4738,2872,16882,462,9304,5764,4,0,11969,24,8676,2,7596,10078,626,2,13572,4,0,1676,0,4,0,0,0,6,440,0,0,0,106,10,0,0,0,0,0,14,4,14942,8,348,0,10510,8574,10484,23422,4,11138,76512,15270,0,0,4,0,0,0,418,0,33634,21096,468,348,280,6368,6194,2,0,532,4,15480,2,1278,4,0,0,0,4,4,0,0,0,0,0,28278,2152,184,4486,21596,8,6,0,0,6686,7392,8530,9584,11162,0,188,12886,0,5088,25934,0,10,622,4,8,6,2476,17646,4050,5496,6696,0,4,4,0,0,6,302,0,2918,4,418,4,1118,1674,4,534,8,0,3338,3794,8708,5884,4196,5720,552,0,1396,2574,252,9970,90,4,4,4710,0,35006,10628,0,0,8,0,4,0,0,4,0,0,212,0,186,2692,0,530,4,0,148,1174,22142,3356,13418,15283,1694,4796,1486,3084,4,6148,5146,10388,0,0,1378,2738,4252,4874,0,0,8,0,0,2,4,8,0,362,850,0,8,0,2222,12700,1174,2502,13876,0,20,4,534,11468,570,4958,9668,14808,14628,0,14896,6748,2920,0,0,12,0,0,0,192,0,670,7128,4,4,4580,0,0,0,8512,0,0,0,4719,0,682,9120,7572,1196,1210,0,2456,12856,10,30884,0,4472,4,6,0,3942,38862,6278,4,0,1690,330,8,0,428,19844,6112,1080,272,0,0,4,0,1212,14,0,22016,0,0,1888,594,7980,
