"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      15773,          0,      15773,   1.000000,            15773,                0,                0,                0,                0,                0
    1,      1,    5322553,          0,    5322553,  337.447083,          5312096,                0,              407,                0,                0,            10050
    1,      2,    5210410,          0,    5210410,   0.978931,          5200409,                0,              156,                0,                0,             9845
    1,      3,    4865276,          0,    4865276,   0.933761,          4855660,                0,              207,                0,                0,             9409
    1,      4,    4198558,          0,    4198558,   0.862964,          4189290,                0,             1116,                0,                0,             8152
    1,      5,     651239,          0,     651239,   0.155110,           642389,                0,             8196,                0,                0,              654
    1,      6,     126658,          0,     126658,   0.194488,           118314,                0,             8344,                0,                0,                0
    1,      7,      78260,          0,      78260,   0.617884,            70481,                0,             7779,                0,                0,                0
    1,      8,      74135,          0,      74135,   0.947291,            66995,                0,             7140,                0,                0,                0
    1,      9,      73288,          0,      73288,   0.988575,            66685,                0,             6603,                0,                0,                0
    1,     10,      72493,          0,      72493,   0.989152,            66369,                0,             6124,                0,                0,                0
    1,     11,      71794,          0,      71794,   0.990358,            66123,                0,             4984,                0,                0,              687
    1,     12,      69937,          0,      69937,   0.974134,            64607,                0,             1939,                0,                0,             3391
    1,     13,    2502866,          0,    2502866,  35.787437,          2497807,                0,              400,                0,                0,             4659
    1,     14,    2453855,          0,    2453855,   0.980418,          2449032,                0,              162,                0,                0,             4661
    1,     15,    2293993,          0,    2293993,   0.934853,          2289363,                0,              187,                0,                0,             4443
    1,     16,    1845396,          0,    1845396,   0.804447,          1840967,                0,              839,                0,                0,             3590
    1,     17,     201350,          0,     201350,   0.109109,           197141,                0,             4209,                0,                0,                0
    1,     18,      98985,          0,      98985,   0.491607,            95028,                0,             3957,                0,                0,                0
    1,     19,      78893,          0,      78893,   0.797020,            75242,                0,             3651,                0,                0,                0
    1,     20,      75141,          0,      75141,   0.952442,            71759,                0,             3382,                0,                0,                0
    1,     21,      71435,          0,      71435,   0.950679,            68330,                0,             3105,                0,                0,                0
    1,     22,      68167,          0,      68167,   0.954252,            65298,                0,             2869,                0,                0,                0
    1,     23,      65381,          0,      65381,   0.959130,            62729,                0,             2652,                0,                0,                0
    1,     24,      62005,          0,      62005,   0.948364,            59510,                0,              978,                0,                0,             1517
    1,     25,    1126999,          0,    1126999,  18.175938,          1124631,                0,              275,                0,                0,             2093
    1,     26,    1107436,          0,    1107436,   0.982642,          1105210,                0,               88,                0,                0,             2138
    1,     27,    1046537,          0,    1046537,   0.945009,          1044443,                0,               96,                0,                0,             1998
    1,     28,     833647,          0,     833647,   0.796577,           831704,                0,              416,                0,                0,             1527
    1,     29,     178847,          0,     178847,   0.214536,           177025,                0,             1689,                0,                0,              133
    1,     30,      71157,          0,      71157,   0.397865,            69496,                0,             1661,                0,                0,                0
    1,     31,      58144,          0,      58144,   0.817123,            56623,                0,             1521,                0,                0,                0
    1,     32,      54140,          0,      54140,   0.931136,            52766,                0,             1374,                0,                0,                0
    1,     33,      51042,          0,      51042,   0.942778,            49809,                0,             1233,                0,                0,                0
    1,     34,      48231,          0,      48231,   0.944928,            47135,                0,             1096,                0,                0,                0
    1,     35,      45805,          0,      45805,   0.949700,            44809,                0,              996,                0,                0,                0
    1,     36,      43602,          0,      43602,   0.951905,            42693,                0,              463,                0,                0,              446
    1,     37,     909247,          0,     909247,  20.853333,           903394,                0,              417,                0,                0,             5436
    1,     38,     921098,          0,     921098,   1.013034,           910924,                0,              202,                0,                0,             9972
    1,     39,     856713,          0,     856713,   0.930100,           842919,                0,              988,                0,                0,            12806
