"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17"
    3,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,                0,                0,                0,             2658,                0,             2596,                0,             2662,                0,             2617,                0,             2625,                0,             2615,                0
    3,     11,      71811,          0,      71811,   4.552780,                0,                0,                0,                0,             1319,            63574,              264,                0,             1358,                0,             1290,                0,             1323,                0,             1343,                0,             1340,                0
    3,     23,      63429,          0,      63429,   0.883277,                0,                0,                0,                0,              775,            25271,            34780,                0,              140,                0,              649,                0,              596,                0,              629,                0,              589,                0
    3,     35,      44826,          0,      44826,   0.706711,                0,                0,                0,                0,              209,            12159,            13889,                0,            17577,                0,               64,                0,              302,                0,              309,                0,              317,                0
    3,     47,      32168,          0,      32168,   0.717619,                0,                0,                0,                0,              323,             9406,             6653,                0,             6994,                0,             8479,                0,               24,                0,              135,                0,              154,                0
    3,     59,      34078,          0,      34078,   1.059376,                0,                0,                0,                0,              632,            17398,             5290,                0,             3304,                0,             3380,                0,             3993,                0,               12,                0,               69,                0
    3,     71,      41992,          0,      41992,   1.232232,                0,                0,                0,                0,              528,            23994,             9638,                0,             2709,                0,             1603,                0,             1669,                0,             1845,                0,                6,                0
    3,     83,      46394,          0,      46394,   1.104830,                0,                0,                0,                0,              415,            24174,            13219,                0,             4867,                0,             1299,                0,              790,                0,              797,                0,              833,                0
    3,     95,      40283,          0,      40283,   0.868280,                0,                0,                0,                0,              498,            15961,            13400,                0,             6719,                0,             2320,                0,              636,                0,              361,                0,              388,                0
    3,    107,      33022,          0,      33022,   0.819750,                0,                0,                0,                0,              204,            12537,             8847,                0,             6695,                0,             3164,                0,             1102,                0,              285,                0,              188,                0
    3,    119,      32343,          0,      32343,   0.979438,                0,                0,                0,                0,              262,            15406,             6889,                0,             4367,                0,             3219,                0,             1519,                0,              533,                0,              148,                0
    3,    131,      35151,          0,      35151,   1.086819,                0,                0,                0,                0,              624,            17771,             8649,                0,             3527,                0,             2119,                0,             1517,                0,              711,                0,              233,                0
    3,    143,      34749,          0,      34749,   0.988564,                0,                0,                0,                0,              351,            16866,             9633,                0,             4259,                0,             1637,                0,             1003,                0,              687,                0,              313,                0
    3,    155,      31328,          0,      31328,   0.901551,                0,                0,                0,                0,              365,            13288,             9328,                0,             4755,                0,             2026,                0,              800,                0,              479,                0,              287,                0
    3,    167,      29314,          0,      29314,   0.935712,                0,                0,                0,                0,              212,            13085,             7458,                0,             4676,                0,             2276,                0,              980,                0,              382,                0,              245,                0
    3,    179,      28742,          0,      28742,   0.980487,                0,                0,                0,                0,              189,            13384,             7248,                0,             3876,                0,             2262,                0,             1128,                0,              457,                0,              198,                0
    3,    191,      30265,          0,      30265,   1.052989,                0,                0,                0,                0,              236,            14952,             7577,                0,             3715,                0,             1947,                0,             1090,                0,              538,                0,              210,                0
    3,    203,      31575,          0,      31575,   1.043284,                0,                0,                0,                0,              607,            14966,             8549,                0,             3843,                0,             1822,                0,              980,                0,              552,                0,              256,                0
    3,    215,      31006,          0,      31006,   0.981979,                0,                0,                0,                0,              202,            14962,             8121,                0,             4247,                0,             1842,                0,              873,                0,              482,                0,              277,                0
    3,    227,      29518,          0,      29518,   0.952009,                0,                0,                0,                0,              250,            13181,             8306,                0,             4155,                0,             2066,                0,              925,                0,              407,                0,              228,                0
    3,    239,      28373,          0,      28373,   0.961210,                0,                0,                0,                0,              164,            13260,             7206,                0,             4175,                0,             1971,                0,              946,                0,              467,                0,              184,                0
    3,    251,      26925,          0,      26925,   0.948966,                0,                0,                0,                0,              223,            11960,             7379,                0,             3693,                0,             2061,                0,              924,                0,              470,                0,              215,                0
    3,    263,      27518,          0,      27518,   1.022024,                0,                0,                0,                0,              231,            13287,             6699,                0,             3883,                0,             1757,                0,              981,                0,              449,                0,              231,                0
    3,    275,      28399,          0,      28399,   1.032015,                0,                0,                0,                0,              311,            13675,             7457,                0,             3456,                0,             1940,                0,              872,                0,              471,                0,              217,                0
    3,    287,      28228,          0,      28228,   0.993979,                0,                0,                0,                0,              232,            13534,             7521,                0,             3790,                0,             1608,                0,              913,                0,              419,                0,              211,                0
