"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1"
    4,      0,      15773,          0,      15773,   1.000000,            15773,                0
    4,      1,      15773,          0,      15773,   1.000000,             9051,             6722
    4,      2,     348551,          0,     348551,  22.097952,           342403,             6148
    4,      3,     374355,          0,     374355,   1.074032,           368722,             5633
    4,      4,     363761,          0,     363761,   0.971701,           359044,             4717
    4,      5,     332835,          0,     332835,   0.914983,           332475,              360
    4,      6,     124188,          0,     124188,   0.373122,           124188,                0
    4,      7,      77645,          0,      77645,   0.625221,            77645,                0
    4,      8,      73815,          0,      73815,   0.950673,            73815,                0
    4,      9,      72899,          0,      72899,   0.987591,            72899,                0
    4,     10,      72138,          0,      72138,   0.989561,            72138,                0
    4,     11,      71375,          0,      71375,   0.989423,            71375,                0
    4,     12,      69542,          0,      69542,   0.974319,            69542,                0
    4,     13,      69078,          0,      69078,   0.993328,            65957,             3121
    4,     14,     220150,          0,     220150,   3.186977,           217268,             2882
    4,     15,     232872,          0,     232872,   1.057788,           230224,             2648
    4,     16,     227412,          0,     227412,   0.976554,           225283,             2129
    4,     17,     206066,          0,     206066,   0.906135,           206066,                0
    4,     18,      99728,          0,      99728,   0.483961,            99728,                0
    4,     19,      79066,          0,      79066,   0.792816,            79066,                0
    4,     20,      75238,          0,      75238,   0.951585,            75238,                0
    4,     21,      71593,          0,      71593,   0.951554,            71593,                0
    4,     22,      68375,          0,      68375,   0.955051,            68375,                0
    4,     23,      65645,          0,      65645,   0.960073,            65645,                0
    4,     24,      62466,          0,      62466,   0.951573,            62466,                0
    4,     25,      60601,          0,      60601,   0.970144,            59179,             1422
    4,     26,     128637,          0,     128637,   2.122688,           127339,             1298
    4,     27,     131064,          0,     131064,   1.018867,           129878,             1186
    4,     28,     128062,          0,     128062,   0.977095,           127121,              941
    4,     29,     116083,          0,     116083,   0.906459,           115998,               85
    4,     30,      72206,          0,      72206,   0.622020,            72206,                0
    4,     31,      58685,          0,      58685,   0.812744,            58685,                0
    4,     32,      54759,          0,      54759,   0.933100,            54759,                0
    4,     33,      51671,          0,      51671,   0.943607,            51671,                0
    4,     34,      48952,          0,      48952,   0.947379,            48952,                0
    4,     35,      46553,          0,      46553,   0.950993,            46553,                0
    4,     36,      44385,          0,      44385,   0.953429,            44385,                0
    4,     37,      42697,          0,      42697,   0.961969,            41282,             1415
    4,     38,      96339,          0,      96339,   2.256341,            95014,             1325
    4,     39,      99095,          0,      99095,   1.028607,            97911,             1184
    4,     40,      94632,          0,      94632,   0.954962,            93673,              959
    4,     41,      88409,          0,      88409,   0.934240,            88409,                0
    4,     42,      49321,          0,      49321,   0.557873,            49321,                0
    4,     43,      41053,          0,      41053,   0.832363,            41053,                0
    4,     44,      38809,          0,      38809,   0.945339,            38809,                0
    4,     45,      36603,          0,      36603,   0.943157,            36603,                0
    4,     46,      34604,          0,      34604,   0.945387,            34604,                0
    4,     47,      32976,          0,      32976,   0.952953,            32976,                0
    4,     48,      31160,          0,      31160,   0.944930,            31160,                0
    4,     49,      29994,          0,      29994,   0.962580,            27303,             2691
    4,     50,     126411,          0,     126411,   4.214543,           123874,             2537
    4,     51,     139439,          0,     139439,   1.103061,           137073,             2366
    4,     52,     141634,          0,     141634,   1.015742,           139832,             1802
    4,     53,     131086,          0,     131086,   0.925526,           130481,              605
    4,     54,      81129,          0,      81129,   0.618899,            81129,                0
    4,     55,      40149,          0,      40149,   0.494879,            40149,                0
    4,     56,      38478,          0,      38478,   0.958380,            38478,                0
    4,     57,      36958,          0,      36958,   0.960497,            36958,                0
    4,     58,      35587,          0,      35587,   0.962904,            35587,                0
    4,     59,      34487,          0,      34487,   0.969090,            34487,                0
    4,     60,      32729,          0,      32729,   0.949024,            32729,                0
    4,     61,      31941,          0,      31941,   0.975923,            28727,             3214
    4,     62,     164781,          0,     164781,   5.158918,           161727,             3054
    4,     63,     181059,          0,     181059,   1.098786,           178178,             2881
    4,     64,     182773,          0,     182773,   1.009467,           180510,             2263
    4,     65,     164606,          0,     164606,   0.900603,           164606,                0
    4,     66,      65655,          0,      65655,   0.398862,            65655,                0
    4,     67,      47879,          0,      47879,   0.729251,            47879,                0
    4,     68,      46063,          0,      46063,   0.962071,            46063,                0
    4,     69,      44387,          0,      44387,   0.963615,            44387,                0
    4,     70,      42947,          0,      42947,   0.967558,            42947,                0
    4,     71,      41704,          0,      41704,   0.971057,            41704,                0
    4,     72,      40083,          0,      40083,   0.961131,            40083,                0
