"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8"
    6,      0,      15773,          0,      15773,   1.000000,                0,                0,                0,             2717,             2652,             2657,             2622,             2536,             2589
    6,      1,     347834,          0,     347834,  22.052494,                0,           332918,                0,             2380,             2524,             2569,             2530,             2443,             2470
    6,      2,     373654,          0,     373654,   1.074231,                0,           306634,            52963,             2049,             2437,             2430,             2444,             2346,             2351
    6,      3,     364897,          0,     364897,   0.976564,                0,           282130,            69470,             1761,             2367,             2315,             2324,             2270,             2260
    6,      4,     336039,          0,     336039,   0.920915,                0,           238405,            85100,             1480,             2234,             2251,             2218,             2182,             2169
    6,      5,     126155,          0,     126155,   0.375418,                0,            19237,            95271,             1195,             2140,             2119,             2090,             2042,             2061
    6,      6,      78050,          0,      78050,   0.618683,                0,                0,            67332,              972,             2002,             1973,             1986,             1877,             1908
    6,      7,      74007,          0,      74007,   0.948200,                0,                0,            64233,              778,             1825,             1846,             1828,             1751,             1746
    6,      8,      73093,          0,      73093,   0.987650,                0,                0,            64233,              563,             1718,             1705,             1685,             1620,             1569
    6,      9,      72315,          0,      72315,   0.989356,                0,                0,            64233,              384,             1601,             1565,             1570,             1529,             1433
    6,     10,      71613,          0,      71613,   0.990292,                0,                0,            64233,              241,             1490,             1460,             1441,             1429,             1319
    6,     11,      69920,          0,      69920,   0.976359,                0,                0,            63085,              107,             1401,             1347,             1364,             1361,             1255
    6,     12,      69459,          0,      69459,   0.993407,                0,                0,            42393,            20692,             1311,             1270,             1297,             1320,             1176
    6,     13,     218603,          0,     218603,   3.147223,                0,           150397,            23826,            38377,             1147,             1200,             1271,             1240,             1145
    6,     14,     231686,          0,     231686,   1.059848,                0,           141526,            30992,            53498,              993,             1166,             1187,             1209,             1115
    6,     15,     226996,          0,     226996,   0.979757,                0,           130986,            32242,            58410,              839,             1145,             1147,             1144,             1083
    6,     16,     205257,          0,     205257,   0.904232,                0,           105123,            39556,            55552,              705,             1083,             1092,             1104,             1042
