"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2"
    8,      0,      15773,          0,      15773,   1.000000,                0,             5307,            10466
    8,     12,      69514,          0,      69514,   4.407152,            42431,            22076,             5007
    8,     24,      60205,          0,      60205,   0.866085,            15527,            42243,             2435
    8,     36,      42139,          0,      42139,   0.699925,             7681,            28392,             6066
    8,     48,      30095,          0,      30095,   0.714184,             5858,            13636,            10601
    8,     60,      32706,          0,      32706,   1.086759,            11626,            13016,             8064
    8,     72,      39988,          0,      39988,   1.222650,            15091,            19214,             5683
    8,     84,      44284,          0,      44284,   1.107432,            15903,            23644,             4737
    8,     96,      38136,          0,      38136,   0.861169,             9481,            23180,             5475
    8,    108,      30985,          0,      30985,   0.812487,             7566,            16944,             6475
    8,    120,      30805,          0,      30805,   0.994191,            10049,            14096,             6660
    8,    132,      33033,          0,      33033,   1.072326,            11204,            16338,             5491
    8,    144,      34166,          0,      34166,   1.034299,            11565,            17925,             4676
    8,    156,      30839,          0,      30839,   0.902622,             8548,            17454,             4837
    8,    168,      28327,          0,      28327,   0.918545,             8114,            15152,             5061
    8,    180,      26483,          0,      26483,   0.934903,             7574,            13687,             5222
    8,    192,      28398,          0,      28398,   1.072311,             9608,            13979,             4811
    8,    204,      30298,          0,      30298,   1.066906,            10066,            15560,             4672
    8,    216,      30301,          0,      30301,   1.000099,             9816,            15993,             4492
    8,    228,      28318,          0,      28318,   0.934557,             8077,            15555,             4686
    8,    240,      27159,          0,      27159,   0.959072,             8255,            14076,             4828
    8,    252,      25185,          0,      25185,   0.927317,             6900,            13647,             4638
    8,    264,      26798,          0,      26798,   1.064046,             9102,            13400,             4296
    8,    276,      26927,          0,      26927,   1.004814,             8567,            14093,             4267
    8,    288,      26292,          0,      26292,   0.976418,             8230,            13986,             4076
    8,    300,      25561,          0,      25561,   0.972197,             7786,            13446,             4329
    8,    312,      26131,          0,      26131,   1.022300,             8466,            13294,             4371
    8,    324,      27030,          0,      27030,   1.034404,             8788,            13950,             4292
    8,    336,      27791,          0,      27791,   1.028154,             8971,            14431,             4389
    8,    348,      28095,          0,      28095,   1.010939,             8797,            14800,             4498
    8,    360,      28205,          0,      28205,   1.003915,             8786,            14724,             4695
    8,    372,      28702,          0,      28702,   1.017621,             9113,            14834,             4755
    8,    384,      30174,          0,      30174,   1.051286,            10018,            15353,             4803
    8,    396,      30769,          0,      30769,   1.019719,             9821,            16186,             4762
    8,    408,      30690,          0,      30690,   0.997432,             9386,            16420,             4884
    8,    420,      30927,          0,      30927,   1.007722,             9676,            16048,             5203
    8,    432,      32355,          0,      32355,   1.046173,            10529,            16615,             5211
    8,    444,      33313,          0,      33313,   1.029609,            10656,            17465,             5192
    8,    456,      33655,          0,      33655,   1.010266,            10509,            17711,             5435
    8,    468,      34379,          0,      34379,   1.021512,            10788,            17935,             5656
    8,    480,      35036,          0,      35036,   1.019111,            11115,            18182,             5739
    8,    492,      36069,          0,      36069,   1.029484,            11557,            18781,             5731
