Run,Step,Population,ID,Reach ID,Occupants [ bass ],Number YoY Bass,Number Juvenile Bass,Number Adult 3 Bass,Number Adult 4 Bass,Number Adult Older Bass
8,12,Segment Manager,15774,0,0,0,0,0,0,0
8,12,Segment Manager,15775,1,0,0,0,0,0,0
8,12,Segment Manager,15776,2,0,0,0,0,0,0
8,12,Segment Manager,15777,3,0,0,0,0,0,0
8,12,Segment Manager,15778,4,0,0,0,0,0,0
8,12,Segment Manager,15779,5,0,0,0,0,0,0
8,12,Segment Manager,15780,6,0,0,0,0,0,0
8,12,Segment Manager,15781,7,0,0,0,0,0,0
8,12,Segment Manager,15782,8,0,0,0,0,0,0
8,12,Segment Manager,15783,9,0,0,0,0,0,0
8,12,Segment Manager,15784,10,0,0,0,0,0,0
8,12,Segment Manager,15785,11,0,0,0,0,0,0
8,12,Segment Manager,15786,12,0,0,0,0,0,0
8,12,Segment Manager,15787,13,0,0,0,0,0,0
8,12,Segment Manager,15788,14,0,0,0,0,0,0
8,12,Segment Manager,15789,15,0,0,0,0,0,0
8,12,Segment Manager,15790,16,0,0,0,0,0,0
8,12,Segment Manager,15791,17,0,0,0,0,0,0
8,12,Segment Manager,15792,18,0,0,0,0,0,0
8,12,Segment Manager,15793,19,0,0,0,0,0,0
8,12,Segment Manager,15794,20,0,0,0,0,0,0
8,12,Segment Manager,15795,21,0,0,0,0,0,0
8,12,Segment Manager,15796,22,0,0,0,0,0,0
8,12,Segment Manager,15797,23,0,0,0,0,0,0
8,12,Segment Manager,15798,24,0,0,0,0,0,0
8,12,Segment Manager,15799,25,0,0,0,0,0,0
8,12,Segment Manager,15800,26,0,0,0,0,0,0
8,12,Segment Manager,15801,27,0,0,0,0,0,0
8,12,Segment Manager,15802,28,0,0,0,0,0,0
8,12,Segment Manager,15803,29,0,0,0,0,0,0
8,12,Segment Manager,15804,30,0,0,0,0,0,0
8,12,Segment Manager,15805,31,0,0,0,0,0,0
8,12,Segment Manager,15806,32,0,0,0,0,0,0
8,12,Segment Manager,15807,33,0,0,0,0,0,0
8,12,Segment Manager,15808,34,0,0,0,0,0,0
8,12,Segment Manager,15809,35,0,0,0,0,0,0
8,12,Segment Manager,15810,36,0,0,0,0,0,0
8,12,Segment Manager,15811,37,0,0,0,0,0,0
8,12,Segment Manager,15812,38,0,0,0,0,0,0
8,12,Segment Manager,15813,39,0,0,0,0,0,0
8,12,Segment Manager,15814,40,0,0,0,0,0,0
8,12,Segment Manager,15815,41,0,0,0,0,0,0
8,12,Segment Manager,15816,42,0,0,0,0,0,0
8,12,Segment Manager,15817,43,0,0,0,0,0,0
8,12,Segment Manager,15818,44,0,0,0,0,0,0
8,12,Segment Manager,15819,45,0,0,0,0,0,0
8,12,Segment Manager,15820,46,0,0,0,0,0,0
8,12,Segment Manager,15821,47,0,0,0,0,0,0
