COMID,COMID_1,rid
23822623,23822623,120
23822651,23822651,121
23822371,23822371,122
23822361,23822361,123
23825013,23825013,124
23822355,23822355,125
23823687,23823687,126
23823689,23823689,127
23822759,23822759,128
23823297,23823297,129
23681315,23681315,130
23681523,23681523,131
23681279,23681279,132
23673645,23673645,133
23681277,23681277,134
23681353,23681353,135
23681509,23681509,136
23670741,23670741,137
23681339,23681339,138
23686036,23686036,139
23821771,23821771,140
23821769,23821769,141
23681575,23681575,142
23681329,23681329,143
23681325,23681325,144
23823253,23823253,145
23681103,23681103,146
23670729,23670729,147
23681499,23681499,148
23686032,23686032,149
23681319,23681319,150
23823979,23823979,0
23822999,23822999,1
23823001,23823001,2
23821919,23821919,3
23824913,23824913,4
23821863,23821863,5
23822871,23822871,6
23681671,23681671,7
23823541,23823541,8
23822763,23822763,9
23821893,23821893,10
23681667,23681667,11
23689828,23689828,12
23682371,23682371,13
23822779,23822779,14
23682347,23682347,15
23821811,23821811,16
23689824,23689824,17
23821847,23821847,18
23821843,23821843,19
23822901,23822901,20
23690064,23690064,21
23689788,23689788,22
23689758,23689758,23
23823121,23823121,24
23689768,23689768,25
23681405,23681405,26
23681397,23681397,27
23689700,23689700,28
23681399,23681399,29
23681285,23681285,30
23686094,23686094,31
23682275,23682275,32
23686050,23686050,33
23681597,23681597,34
23823301,23823301,35
23689714,23689714,36
23681511,23681511,37
23682235,23682235,38
23822105,23822105,39
23822831,23822831,40
23822089,23822089,41
23822091,23822091,42
23822085,23822085,43
23822067,23822067,44
23822045,23822045,45
23822023,23822023,46
23822209,23822209,47
23822215,23822215,48
23822525,23822525,49
23822533,23822533,50
23823161,23823161,51
23822531,23822531,52
23824521,23824521,53
23822693,23822693,54
23822537,23822537,55
23823155,23823155,56
23822541,23822541,57
23824363,23824363,58
23824447,23824447,59
23822645,23822645,60
23822641,23822641,61
23822263,23822263,62
23824453,23824453,63
23822499,23822499,64
23822881,23822881,65
23822327,23822327,66
23824435,23824435,67
23822495,23822495,68
23824359,23824359,69
23824389,23824389,70
23821985,23821985,71
23824419,23824419,72
23824291,23824291,73
23824387,23824387,74
23822635,23822635,75
23823113,23823113,76
23824313,23824313,77
23824219,23824219,78
23824229,23824229,79
23822681,23822681,80
23824267,23824267,81
23823097,23823097,82
23824195,23824195,83
23821977,23821977,84
23824157,23824157,85
23824077,23824077,86
23821885,23821885,87
23822675,23822675,88
23822679,23822679,89
23821945,23821945,90
23822423,23822423,91
23821939,23821939,92
23823981,23823981,93
23822667,23822667,94
23822699,23822699,95
23822439,23822439,96
23822437,23822437,97
23823999,23823999,98
23823929,23823929,99
23822453,23822453,100
23824067,23824067,101
23825035,23825035,102
23822591,23822591,103
23822547,23822547,104
23822475,23822475,105
23822419,23822419,106
23823917,23823917,107
23822935,23822935,108
23822415,23822415,109
947070170,947070170,110
23821905,23821905,111
23822747,23822747,112
23822749,23822749,113
23823909,23823909,114
23823863,23823863,115
23823145,23823145,116
23822375,23822375,117
23824329,23824329,118
23824151,23824151,119
23682081,23682081,151
23681433,23681433,152
23670725,23670725,153
23671831,23671831,154
23682021,23682021,155
23681219,23681219,156
23681585,23681585,157
23681503,23681503,158
23686022,23686022,159
23670667,23670667,160
23681215,23681215,161
23681997,23681997,162
23681249,23681249,163
23686818,23686818,165
23670773,23670773,166
23670771,23670771,167
23681213,23681213,168
23673491,23673491,169
23670947,23670947,170
23681547,23681547,171
23671097,23671097,172
23671127,23671127,173
23673465,23673465,174
23673453,23673453,175
23671083,23671083,177
23681083,23681083,178
23670659,23670659,179
23681237,23681237,180
23681205,23681205,182
23681963,23681963,183
23673925,23673925,184
23673923,23673923,185
23681233,23681233,188
23681449,23681449,189
23681227,23681227,193
23671105,23671105,194
23681857,23681857,195
23670687,23670687,196
23671815,23671815,197
23671753,23671753,199
23673275,23673275,202
23670693,23670693,204
23670705,23670705,205
23670943,23670943,206
23685908,23685908,207
23681191,23681191,208
23670941,23670941,210
23673291,23673291,211
23681187,23681187,212
23670939,23670939,213
23671067,23671067,214
23673281,23673281,215
23670747,23670747,216
23681053,23681053,218
23671057,23671057,219
23673211,23673211,221
23673213,23673213,222
23681123,23681123,224
23685900,23685900,225
23670929,23670929,226
23681173,23681173,227
23673195,23673195,228
23673187,23673187,229
23671723,23671723,230
23670783,23670783,231
23673803,23673803,232
23673099,23673099,233
23681165,23681165,235
23670921,23670921,236
23671165,23671165,237
23671163,23671163,238
23671837,23671837,239
23670787,23670787,240
23674039,23674039,241
23671143,23671143,242
23671159,23671159,243
23681015,23681015,244
23671023,23671023,245
23673971,23673971,246
23671027,23671027,247
23686486,23686486,248
23673973,23673973,249
23671535,23671535,250
23671001,23671001,251
23674073,23674073,252
23673779,23673779,253
23686452,23686452,255
23686454,23686454,256
23671895,23671895,258
23672965,23672965,259
23670961,23670961,260
23672907,23672907,261
23670805,23670805,262
23671185,23671185,263
23670963,23670963,265
23671569,23671569,266
23685804,23685804,267
23671197,23671197,268
23671511,23671511,269
23686600,23686600,270
23670845,23670845,271
23670997,23670997,272
23670873,23670873,273
23686596,23686596,274
23672701,23672701,275
23671553,23671553,276
23686590,23686590,277
23672667,23672667,278
23671459,23671459,279
23671475,23671475,280
23671209,23671209,281
23686574,23686574,282
23671477,23671477,283
23671213,23671213,284
23686696,23686696,285
23672541,23672541,286
23686526,23686526,287
23686544,23686544,288
23671883,23671883,289
23686564,23686564,290
23686522,23686522,291
23686536,23686536,292
23671667,23671667,293
23671243,23671243,294
23671443,23671443,295
23671245,23671245,296
23672185,23672185,297
23671405,23671405,298
23686684,23686684,299
23671409,23671409,300
23672165,23672165,301
23671379,23671379,302
23671413,23671413,305
23671351,23671351,306
23671855,23671855,307
23686678,23686678,309
23686628,23686628,310
23687228,23687228,311
23821931,23821931,312
23671695,23671695,313
23824819,23824819,322
23824797,23824797,323
23824775,23824775,324
23822097,23822097,325
23822095,23822095,326
23822087,23822087,327
23822065,23822065,328
23822047,23822047,329
23822029,23822029,330
23822013,23822013,331
23822011,23822011,332
23822039,23822039,333
23822019,23822019,334
23822015,23822015,335
23822009,23822009,336
23822213,23822213,337
23822219,23822219,338
23822515,23822515,339
23823087,23823087,340
23822697,23822697,341
23824469,23824469,342
23824505,23824505,343
23821997,23821997,344
23822503,23822503,345
23821995,23821995,346
23824427,23824427,347
23823123,23823123,348
23824455,23824455,349
23824975,23824975,350
23822271,23822271,351
23822545,23822545,352
23822325,23822325,353
23824371,23824371,354
23822865,23822865,355
23824423,23824423,356
23824959,23824959,357
23822429,23822429,358
23823115,23823115,359
23822637,23822637,360
23823103,23823103,361
23822487,23822487,362
23821965,23821965,363
23822685,23822685,364
23821969,23821969,365
23824235,23824235,366
23822483,23822483,367
23821955,23821955,368
23824337,23824337,369
23822457,23822457,370
23824217,23824217,371
23821951,23821951,372
23824249,23824249,373
23825023,23825023,374
23824223,23824223,375
23824931,23824931,376
23823011,23823011,377
23824023,23824023,378
23822479,23822479,379
23821881,23821881,380
23822447,23822447,381
23824091,23824091,382
23824139,23824139,383
23822919,23822919,384
23822905,23822905,385
23822665,23822665,386
23822559,23822559,387
23823829,23823829,388
23822617,23822617,389
23823045,23823045,390
23822347,23822347,391
23822349,23822349,392
23821899,23821899,393
23821871,23821871,394
23823759,23823759,395
23681393,23681393,396
23822715,23822715,397
23822969,23822969,398
23823495,23823495,399
23822761,23822761,400
23682381,23682381,401
23823535,23823535,402
23822939,23822939,403
23821917,23821917,404
23822765,23822765,405
23821859,23821859,406
23822899,23822899,407
23823755,23823755,408
23823577,23823577,409
23822739,23822739,410
23823503,23823503,411
23689810,23689810,412
23823433,23823433,413
23825039,23825039,414
23821889,23821889,415
23822721,23822721,416
23821799,23821799,417
23823615,23823615,418
23821837,23821837,419
23686102,23686102,420
23821835,23821835,421
23681297,23681297,422
23681295,23681295,423
23686066,23686066,424
23823581,23823581,425
23681385,23681385,426
23686100,23686100,427
23682295,23682295,428
947070138,947070138,429
23689696,23689696,430
23681379,23681379,431
23821791,23821791,432
23682209,23682209,433
23822951,23822951,434
23673869,23673869,435
23681365,23681365,436
23673629,23673629,437
23689652,23689652,438
23681521,23681521,439
23686086,23686086,440
23821773,23821773,441
23681341,23681341,442
23670737,23670737,443
23682109,23682109,444
23682107,23682107,445
23686034,23686034,446
23821767,23821767,447
23681327,23681327,448
23681497,23681497,449
23682067,23682067,450
23681581,23681581,451
23681317,23681317,452
23681583,23681583,453
23681261,23681261,454
23686072,23686072,455
23682057,23682057,456
23682039,23682039,457
23686028,23686028,458
23681567,23681567,459
23821757,23821757,460
23681255,23681255,461
23670671,23670671,462
23670645,23670645,463
23670643,23670643,464
23821753,23821753,465
23821751,23821751,466
23673831,23673831,467
23671823,23671823,468
23686820,23686820,473
23821749,23821749,474
23670641,23670641,475
23671931,23671931,476
23671125,23671125,477
23673463,23673463,478
23681957,23681957,479
23671121,23671121,480
23670715,23670715,481
23681945,23681945,482
23821733,23821733,484
23823013,23823013,485
23681545,23681545,486
23681541,23681541,487
23821725,23821725,488
23671087,23671087,489
23671089,23671089,490
23686020,23686020,491
23673431,23673431,493
23681235,23681235,494
23673921,23673921,495
23673919,23673919,496
23671117,23671117,498
23673411,23673411,499
23681063,23681063,501
23681129,23681129,502
23681079,23681079,503
23681203,23681203,504
23671045,23671045,506
23681127,23681127,507
23681229,23681229,508
23681905,23681905,509
23673331,23673331,511
23673819,23673819,512
23673323,23673323,513
23681455,23681455,516
947070135,947070135,517
23670767,23670767,518
23670697,23670697,519
947070134,947070134,520
23670765,23670765,521
23673349,23673349,522
23681189,23681189,523
23670761,23670761,524
23681055,23681055,525
23673271,23673271,526
